Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
RIETEL,Maickel,AMS,2,0,1.69,4,0,1,0,0,5.1,2,1,1,0,5,1,1,0,17,0.118,1,0,0,0,0,3,7
RIFAELA,Jhan,QUI,0,6,5.29,6,6,0,0,0,34.0,50,31,20,24,14,7,1,0,149,0.336,1,3,1,3,3,22,62
RIZVIC,Rick,DKI,2,1,3.41,6,6,0,0,0,34.1,32,14,13,13,40,6,1,0,128,0.250,1,2,0,1,3,32,25
ROMGENS,Rens,TWI,0,0,11.57,1,0,0,0,0,2.1,0,3,3,5,2,0,0,0,8,0.000,0,0,0,0,0,2,3
ROWLAND,Phillip,UVV,0,0,17.36,2,0,0,0,0,4.2,10,9,9,4,1,2,0,0,22,0.455,1,0,0,0,0,6,5
RUSTENBURG,Elijah,HCA,0,0,54.00,1,0,0,0,0,0.2,3,4,4,3,1,1,0,0,5,0.600,0,0,0,0,0,1,0
SAMBOE,Jiairo,QUI,0,1,15.63,7,1,0,0,0,12.2,21,24,22,18,1,6,0,0,59,0.356,2,6,0,0,2,17,19
SCHOONDERWOERD,Martijn,AMS,3,2,4.97,5,5,0,0,0,25.1,27,16,14,8,24,5,0,1,98,0.276,2,2,0,0,2,27,19
SULBARAN,Juancarlos,NEP,4,0,1.04,6,6,0,0,0,34.2,20,7,4,7,24,2,0,0,123,0.163,4,2,2,1,1,36,42
TERPSTRA,Joost,NEP,0,0,0.00,5,0,0,0,0,5.0,2,0,0,2,3,0,0,0,17,0.118,2,0,0,0,0,5,6
TIMMERMANS,Kaj,HCA,4,0,1.46,6,5,0,0,0,37.0,27,7,6,4,27,4,0,0,132,0.205,1,0,0,1,2,50,26
TIMMERMANS,Rick,DKI,0,0,0.00,3,0,0,0,0,6.1,5,1,0,3,3,0,0,0,24,0.208,0,2,0,0,0,8,6
VAN DE SANDEN,Sven,AMS,1,0,1.13,2,1,0,0,0,8.0,7,1,1,4,3,0,0,0,28,0.250,1,0,0,0,0,11,6
VAN DEN BERG,Mike,UVV,3,1,2.22,5,5,0,0,0,24.1,17,6,6,11,20,1,0,1,83,0.205,2,2,1,1,1,27,19
