Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
MAMBRU FELIPE,Jeurys Lewin,LDC,14,0,2,0,0,0,4,2,0.143,0.143,0.250,0.393,2,0,3,1,0,0,0,0
MARRIOTT,Josh,LDC,29,6,13,2,0,1,9,18,0.448,0.621,0.484,1.105,2,0,6,0,0,0,1,0
MARTE BATISTA,Kendry,EXA,21,6,4,0,0,1,6,7,0.190,0.333,0.393,0.726,7,0,5,0,0,0,7,1
MARTIN,Luke,SHB,25,5,4,2,0,0,3,6,0.160,0.240,0.250,0.490,2,1,8,0,0,0,3,0
MARTINEZ,Franklin,EXA,13,4,1,0,0,0,0,1,0.077,0.077,0.400,0.477,7,0,3,0,0,0,1,0
MCLAUGHLIN,Ryan,LDM,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,1,0,0,0,0
MENCIA DE LA CRUZ,Elvin,VET,18,4,3,1,0,0,2,4,0.167,0.222,0.250,0.472,2,0,7,0,0,0,2,0
MESSER,Chris,LDM,12,5,5,0,0,1,5,8,0.417,0.667,0.533,1.200,3,0,1,0,0,0,4,0
MINFORD,Rich,LDM,8,4,4,0,0,0,1,4,0.500,0.500,0.636,1.136,2,1,1,1,0,0,1,0
MORAN,Daniel,SHB,32,6,11,3,0,0,4,14,0.344,0.438,0.417,0.855,1,3,9,0,0,0,3,0
MORAN,Matt,SHB,4,0,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,1,3,0,0,0,0,0
MURATA,Kenichiro,LDC,18,7,6,1,0,0,3,7,0.333,0.389,0.368,0.757,1,0,4,0,0,0,0,0
MYRMELL,Daniel,BMB,25,8,12,5,0,3,10,26,0.480,1.040,0.606,1.646,6,2,6,0,0,0,1,0
NOVAS,Yonathan,EXA,32,9,12,2,0,1,8,17,0.375,0.531,0.459,0.990,4,1,3,0,0,0,5,0
ORTEGA,Juan Miguel,BMB,24,5,3,1,0,1,1,7,0.125,0.292,0.276,0.568,4,1,6,0,0,0,1,0
PAPINI,Mattia,VET,33,9,10,0,0,0,6,10,0.303,0.303,0.477,0.780,7,4,1,0,0,0,9,1
PEREZ,Aneudy,EXA,25,7,7,2,0,0,0,9,0.280,0.360,0.379,0.739,4,0,1,0,0,0,6,0
PEREZ,Angel,EXA,32,12,13,2,0,3,9,24,0.406,0.750,0.535,1.285,6,4,3,0,1,0,8,0
PESTANA,Jesus,BMB,40,6,10,1,0,0,1,11,0.250,0.275,0.302,0.577,2,1,6,0,0,0,7,0
PESTANA,Marco,BMB,28,2,5,0,0,0,1,5,0.179,0.179,0.281,0.460,4,0,5,0,0,0,2,0
POWER,Brendan,LDM,23,4,6,1,0,1,5,10,0.261,0.435,0.414,0.849,6,0,7,0,0,0,1,0
RANDALL,Kyle,LDC,29,8,8,2,0,0,6,10,0.276,0.345,0.364,0.709,3,1,4,0,0,0,0,0
RATCLIFF,Jamie,SHB,17,2,5,1,0,0,2,6,0.294,0.353,0.294,0.647,0,0,7,0,0,0,3,0
RATKEVICIUS,Viktoras,VET,14,1,1,1,0,0,3,2,0.071,0.143,0.235,0.378,1,2,3,0,0,0,1,0
