Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
RAIMANN,Clemens,DD,4,5,1,2,2,0.600,0,0,0,,0,0
RAULT,Antoine,MON,2,1,1,0,0,1.000,0,0,0,,0,0
REINA VIANT,Leonel,DEU,3,3,2,1,0,1.000,0,0,0,,0,0
RODRIGUEZ,Douglas,MPT,5,2,2,0,0,1.000,1,0,0,,0,0
RODRÍGUEZ,Edgar,AST,5,13,4,8,1,0.923,1,0,0,,0,0
RODRÍGUEZ,Kevin,MAR,1,1,1,0,0,1.000,0,0,0,,0,0
RODRÍGUEZ,Leomartires,MAR,5,7,0,7,0,1.000,1,0,0,,0,0
RODRÍGUEZ,Luís,MAR,5,7,7,0,0,1.000,0,0,0,,0,0
RODRÍGUEZ,Michel,AST,3,7,3,4,0,1.000,0,0,0,,0,0
RONDÓN,Edgar,AST,3,12,0,9,3,0.750,2,0,0,,0,0
ROYMANS,Steff,DEU,4,1,0,1,0,1.000,0,0,0,,0,0
SANDRONE,Nicoló,AST,2,9,9,0,0,1.000,0,0,0,,0,0
SCHADLER,Nicholas,MS,4,28,28,0,0,1.000,2,0,0,,0,0
SCHEICHER,Moritz,DD,6,20,8,10,2,0.900,1,0,0,,0,0
SEISER,Claus,MS,4,16,2,12,2,0.875,1,0,0,,0,0
SILVA,Elio,MAR,2,1,0,1,0,1.000,0,0,0,,0,0
SIMONSEN,Jakob,MS,5,6,4,0,2,0.667,0,0,0,,0,0
SMITH,Philip,BOK,5,25,23,1,1,0.960,0,1,1,50.0,1,0
SPRING,Riley,MPT,5,26,11,13,2,0.923,5,0,0,,0,0
SUCHAROWSKI,Stefan,DD,4,6,5,1,0,1.000,0,5,1,83.3,0,0
TOPPER,Josh,MS,3,3,3,0,0,1.000,0,0,0,,0,0
TORRES,Yosbany,AST,2,4,1,2,1,0.750,0,0,0,,0,0
TRACEY,Max Dylan,DD,5,9,7,1,1,0.889,0,0,0,,0,0
USTARIZ,Jesus,MAR,6,20,11,9,0,1.000,3,0,0,,0,0
VALDEZ LAZIL,Brian,DEU,2,15,15,0,0,1.000,1,0,0,,0,0
VALERIO,Edison,MAR,5,19,7,11,1,0.947,1,0,0,,0,0
VAN DIJCK,Rick,DD,5,8,1,6,1,0.875,0,1,1,50.0,0,0
VAN MOOK,Mauro,DEU,3,3,0,3,0,1.000,0,0,0,,0,0
VANDERVELDEN,Viktor,DEU,5,2,2,0,0,1.000,0,0,0,,0,0
VELAZQUEZ,Hector,MON,4,13,4,7,2,0.846,1,0,0,,0,0
VOLARIĆ,Kevin,BOK,5,6,6,0,0,1.000,0,0,0,,0,0
WEATHERLY,Nathan,MS,4,22,22,0,0,1.000,0,3,0,100.0,0,0
ZAN,Mael,MPT,6,8,7,1,0,1.000,0,0,0,,0,0
ZOUFAL,Alessandro,DD,3,1,1,0,0,1.000,0,0,0,,0,0
