Player,Team,AB,R,H,2B,3B,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ARDAEN
Fien,CHI,82,18,21,2,1,0,10,25,0.256,0.305,0.337,0.642,10,0,10,0,0,4,1,0
BAILLY
Laura,BRU,38,4,10,1,0,0,1,11,0.263,0.289,0.282,0.571,1,0,6,0,0,1,2,0
BANCHELLI
Claudia,BRU,107,16,33,8,3,1,16,50,0.308,0.467,0.389,0.856,14,2,5,0,3,0,5,1
BELHALOUMI
Maya,BRU,57,12,15,2,0,2,11,23,0.263,0.404,0.400,0.804,9,4,10,1,0,2,12,0
BOERMANS
Lynn,ANT,78,13,25,3,0,0,14,28,0.321,0.359,0.418,0.777,10,3,3,0,0,1,9,1
BRINK
Lisa,HOB,2,0,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,1,0,0,0,0,0
CALEEN
Kaitlyn,CHI,6,1,1,0,1,0,0,3,0.167,0.500,0.286,0.786,1,0,2,0,0,0,0,0
CAÑIZO
Marina,BRU,114,22,32,3,1,0,10,37,0.281,0.325,0.322,0.647,7,0,16,0,0,1,3,1
CEULEMANS
KAYLEE,CHI,102,23,27,2,1,1,29,34,0.265,0.333,0.390,0.723,21,0,9,1,0,5,3,1
CORNELIS
Lynn,CHI,32,11,8,1,0,0,7,9,0.250,0.281,0.419,0.700,7,3,1,0,1,0,2,0
DE BAERE
Chloë,ANT,86,4,17,1,1,1,19,23,0.198,0.267,0.233,0.500,4,0,16,1,0,1,3,1
DE CARITAT
Diane,BRU,9,0,3,1,0,0,0,4,0.333,0.444,0.400,0.844,0,1,4,1,0,0,0,0
DE GRAEVE
Sara,BEV,95,19,28,2,1,0,16,32,0.295,0.337,0.427,0.764,20,2,12,0,0,1,2,1
DE JAEGHER
Gwendy,HOB,88,14,24,5,2,0,17,33,0.273,0.375,0.312,0.687,5,0,13,0,0,2,0,0
DE LANNOY
Kelly,CHI,30,16,16,2,2,1,9,25,0.533,0.833,0.696,1.529,16,0,2,0,0,3,4,1
DE MEULDER
Daphné,BRU,20,2,1,1,0,0,3,2,0.050,0.100,0.174,0.274,2,1,5,0,0,0,2,0
DE NIJS
Evi,CHI,7,4,2,0,0,0,1,2,0.286,0.286,0.444,0.730,2,0,0,0,0,0,0,0
DE PERMENTIER
Nina,HOB,59,9,17,5,2,0,16,26,0.288,0.441,0.392,0.833,11,1,18,1,3,0,0,0
DE PERMENTIER
Stine,HOB,92,29,21,5,1,0,13,28,0.228,0.304,0.330,0.634,14,0,18,1,0,1,0,0
DE RIDDER
Floortje,MER,78,40,23,1,3,3,13,39,0.295,0.500,0.444,0.944,19,2,13,0,0,1,14,0
DE RYCKE
Joke,BEV,17,2,3,0,0,0,2,3,0.176,0.176,0.222,0.398,1,0,5,0,0,1,1,0
DE STOBBELEIR
Yonie,BEV,25,6,3,0,0,0,3,3,0.120,0.120,0.290,0.410,6,0,9,0,0,3,3,0
DE VREE
Femke,HOB,126,23,50,8,1,0,50,60,0.397,0.476,0.431,0.907,8,1,2,1,2,0,2,1
DENYS
Els,MER,20,2,7,1,0,0,7,8,0.350,0.400,0.364,0.764,0,1,4,0,1,0,2,0
DEVRIESE
Ella,MER,6,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
DHOOGE
Clémentine,BRU,65,9,19,2,2,1,9,28,0.292,0.431,0.365,0.796,6,2,7,0,1,1,9,1
EMMEN
Kim,HOB,77,22,28,4,3,1,12,41,0.364,0.532,0.402,0.934,4,1,11,0,0,0,6,1
FARIGLIANO
Sophie,BRU,79,13,21,4,2,1,14,32,0.266,0.405,0.318,0.723,4,2,8,0,0,0,4,1
FELIX
Lesley,HOB,7,2,3,0,0,0,3,3,0.429,0.429,0.500,0.929,1,0,1,0,0,0,0,0
FIESACK
Jentel,MER,46,13,6,0,0,0,5,6,0.130,0.130,0.245,0.375,7,0,14,1,0,1,3,1
GABRIËLS
Joke,ANT,12,0,1,0,0,0,0,1,0.083,0.083,0.154,0.237,1,0,7,0,0,0,1,1
