uniform_number,player_name,position,bats,throws,ht,wt,yob
24,GOSE Anthony,P,L,L,183,91,1990
40,GROTZ Zac,P,R,R,188,89,1993
26,HILL Rich,P,L,L,196,100,1980
2,JOHNSON Termarr,IF,L,R,173,80,2004
23,LAWRENCE Casey,P,R,R,183,82,1987
25,MACIVER Willie,C,R,R,186,93,1996
27,MENENDEZ Antonio,P,R,R,194,98,1999
39,MILLS Zane,P,R,R,194,100,2000
28,OKEY Chris,C,R,R,181,91,1994
55,PATTON Spencer,P,R,R,186,91,1988
11,RITTER Luke,IF/OF,R,R,181,85,1997
1,SHAW Matt,IF,R,R,176,84,2001
6,SIMPSON Chandler,OF,L,R,181,78,2000
9,THOMAS Colby,OF,R,R,178,87,2001
34,THOMPSON Darrell,P,L,L,193,83,1994
12,TOUSSAINT Touki,P,R,R,191,98,1996
49,VERNON Austin,P,R,R,203,120,1999
43,VIEAUX Cam,P,L,L,191,91,1993
10,WARD Ryan,IF/OF,L,R,178,91,1998
7,WILLIAMS Carson,IF,R,R,188,82,2003
13,ADRIANZA Ehire,IF,S,R,185,90,1989
48,ALVAREZ Jose,P,L,L,180,88,1989
2,AMARISTA Alexi,IF,S,R,168,74,1989
37,ARCIA Francisco,C,L,R,180,91,1989
73,BRETO Liarvis,P,L,L,180,79,1993
10,CASTILLO Diego,IF,R,R,183,77,1997
54,Castillo Max,P,R,R,188,127,1999
31,FLORES Ramon,OF,L,L,180,86,1992
67,FRANCO Enderson,P,R,R,185,109,1992
85,García Pedro,P,R,R,180,99,1995
92,HERNANDEZ Arnaldo,P,R,R,183,79,1996
6,MACHADO Dixon,IF,R,R,185,86,1992
65,MENDEZ Yohander,P,L,L,195,104,1995
63,MOSQUEDA Oddanier,P,L,L,178,75,1999
4,PALACIOS Jermaine,IF,R,R,183,65,1996
36,PEREZ Carlos,C,R,R,178,95,1996
44,PÉREZ Carlos,C,R,R,183,95,1990
14,PÉREZ Hernán,IF,R,R,186,96,1991
46,PINTO Ricardo,P,R,R,183,88,1994
30,REYES Angel,OF,R,R,183,79,1995
58,Rodríguez Nivaldo,P,R,R,185,97,1997
68,RODRÍGUEZ Ricardo,P,R,R,188,99,1992
7,RODRIGUEZ Herlis,OF,L,L,182,77,1994
23,RODRIGUEZ David,IF,R,R,185,97,1996
27,SANCHEZ Mario,P,R,R,185,75,1994
69,VARGAS Jesús,P,R,R,188,79,1998
76,VIZCAYA Anthony,P,L,R,180,93,1993
18,ZARRAGA Alfredo,P,R,R,180,75,2000
37,ATHERTON Tim,P,R,R,183,105,1989
29,BATTAGLIA Ryan,C,R,R,185,95,1992
4,BAZZANA Travis,2B,L,R,182,90,2002
60,BOJARSKI Ulrich,OF,R,R,193,103,1998
34,BOWEY Jake,1B,L,R,184,110,1996
43,DALE Jarryd,IF,R,R,188,90,2000
7,GEORGE Darryl,3B,R,R,187,110,1993
6,GLENDINNING Robbie,IF,R,R,190,92,1995
20,GUYER Josh,P,R,R,185,104,1994
10,HALL Alex,C,S,R,178,94,1999
40,HOLLAND Sam,P,R,R,195,94,1994
55,KENNEDY Jon,P,L,L,203,115,1994
23,KENNELLY Tim,RF,R,R,184,92,1986
25,KENT Steven,P,L,L,183,95,1989
50,MAGUIRE Solomon,CF,L,R,181,85,2003
11,MCGRATH Daniel,P,R,L,188,102,1994
22,NEUNBORN Mitch,P,R,R,183,90,1997
9,PERKINS Robbie,C,R,R,190,94,1994
30,SAUPOLD Warwick,P,R,R,186,106,1990
56,SHERRIFF Will,P,L,L,181,90,2002
15,SPENCE Liam,UTL,R,R,186,88,1998
52,Wingrove Rixon,1B,L,R,195,117,2000
18,THORPE Lewis,P,R,L,188,104,1995
54,TOWNSEND Blake,P,L,L,195,113,2001
21,VAN STEENSEL Todd,P,R,R,188,105,1991
2,WHITEFIELD Aaron,CF,R,R,194,100,1996
26,WILKINS Luke,P,R,R,182,84,1989
31,WYNNE Coen,P,R,R,193,94,1999
22,ALVAREZ Frank,P,R,R,192,92,1999
28,ARMENTEROS Lázaro,OF,R,R,186,86,1999
71,ARRUEBARRUENA Erisbel,IF,R,R,182,102,1990
13,BALDOQUIN Roberto,IF,R,R,181,90,1994
12,COSME Andi,C,R,R,185,80,1994
54,DESPAIGNE Alfredo,OF,R,R,173,105,1986
33,DRAKE Yadir,OF,R,R,183,95,1990
48,FIGUEREDO Raymond,P,R,R,182,83,1998
7,GUIBERT Yoelkis,OF,L,L,180,79,1994
14,GUTIÉRREZ Geonel,P,L,L,185,107,1994
26,HERNANDEZ Pavel,P,R,R,193,82,1996
40,MARTINEZ Ariel,C,R,R,193,95,1996
92,MARTINEZ Raidel,P,R,R,191,83,1996
42,MAURIS Yankiel,P,R,R,190,74,1996
91,MEDINA Frank,P,R,R,185,87,1987
89,MOINELO Livan,P,L,L,178,64,1995
10,MONCADA Yoan,IF,R,R,190,99,1995
5,MUJICA Yadir,IF,L,R,180,78,1985
15,PADRON Yusniel,P,R,R,86,181,1997
17,PEREZ Andrys,C,R,R,188,94,2001
82,REYES Leodan,P,R,R,182,68,2000
95,RODRIGUEZ Christian,IF,R,R,184,73,2002
1,SANTOS Roel,OF,L,L,175,80,1987
16,SARDUY Dario,P,L,L,178,80,2005
79,VARGAS Andy,P,R,R,183,74,1999
34,VIÑALES Rafael,C,R,R,178,91,1992
31,WALTERS Jean Harvin,IF,R,R,180,78,2001
58,YERA Yoennis,P,L,L,171,93,1989
66,ADOLFO Micker,OF,R,R,193,106,1996
35,ALCÁNTARA Arismendy,2B/CF,S,R,178,77,1991
83,CASTILLO Diego,P,R,R,190,121,1994
32,CESPEDES Ricardo,OF,L,L,185,92,1997
31,CORDERO Andretty,1B/3B,R,R,185,77,1997
95,CORNIEL Robert,P,R,R,190,86,1995
45,DE LA CRUZ Daneurys,C,R,R,178,72,2001
74,DE LEÓN Michael,SS,R,R,185,72,1997
38,DEVERS José,IF,L,R,78,183,1999
56,FERNÁNDEZ Pedro,P,R,R,183,79,1994
40,FLORENTINO Randy,C/1B,L,R,150,82,2000
68,GONZÁLEZ Pedro,OF,R,R,198,104,1997
82,GUTIERREZ Kelvin,3B,R,R,188,97,1994
37,HANSON Alen,2B/DH/OF,R,R,183,77,1992
91,HENRY Henry,P,R,R,205,103,1998
93,JUAN Jorge,P,R,R,203,90,1999
72,KILOMÉ Franklyn,P,R,R,178,79,1995
78,LÓPEZ Víctor,P,R,R,193,87,1999
67,MIESES Luís,1B/OF,R,L,190,81,2000
73,NÚÑEZ Rainer,1B/3B,R,R,188,81,2000
59,OGANDO Gerald,P,R,R,188,81,2000
92,PERALTA Wily,P,R,R,185,118,1989
84,PÉREZ Héctor,P,R,R,190,101,1996
85,PÉREZ Wilber,P,R,R,188,90,1997
52,RODRÍGUEZ Frank,C,R,R,184,79,2001
53,RODRÍGUEZ Dionys,P,R,R,183,85,2000
57,RODRÍGUEZ Joely,P,L,L,185,101,1991
80,VARGAS GARCIA Luis,P,R,R,180,88,2002
46,FUJIHIRA Shoma,P,R,R,185,85,1998
6,GENDA Sosuke,IF,L,R,179,75,1993
21,HAYAKAWA Takahisa,P,L,L,180,76,1998
97,INOUE Haruto,P,L,L,175,78,2001
5,ISOBATA Ryota,OF,L,R,171,65,1998
57,KITAYAMA Koki,P,R,R,182,82,1999
3,KIYOMIYA Kotaro,IF,L,R,184,94,1999
22,KOGA Yuto,C,R,R,174,86,1999
51,KOZONO Kaito,IF,L,R,178,91,2000
24,KUREBAYASHI Kotaro,IF,R,R,187,94,2002
23,KURIHARA Ryoya,IF,L,R,179,83,1996
10,KUWAHARA Masayuki,OF,R,R,174,80,1993
2,MAKI Shugo,IF,R,R,178,97,1998
1,MORISHITA Shota,OF,R,R,182,89,2000
9,MURABAYASHI Itsuki,IF,R,R,180,73,1997
15,OTA Taisei,P,R,R,183,90,1999
35,SAIKI Hiroto,P,R,R,189,88,1998
31,SAKAKURA Shogo,C,L,R,177,89,1998
7,SANO keita,OF,L,R,178,88,1994
32,SATO Toshiya,C,L,R,181,86,1998
50,SHIMIZU Tatsuya,P,R,R,184,90,1999
16,SUMIDA Chihiro,P,L,L,177,81,1999
47,SUZUKI Shota,P,L,L,175,80,1998
56,SUZUKI Sora,P,L,L,185,82,1996
19,TAKAHASHI Hiroto,P,R,R,186,86,2002
8,TATSUMI Ryosuke,OF,L,R,180,74,1996
20,TOGO Shosei,P,R,R,187,84,2000
60,YOKOYAMA Rikuto,P,R,R,180,90,2001
16,CHOI Wonjun,OF,L,R,178,85,1997
