Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADRIAANSZ-TUK,Karin,OGZ,86,15,30,8,0,2,25,44,0.349,0.512,0.431,0.943,12,2,13,1,2,3,2,0
ADRIAANSZ,Desiree,OGZ,119,24,37,1,1,0,5,40,0.311,0.336,0.374,0.710,12,0,25,0,0,0,5,0
AGUILERA ZAYAS,Melany,AMS,22,4,4,4,0,0,4,8,0.182,0.364,0.217,0.581,1,0,6,0,0,0,2,0
AMERSFOORT,Britt,EUR,23,2,4,0,1,0,1,6,0.174,0.261,0.296,0.557,3,1,6,0,0,0,0,1
AXSON,Laura,EUR,42,5,8,1,0,0,3,9,0.190,0.214,0.261,0.475,3,1,14,1,0,1,1,2
BARTELS,Anna-be,SPA,12,1,2,0,0,0,0,2,0.167,0.167,0.286,0.453,2,0,2,0,0,0,0,0
BEEKVELDT,Yindi,OLY,39,9,13,0,1,0,9,15,0.333,0.385,0.469,0.854,9,1,5,1,0,3,1,2
BEERS,Brenda,OLY,114,46,50,5,5,3,30,74,0.439,0.649,0.529,1.178,22,1,13,0,1,1,5,1
BIERVLIET,Tamar,AMS,31,9,6,0,1,0,4,8,0.194,0.258,0.324,0.582,4,2,21,0,0,2,6,1
BOERSMA,Tenley,SPA,59,6,12,1,0,0,8,13,0.203,0.220,0.294,0.514,7,1,7,1,1,3,1,0
BOMBA,Angelica,AMS,98,27,30,0,2,0,12,34,0.306,0.347,0.369,0.716,6,5,21,1,2,2,19,1
BONORA,Kika,OLY,37,17,8,1,1,0,3,11,0.216,0.297,0.383,0.680,8,2,19,0,0,1,0,0
BOONTJES,Anouk,OGZ,57,2,16,1,0,0,7,17,0.281,0.298,0.305,0.603,1,1,8,0,0,1,0,0
BRILL,Faye,EUR,19,6,4,0,0,0,0,4,0.211,0.211,0.318,0.529,3,0,12,0,0,1,7,1
BRINK,Lisa,TTT,11,2,0,0,0,0,0,0,0.000,0.000,0.267,0.267,4,0,6,0,0,2,0,0
BRINKS,Demi,AMS,7,0,3,0,2,0,2,7,0.429,1.000,0.500,1.500,1,0,1,0,0,0,0,0
BUCCI,Jennifer,TTT,48,7,12,3,1,0,8,17,0.250,0.354,0.351,0.705,5,3,16,0,1,0,0,0
BUSCHMAN,Judith,NEP,56,13,11,1,0,0,6,12,0.196,0.214,0.348,0.562,13,0,14,0,0,3,1,0
CAMPBELL,Kailyn,ROE,113,24,42,8,3,2,32,62,0.372,0.549,0.402,0.951,7,0,7,1,2,0,0,1
CASHOEK,Joy,OLY,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
CHARLES,Damishah,NEP,87,18,23,5,0,0,7,28,0.264,0.322,0.340,0.662,10,0,8,1,0,0,3,1
CLARIJS,Lizzie,AMS,81,22,29,6,2,1,15,42,0.358,0.519,0.476,0.995,20,0,6,1,2,1,13,2
COERIEL,Qui-Lin,OGZ,22,5,4,1,0,0,2,5,0.182,0.227,0.296,0.523,4,0,7,0,1,2,0,0
CROONEN,Madelief,ROE,3,1,2,1,0,0,1,3,0.667,1.000,0.667,1.667,0,0,0,0,0,0,0,0
CROUWEL,Marijn,OLY,54,5,22,4,0,0,8,26,0.407,0.481,0.468,0.949,7,0,10,0,1,0,0,0
DE BROUWER,Emma,ROE,41,5,2,0,0,0,1,2,0.049,0.049,0.133,0.182,4,0,20,0,0,1,0,0
DE GROENE,Jody,EUR,19,0,2,0,0,0,0,2,0.105,0.105,0.105,0.210,0,0,5,1,0,0,0,0
DE GROOT,Isis,OLY,6,1,1,0,0,0,0,1,0.167,0.167,0.286,0.453,1,0,1,0,0,1,0,0
DE GROOT,Puk,OGZ,36,5,7,2,0,0,6,9,0.194,0.250,0.356,0.606,9,0,14,0,0,3,1,0
DE JONG,Willemijn,NEP,44,6,5,1,1,0,3,8,0.114,0.182,0.204,0.386,4,1,12,0,0,1,2,0
