Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
TANESINI,Paolo,GOD,28,4,8,0,2,0,5,12,0.286,0.429,0.333,0.762,2,0,4,0,0,1,0,2
TASCHIN,Giacomo,ROV,20,4,7,2,0,0,3,9,0.350,0.450,0.480,0.930,5,0,2,0,0,1,0,1
TASCHIN,Lorenzo,ROV,22,5,7,0,0,0,4,7,0.318,0.318,0.360,0.678,1,1,1,1,1,1,2,1
TEJADA FERNÁNDEZ,Kevin Alberto,REG,25,10,9,0,3,0,6,15,0.360,0.600,0.429,1.029,2,1,4,1,0,1,3,0
TIBERI,Francesco,GRO,14,1,2,0,0,0,0,2,0.143,0.143,0.333,0.476,3,1,7,0,0,0,0,0
TIDU,Domenico,CAN,16,5,2,1,0,0,1,3,0.125,0.188,0.391,0.579,5,2,11,0,0,0,1,0
TOMBEL,Riccardo,PAD,5,0,0,0,0,0,1,0,0.000,0.000,0.250,0.250,2,0,4,0,1,0,0,0
TOMEI,Daniele,NET,4,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
TOMIĆ,Andrija,MAC,6,0,1,0,0,0,0,1,0.167,0.167,0.500,0.667,3,1,2,1,0,0,1,0
TOMSJANSEN,Rushenten Laybert Apostel,BBC,29,1,13,4,0,0,1,17,0.448,0.586,0.448,1.034,0,0,7,0,0,0,0,3
TORRELLAS MACALUSO,Angelo Eduardo,MIL,13,1,5,1,0,0,1,6,0.385,0.462,0.500,0.962,3,0,5,0,0,0,0,0
TRINCI,Mario,NET,21,4,7,0,0,0,3,7,0.333,0.333,0.462,0.795,5,0,3,0,0,0,0,0
TROLLI,Davide,COL,13,1,1,0,0,0,1,1,0.077,0.077,0.294,0.371,3,1,7,1,0,0,0,1
TROMP,Jiandido Candido,RSM,23,4,5,2,0,0,6,7,0.217,0.304,0.387,0.691,6,1,10,0,1,0,0,0
TUZZI,Riccardo,PAD,25,4,6,1,0,0,2,7,0.240,0.280,0.387,0.667,3,3,10,3,0,0,0,0
UBANI,Federico,LIN,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
URDANETA,JOSE LUIS,CAG,7,0,2,0,0,0,0,2,0.286,0.286,0.286,0.572,0,0,0,0,0,0,0,0
URENA SEPULVEDA,Victor Francisco,REG,5,1,0,0,0,0,0,0,0.000,0.000,0.444,0.444,3,1,3,0,0,0,1,1
VAGLIO,Francesco,BBC,17,2,3,0,0,0,2,3,0.176,0.176,0.300,0.476,3,0,4,0,0,0,0,1
VALERIO,Dawit,TOR,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
VALETTI,Gabriele,TOR,17,2,1,0,0,0,1,1,0.059,0.059,0.111,0.170,0,1,6,0,0,1,0,0
VALSECCHI,Marco,PAU,19,2,2,0,0,0,1,2,0.105,0.105,0.370,0.475,6,2,5,0,0,2,0,1
VARALDA,Mattia,MIL,17,2,5,0,0,0,0,5,0.294,0.294,0.294,0.588,0,0,4,0,0,0,1,1
VASQUEZ MARRERO,Andres Eloy,MOD,12,2,1,0,0,0,2,1,0.083,0.083,0.200,0.283,0,2,6,0,1,0,1,0
VIGNALI,Marco,ATL,19,2,5,1,0,0,3,6,0.263,0.316,0.300,0.616,1,0,6,0,0,0,0,0
VILLA,Patrick Jeremy,SEN,10,2,1,0,0,0,0,1,0.100,0.100,0.250,0.350,2,0,4,0,0,0,1,0
VILLALOBOS BARNEDA,JUNIOR,CAG,13,1,0,0,0,0,0,0,0.000,0.000,0.188,0.188,3,0,10,0,0,0,1,0
VILORIA SERDA,Nolberto Alexander,CRO,11,2,4,1,0,0,3,5,0.364,0.455,0.462,0.917,2,0,1,0,0,0,0,0
VISALLI,Francesco,LIN,23,0,5,1,0,0,2,6,0.217,0.261,0.308,0.569,3,0,4,0,0,0,1,0
VISALLI,Riccardo,LIN,23,4,5,0,0,0,1,5,0.217,0.217,0.406,0.623,8,0,5,0,1,0,1,0
ZANICHELLI,Davide,POV,5,0,2,0,0,0,1,2,0.400,0.400,0.400,0.800,0,0,1,0,0,0,1,0
ZAZZA,Manuel,NET,25,3,9,3,0,1,5,15,0.360,0.600,0.484,1.084,5,1,2,0,0,0,0,1
ZONI,Lorenzo,CRO,11,1,2,0,0,0,1,2,0.182,0.182,0.286,0.468,2,0,4,0,1,1,1,0
ÁLVAREZ MARTÍNEZ,Luis Miguel,CAG,19,4,5,2,1,0,2,9,0.263,0.474,0.364,0.838,3,0,6,0,0,0,0,0
