Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Norgren,Kyran,GERMA,7,4,0,0,0,0,1,0,,,,,5,1,4,1,0,0,1,0
Castillo,Alejandro,GREY,7,2,0,0,0,0,0,0,,,,,1,0,1,0,0,0,1,0
Glanert,Johann,GERMA,6,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Ruetti,Valerio,NETRO,6,2,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0
Vi,Alejandro,GREY,6,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
Okac,Filip,GREEN,6,0,0,0,0,0,0,0,,,,,1,0,2,0,0,0,1,1
Demic,Danilo,GREY,5,0,0,0,0,0,0,0,,,,,0,1,4,0,0,0,0,0
Prochazka,Jonas,GREEN,5,0,0,0,0,0,1,0,,,,,0,1,1,0,0,0,1,0
Kavak,Noel,BLACK,5,1,0,0,0,0,0,0,,,,,3,1,1,1,0,0,0,0
Tochatschek,Levin,AQUA,4,2,0,0,0,0,0,0,,,,,4,0,4,0,0,0,2,0
Urbanek,Jakub,GREEN,4,0,0,0,0,0,1,0,,,,,3,0,2,0,0,0,2,1
Kottig,Lukas,BLACK,4,0,0,0,0,0,0,0,,,,,1,3,1,0,0,0,1,1
Iorio,Alberto,NETRO,3,3,0,0,0,0,0,0,,,,,4,0,1,0,0,0,0,0
Matousek,Stepan,GREEN,2,3,2,1,0,0,2,3,,,,,2,0,0,0,0,0,2,1
Cendros,Adrian,SPAIN,4,2,3,0,1,0,2,5,,,,,0,0,0,0,0,1,2,0
Hoyer,Dennis,AQUA,3,1,2,0,0,0,0,2,,,,,2,0,0,0,0,0,1,0
Atkinson,Damon,GREEN,3,0,2,1,0,0,0,3,,,,,1,0,0,0,0,0,1,0
Mika Schierhorn,Jann,GERMA,3,1,2,0,1,0,0,4,,,,,0,0,0,0,0,0,0,0
Rojas,Angel,SPAIN,3,1,2,1,0,0,0,3,,,,,0,0,0,0,0,0,0,1
Goiti,Atilio,AQUA,6,2,3,1,0,0,5,4,,,,,1,0,0,0,0,0,1,0
Astner,Moritz,AQUA,4,2,2,0,0,0,0,2,,,,,1,0,1,0,0,0,3,0
Foerster,Maximilian,BLACK,4,2,2,0,0,0,1,2,,,,,2,0,0,0,0,0,0,0
Fajardo,Jarolth,GREY,2,1,1,0,0,0,0,1,,,,,1,0,1,0,0,0,1,0
Gustafson,Erik,NETRO,2,1,1,0,0,0,0,1,,,,,1,0,0,0,0,0,0,0
Joelsson,Oscar,PURPL,6,1,2,0,0,0,1,2,,,,,0,1,2,0,0,0,0,0
Jager,Class,ORANG,3,0,1,0,1,0,0,3,,,,,0,0,0,0,0,2,0,0
Merkelbach,Lasser,BLACK,3,2,1,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0
Jecht,Andre,GREY,3,2,1,0,0,0,1,1,,,,,2,0,1,0,0,0,2,1
Gonzalez,Dayan,GREY,3,0,1,0,0,0,0,1,,,,,0,0,2,0,0,0,0,0
Thalemann,Luis,AQUA,3,0,1,0,0,0,0,1,,,,,1,0,1,0,0,0,1,0
Oijen,Gustav,BLACK,7,2,2,0,0,0,1,2,,,,,0,0,2,0,0,0,0,0
Rijna,Yairo,PURPL,7,0,2,0,0,0,2,2,,,,,0,0,5,0,0,0,0,0
Greven,Jochem,GREY,4,0,1,0,0,0,0,1,,,,,1,0,3,0,0,0,0,1
Ounap,Ander,AQUA,5,1,1,0,0,0,1,1,,,,,0,0,2,0,0,0,0,0
Patric,Louis,PURPL,5,1,1,0,0,0,0,1,,,,,0,0,3,0,0,0,0,0
De Jesus,Junior,PURPL,5,1,1,1,0,0,2,2,,,,,2,0,2,0,0,0,1,0
Alonso,Rafael,PURPL,7,0,1,0,0,0,1,1,,,,,0,0,3,0,0,0,0,0
Morales,Alex,SPAIN,6,1,0,0,0,0,0,0,,,,,0,1,2,0,0,0,0,0
Moreno,Moises,PURPL,6,0,0,0,0,0,1,0,,,,,0,1,3,0,0,0,0,0
Mendez,Enrique,SPAIN,6,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,1,0
Krukkert,Kristina,ORANG,5,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Arevalo,Vincent,BLACK,5,1,0,0,0,0,0,0,,,,,0,1,3,0,0,0,0,0
Binovec,Michal,GREEN,5,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Staus,Alexander,BLACK,5,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
Ascanio,Carlos,PURPL,5,1,0,0,0,0,0,0,,,,,2,0,4,0,0,0,1,0
Ferreira,Frank,AQUA,5,0,0,0,0,0,1,0,,,,,1,1,4,0,0,0,0,0
Borloni,Matteo,GREY,4,0,0,0,0,0,1,0,,,,,1,0,4,0,0,0,0,0
Marin,Laurin,BLACK,4,1,0,0,0,0,0,0,,,,,0,1,4,0,0,0,0,0
Sindel,Marek,GREEN,4,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Collazo,Jesus,PURPL,4,0,0,0,0,0,0,0,,,,,0,1,3,0,0,0,0,0
Goll,Leander,AQUA,4,1,0,0,0,0,0,0,,,,,1,0,3,0,0,0,0,0
Boris,Filip,GREEN,4,1,0,0,0,0,0,0,,,,,1,0,1,0,0,0,2,0
Figueroa,Samuel,GREY,3,0,0,0,0,0,1,0,,,,,1,0,2,0,0,0,0,0
Vancura,Matyas,GREY,3,1,0,0,0,0,1,0,,,,,1,0,1,0,0,0,0,0
Mihok,Marco,GREEN,3,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
Zivny,Jakub,GREEN,3,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Balaz,Jakub,GREEN,3,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
Spieb,Fabian,GERMA,3,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0
Cotogno,Gabriele,NETRO,3,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
Demic,Maksim,PURPL,3,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0
Romero,Luciano,PURPL,3,1,0,0,0,0,0,0,,,,,0,0,3,0,0,1,1,1
Kincl,Lukas,GREEN,3,0,0,0,0,0,0,0,,,,,2,0,3,0,0,0,2,0
Van Holy,Vince,GREY,2,0,0,0,0,0,0,0,,,,,0,1,2,0,0,0,0,0
