Player,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ANDERSEN
Oscar,CHI,1,0,2.00,1,1,0,1,0,7.0,2,4,2,9,10,0,0,0,23,0.087,1,1,0,0,0,4,6
BAANEN
Arjan,DEU,1,1,7.80,2,2,0,2,0,11.2,12,14,13,13,16,2,0,3,47,0.255,0,0,0,0,0,12,7
BANK
Dominik,DEU,3,2,5.15,5,5,0,5,1,34.0,42,29,25,6,39,8,1,7,147,0.286,1,1,0,2,0,33,30
CASTRO
Juan Diego,CHI,11,0,0.76,13,13,0,13,6,74.0,33,11,8,9,147,4,4,4,257,0.128,3,1,0,1,1,39,35
CECH
Jan,DEU,0,1,1.91,1,1,0,1,0,7.1,7,2,2,2,6,1,0,0,30,0.233,0,1,0,0,0,10,4
DE QUINT
Dennis,HOB,2,0,1.29,8,2,0,1,0,21.2,7,6,4,16,33,0,0,0,71,0.099,7,3,0,0,1,19,13
GUERRA ARTEAGA
Juan Carlos,DEU,4,2,4.10,6,6,0,5,0,29.0,36,19,17,14,12,6,0,2,120,0.300,5,0,1,2,0,40,29
HELLEMANS
Erik,GRE,0,1,30.33,1,1,0,1,0,3.0,14,13,13,3,1,1,0,1,22,0.636,2,0,0,2,0,2,7
JETMAR
Ales,DEU,0,0,4.67,1,1,0,0,0,6.0,6,5,4,3,11,1,1,1,24,0.250,1,0,0,0,0,2,5
KOBLIZEK
Filip,CHI,1,0,1.40,1,1,0,1,0,5.0,3,2,1,1,5,2,0,0,19,0.158,0,0,0,0,0,4,6
PANDURO
Jesper,DEU,1,1,0.88,2,2,0,2,1,16.0,7,4,2,7,24,1,0,1,55,0.127,1,0,0,1,0,13,10
RIZZI
Lucas,HOB,0,0,7.00,1,0,0,0,0,1.0,1,2,1,1,0,0,0,0,5,0.200,5,0,0,0,0,3,0
SMITS
Pieter,DEU,0,0,7.00,1,0,0,0,0,2.0,4,3,2,0,3,1,0,0,10,0.400,0,0,0,0,0,1,2
VAN AARSEN
Kristof,HOB,8,6,2.56,18,17,0,9,1,87.1,81,45,32,28,116,12,7,4,349,0.232,5,2,0,1,4,89,55
VAN DER LINDEN
Don,GRE,0,0,7.00,1,0,0,0,0,1.0,0,1,1,4,0,0,0,0,3,0.000,2,0,0,0,0,1,2
VAN DER VORST
David,CHI,1,2,12.60,3,3,0,2,0,15.0,27,32,27,22,3,8,0,4,68,0.397,7,5,0,1,0,25,12
VAN GENECHTEN
Joseph,GRE,0,15,9.88,15,15,0,13,0,79.1,151,142,112,60,82,34,5,18,388,0.389,28,4,0,7,6,34,116
VERSPREET
Xander,HOB,0,1,28.00,2,1,0,1,0,4.0,12,17,16,12,1,2,1,2,23,0.522,1,3,0,1,0,4,6
VERVLOET
Kevin,CHI,0,0,9.33,1,0,1,0,0,3.0,3,4,4,4,1,1,0,1,12,0.250,0,1,0,0,0,7,1
VINCK
Matthieu,GRE,0,2,26.79,4,2,0,1,0,9.2,39,43,37,16,4,6,3,5,65,0.600,10,2,0,2,0,6,15
VOJTECH
Kasper,CHI,2,1,1.56,3,3,0,3,1,18.0,13,4,4,3,19,3,0,0,66,0.197,1,0,0,0,0,21,13
