Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
SAVINO,Michael,VW,15,1,4,0,0,0,2,4,0.267,0.267,0.455,0.722,5,1,2,0,1,0,0,0
SCHADLER,Nicholas,MS,28,2,5,0,0,0,3,5,0.179,0.179,0.258,0.437,3,0,7,1,0,0,0,1
SCHAFFER,Jakob,GH,8,0,2,0,1,0,0,4,0.250,0.500,0.333,0.833,1,0,2,0,0,0,0,0
SCHEDLER,Laurin,HB,29,4,5,0,0,0,0,5,0.172,0.172,0.273,0.445,4,0,12,0,0,1,0,0
SCHEIBER,Felix,BB,48,7,8,1,0,0,4,9,0.167,0.188,0.333,0.521,10,2,19,0,0,4,0,0
SCHEICHER,Klaus,DD,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
SCHEICHER,Moritz,DD,100,23,28,3,0,3,21,40,0.280,0.400,0.390,0.790,17,1,15,1,0,2,4,0
SCHILLER,Alexander,GH,83,13,20,5,1,5,18,42,0.241,0.506,0.293,0.799,4,3,29,2,2,0,2,0
SCHNEIDER,Michael,VW,13,1,0,0,0,0,1,0,0.000,0.000,0.133,0.133,2,0,5,1,0,0,0,0
SCHWARZ,Elias,DD,3,0,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,2,0,0,0,0,0
SCHÜTZ,Lukas,BB,43,9,9,4,0,0,4,13,0.209,0.302,0.386,0.688,13,0,7,1,1,1,1,0
SCHÜTZ,Severin,BB,41,11,9,2,0,0,4,11,0.220,0.268,0.360,0.628,7,2,4,1,0,0,3,1
SEISER,Claus,MS,109,14,25,4,0,0,15,29,0.229,0.266,0.323,0.589,12,4,11,3,2,0,1,1
SIMONSEN,Jakob,MS,62,15,15,2,0,0,2,17,0.242,0.274,0.413,0.687,8,10,16,1,0,1,0,0
SQUIRES,Chris,IN,105,25,36,8,1,5,38,61,0.343,0.581,0.459,1.040,16,9,20,3,3,1,10,3
STEMMER,Georg,VW,95,14,23,4,0,3,8,36,0.242,0.379,0.321,0.700,11,0,28,1,0,0,11,4
STEPHAN,Felix,BB,62,13,18,2,1,1,12,25,0.290,0.403,0.380,0.783,9,0,21,0,0,2,3,1
SUCHAROWSKI,Stefan,DD,30,4,3,0,0,0,4,3,0.100,0.100,0.229,0.329,4,1,8,0,0,1,1,0
SWANSON,Jonathan,MS,8,3,2,0,0,0,0,2,0.250,0.250,0.400,0.650,2,0,0,0,0,0,0,0
TALIR,Dominik,VW,91,23,27,4,1,2,11,39,0.297,0.429,0.425,0.854,18,3,24,1,1,0,25,2
THAU,Angelo,VW,8,1,0,0,0,0,0,0,0.000,0.000,0.111,0.111,1,0,5,0,0,0,0,0
THEINER,Marcel,IN,91,11,18,4,0,4,17,34,0.198,0.374,0.373,0.747,19,7,43,0,1,0,0,0
TOMSICH,Christian,VW,17,4,3,0,0,0,3,3,0.176,0.176,0.158,0.334,0,0,0,0,2,0,0,0
TOPPER,Josh,MS,12,4,5,1,0,0,1,6,0.417,0.500,0.500,1.000,2,0,4,0,0,0,0,0
TRACEY,Max Dylan,DD,98,34,42,7,2,3,28,62,0.429,0.633,0.496,1.129,13,2,6,2,2,0,18,0
TRAUT,Lucas,HB,94,21,31,7,0,1,20,41,0.330,0.436,0.383,0.819,6,4,20,1,3,3,9,1
TRIMMEL,Markus,GH,64,8,14,3,1,1,5,22,0.219,0.344,0.315,0.659,7,2,30,0,0,0,0,0
TRUJILLO SILVA,Livan,BB,85,28,32,6,0,2,15,44,0.376,0.518,0.470,0.988,12,3,9,1,0,0,5,1
VALS FRIAS,Erwin Eduardo,HB,118,35,53,5,1,1,10,63,0.449,0.534,0.496,1.030,11,0,17,2,0,4,17,4
VARGA,Michael,BB,72,15,22,7,0,3,14,38,0.306,0.528,0.452,0.980,16,4,16,0,1,0,1,0
WEATHERLY,Nathan,MS,95,16,24,3,0,6,17,45,0.253,0.474,0.349,0.823,12,2,36,1,0,0,1,0
WERNER,Tobias,GH,91,21,29,3,0,3,17,41,0.319,0.451,0.441,0.892,14,6,13,3,0,0,6,1
WINDER,Marcel,HB,86,4,26,3,0,0,13,29,0.302,0.337,0.341,0.678,3,2,16,0,0,3,1,2
ZIMMERMANN,Jonas Michael,HB,8,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
ZOUFAL,Alessandro,DD,53,10,15,2,0,0,8,17,0.283,0.321,0.365,0.686,4,4,15,0,2,0,0,0
