Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ABREU FLORIMON,Alcis Manuel,CER,0,3,13.17,12,0,1,0,0,13.2,12,27,20,28,20,2,1,1,54,0.222,5,1,0,0,0,13,7
ACCORSI,Luca,ATL,0,0,5.40,1,0,0,0,0,1.2,2,1,1,2,1,0,0,0,7,0.286,1,0,0,0,0,1,3
ACERBI,Edoardo,COL,1,7,4.53,16,12,0,0,0,59.2,70,39,30,39,54,10,3,2,244,0.287,5,8,0,1,3,59,55
AGOSTO,Andrea,TOR,0,0,13.50,1,0,0,0,0,0.2,1,1,1,0,1,0,0,0,3,0.333,0,1,0,0,0,0,1
AIELLO,Tommaso,RIM,1,7,4.85,17,11,0,0,0,59.1,48,38,32,57,58,5,4,1,214,0.224,3,5,0,1,4,51,59
ALBANEZ RIENZO,André,RSM,1,2,7.04,8,2,2,0,0,15.1,18,12,12,13,11,2,0,1,58,0.310,1,1,0,2,1,13,18
ALDEGHERI,Mattia,PAR,5,1,3.20,20,8,1,0,0,59.0,48,28,21,34,49,10,0,0,219,0.219,3,5,0,2,2,76,43
ALFINITO MONTECCHI,Simone,CRO,0,0,27.00,1,0,0,0,0,1.0,3,3,3,1,0,2,0,0,6,0.500,0,0,0,0,0,1,2
ALI,Kamran,GRO,0,0,24.30,4,0,0,0,0,3.1,11,12,9,2,3,1,1,0,21,0.524,1,0,1,0,0,2,4
ALIOTO,Giuseppe,TOR,0,0,10.50,5,0,0,0,0,6.0,8,8,7,7,5,3,0,0,26,0.308,3,0,0,0,1,7,6
ALLEGRI,Alessandro,OLT,0,0,9.95,4,0,0,0,0,6.1,10,9,7,6,3,1,0,0,28,0.357,0,1,0,0,0,4,11
ALMORA ESCUDERO,Julio Jesus,POV,6,3,2.08,15,12,3,0,0,65.0,52,18,15,14,76,6,2,0,237,0.219,6,8,0,0,5,67,44
AMORE,Gabriele,SET,0,2,5.95,15,1,1,0,0,19.2,20,16,13,19,16,4,1,0,75,0.267,6,4,1,0,0,11,26
