Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
BERNADINA,Rogearvin Argelo Alejandro,MAC,22,9,9,0,0,1.000,0,0,0,,0,0
BERNARDI,Andrea,ROV,23,43,40,1,2,0.953,0,3,0,100.0,0,0
BERNARDIS,Mattia,NET,6,3,0,3,0,1.000,0,0,0,,0,0
BERTOLDI,Davide,RON,11,8,2,5,1,0.875,1,1,0,100.0,0,0
BERTOLDI,Nicholas,RON,23,84,21,51,12,0.857,5,0,0,,0,0
BERTOLINI,Romano,COL,9,1,0,1,0,1.000,0,0,1,0.0,0,0
BERTOSSI,Riccardo,BOL,28,30,29,1,0,1.000,1,0,0,,0,0
BETTATI,Jacopo,OLT,22,118,109,8,1,0.992,7,0,0,,0,0
BETTOLA,Michele,MIL,4,2,1,1,0,1.000,0,0,0,,0,0
BIANCHI,Filippo,MOD,17,19,16,1,2,0.895,0,0,0,,0,0
BIFFOLI,Andrea,FIO,8,27,21,6,0,1.000,0,0,0,,0,0
BIGLIARDI,Riccardo,CRO,11,14,1,12,1,0.929,0,1,3,25.0,0,0
BISCONTRI,Niccolò Maria,BBC,15,47,43,3,1,0.979,0,5,0,100.0,0,0
BOCCHI,Matteo,PAR,11,7,0,6,1,0.857,1,0,1,0.0,0,0
BOLLA,Diego,SET,11,7,0,3,4,0.429,0,2,0,100.0,0,0
BONAMINI,Andrea,VER,19,113,87,23,3,0.973,4,13,3,81.3,0,0
BONEMEI,Davide,RIM,20,22,22,0,0,1.000,0,0,0,,0,0
BONILLA GARCIA,Ramon Antonio,NET,25,80,28,48,4,0.950,10,0,0,,0,0
BONVINI,Francesco Maria,CRO,8,2,0,2,0,1.000,0,0,0,,0,0
BORELLA,Jacopo,CRO,8,2,0,2,0,1.000,0,1,0,100.0,0,0
BORGHI,Gabriele,REG,4,1,0,0,1,0.000,0,0,0,,0,0
BORGHI,Gilberto,BOL,20,33,30,3,0,1.000,4,0,0,,0,0
BORIOTTI,Andrea,COD,13,5,3,1,1,0.800,0,0,0,,0,0
BORTOLAMAI,Giovanni,SEN,12,13,0,12,1,0.923,0,0,1,0.0,0,0
BOZA CORREA,Carlos Richard,TOR,16,84,25,51,8,0.905,13,0,0,,0,0
BRANDI,Francesco,BBC,6,2,2,0,0,1.000,0,0,0,,0,0
BRAVO RIQUENE,Humberto,ROV,25,111,57,49,5,0.955,16,0,0,,0,0
BRINI,Lorenzo,FIO,9,11,4,3,4,0.636,0,0,0,,0,0
BRUNO,Samuele,BBC,22,22,22,0,0,1.000,0,0,0,,0,0
BUCCHI,Mattia,GOD,17,53,50,3,0,1.000,5,0,0,,0,0
BUIN,Enrico,ROV,26,150,120,25,5,0.967,13,0,0,,0,0
BURANI,Niccolò,POV,7,3,0,3,0,1.000,1,0,0,,0,0
BURATO,Fabio,VER,24,122,105,14,3,0.975,18,0,0,,0,0
BÄCKSTRÖM,Leonard Nils Erik,PAU,4,37,33,3,1,0.973,3,0,1,0.0,0,0
CADDEO,Emanuel,CAN,6,6,6,0,0,1.000,0,0,0,,0,0
CAIAZZO,Antonio,LIN,16,24,12,12,0,1.000,4,0,0,,0,0
CAIMMI,Mattia,COD,24,80,38,37,5,0.938,5,0,0,,0,0
CALASSO,Simone,SEN,23,103,34,57,12,0.883,10,0,0,,0,0
CALCAGNI,Elia,MAC,4,2,1,1,0,1.000,1,0,0,,0,0
CALERO GAMEZ,Angel Gustavo,MOD,8,5,1,4,0,1.000,1,1,0,100.0,0,0
CALVO,Federico,SET,17,58,55,3,0,1.000,3,0,0,,0,0
CALVO,Giorgio,SET,19,101,38,50,13,0.871,6,0,0,,0,0
CAMBARAU,Simone,CAG,9,12,4,6,2,0.833,2,0,0,,0,0
CAMPANELLA,Lorenzo,MOD,11,1,0,0,1,0.000,0,0,0,,0,0
CAMPAZZI,Simone,MOD,15,21,20,1,0,1.000,0,0,0,,0,0
CAMPOS CARRAZANA,Abel Josè,GOD,12,18,2,15,1,0.944,1,0,0,,0,0
CANACHE SOLER,Roberto Arturo,PAD,24,37,33,4,0,1.000,0,0,0,,0,0
CANALE,Gianluca,LIN,3,2,1,0,1,0.500,0,0,0,,0,0
CAO,Tommaso,CAG,14,15,13,1,1,0.933,1,0,0,,0,0
CAPELLANO,Andrea,MIL,21,96,34,55,7,0.927,8,0,0,,0,0
CAPELLANO,Luca,POV,10,7,0,6,1,0.857,0,2,0,100.0,0,0
CAPPUCCINI,Francesco,GRO,26,24,23,0,1,0.958,0,0,0,,0,0
CARANZETTI,Federico,LIN,5,3,0,1,2,0.333,1,0,0,,0,0
CARBO CAMPOALEGRE,Jonathan,BBC,2,1,0,1,0,1.000,0,0,0,,0,0
CARDARELLI,Andrea,LIN,15,35,15,18,2,0.943,2,0,0,,0,0
CARETTA,ALAN,NET,15,15,13,1,1,0.933,0,0,0,,0,0
CARIMA,Emanuele,OLT,16,26,13,12,1,0.962,1,0,0,,0,0
CARNEVALE,Simone,OLT,12,11,4,5,2,0.818,1,0,1,0.0,0,0
CARRERA LOPEZ,Jesus Daniel,MAC,31,192,184,7,1,0.995,32,0,0,,0,0
CARRILLO SUAREZ,ERIEL,CRO,13,16,3,12,1,0.938,1,0,0,,0,0
CASADIO,Antonio,GOD,24,99,92,7,0,1.000,5,1,1,50.0,0,0
CASADIO,Matteo,GOD,18,31,12,13,6,0.806,2,0,0,,0,0
CASANOVA CALLABA,Erly,PAR,10,11,1,10,0,1.000,0,0,0,,0,0
CASSINI,Duccio,FIO,18,66,28,35,3,0.955,6,0,0,,0,0
CASTILLO ALVAREZ,FELIX ANDRES,TOR,17,35,31,2,2,0.943,1,0,0,,0,0
CASTILLO CASTILLO,Jonathan,POV,20,47,41,3,3,0.936,0,0,0,,0,0
CASTILLO NOVAIS,Jesús Enrique,COL,5,10,5,5,0,1.000,2,0,0,,0,0
CATELLANI,Sebastiano,OLT,24,50,43,6,1,0.980,2,0,0,,0,0
CECCAROLI,Riccardo,OLT,12,1,0,1,0,1.000,0,0,0,,0,0
CECHET,Ivan,RON,4,3,3,0,0,1.000,0,0,0,,0,0
CELLI,Federico,RSM,29,41,36,3,2,0.951,0,0,0,,0,0
CEPPARI,Leonardo,PAU,12,22,18,2,2,0.909,1,2,1,66.7,1,0
CEPPARULO,Nicola,POV,7,4,1,3,0,1.000,0,0,0,,0,0
CERIALI,Lorenzo Zeo,REG,22,51,19,30,2,0.961,7,0,0,,0,0
CERRUTI,Michele,PAU,19,46,35,5,6,0.870,1,0,0,,0,0
CHACON DE ANTONIS,Alejandro Gabriel,RIM,21,73,34,31,8,0.890,12,0,0,,0,0
CHELLI,Gabriele,BBC,31,48,37,8,3,0.938,1,0,0,,0,0
CIALLI,Francesco,FIO,24,140,51,78,11,0.921,12,0,0,,0,0
CIARLA,Alessandro,NET,10,8,2,6,0,1.000,0,0,0,,0,0
CIFALINÒ,Thomas,RIM,21,94,37,53,4,0.957,11,0,0,,0,0
CINELLI,Niccolò,GRO,34,167,157,9,1,0.994,1,16,4,80.0,6,0
CIRILLI,Mattia,MOD,12,30,9,18,3,0.900,4,0,0,,0,0
CIRILLO,Riccardo,SET,18,104,89,7,8,0.923,0,20,2,90.9,3,1
CIVIT SAN MARTIN,Marc,BOL,11,6,0,5,1,0.833,0,0,0,,0,0
COCCHI,Alex,ATL,15,20,14,3,3,0.850,1,0,0,,0,0
COFFRINI,Luca,COL,15,25,9,11,5,0.800,3,0,0,,0,0
COLUMBU,Alessio,CAN,7,13,12,0,1,0.923,0,0,0,,0,0
CONCEPCION HERNANDEZ,Anthony Jose,NET,5,6,4,2,0,1.000,0,0,0,,0,0
CONTINI,Antonio,CAN,15,32,30,1,1,0.969,1,0,0,,0,0
CONTRI,Alex,ATL,1,1,1,0,0,1.000,0,0,0,,0,0
CORIO,Giuseppe,COD,22,33,30,2,1,0.970,0,0,0,,0,0
CORRADIN,Michael,ATL,12,15,14,0,1,0.933,0,3,0,100.0,0,0
CORRADO,Alessio,MOD,6,7,7,0,0,1.000,0,0,0,,0,0
CORREA ROMERO,MANAURYS,MAC,10,12,0,12,0,1.000,1,0,0,,0,0
CORTESI,Yuri,RIM,16,74,18,53,3,0.959,12,0,0,,0,0
COVATI,Matteo,CRO,18,117,89,26,2,0.983,5,4,2,66.7,0,0
CREPALDI,Enrico,ROV,12,9,1,7,1,0.889,0,0,5,0.0,0,0
CREPALDI,Filippo,BOL,11,10,4,5,1,0.900,0,0,0,,0,0
CRISTIANO,Andrea,SEN,12,23,8,14,1,0.957,4,0,0,,0,0
CUESTA LINDSAY,José Pablo,CAG,28,86,44,35,7,0.919,9,0,0,,0,0
CUETO PEREZ,Randy,MIL,7,8,1,5,2,0.750,1,0,0,,0,0
CUGIA,Domenico Andrea,CAN,18,134,128,4,2,0.985,9,0,0,,0,0
CUGIA,Marco,CAN,16,8,6,1,1,0.875,1,0,0,,0,0
CUOMO,Joseph Anthony,MAC,9,4,0,4,0,1.000,0,0,0,,0,0
D'AMICO ALVAREZ,Eliezer Orlando,CAN,31,51,36,11,4,0.922,1,1,0,100.0,0,0
D'AMICO,Yovany Eliezer,CAN,12,6,2,2,2,0.667,1,0,0,,0,0
D'AURIA,Lorenzo,LIN,23,95,33,51,11,0.884,11,0,0,,0,0
DA RE,Giulio,RON,19,43,39,4,0,1.000,0,2,1,66.7,0,0
DADDI,Filippo,COL,22,138,137,1,0,1.000,21,0,0,,0,0
DALL'AGNESE,Gabriel,MIL,13,7,0,7,0,1.000,0,0,1,0.0,0,0
DALL'OLIO,Francesco,MOD,15,9,4,3,2,0.778,1,0,0,,0,0
DALLA SILVESTRA,Matteo,RON,10,3,0,2,1,0.667,0,0,0,,0,0
DANDO,Niccolò Christopher,VER,8,1,0,0,1,0.000,0,0,0,,0,0
DANIEL ALEJANDRO,Jimenez Cruxent,GRO,4,3,3,0,0,1.000,0,0,0,,0,0
DE ANGELIS,Manuel,LIN,6,19,8,11,0,1.000,0,0,0,,0,0
DE AZA PEREZ,Bryan Alejandro,PAU,22,43,28,8,7,0.837,3,0,0,,0,0
DE BLASI,Tommaso,TOR,19,80,72,6,2,0.975,5,1,0,100.0,1,0
DE BONI,Christian,ROV,12,40,39,1,0,1.000,2,2,1,66.7,0,0
DE BONI,Filippo,VER,7,18,18,0,0,1.000,0,3,0,100.0,0,0
DE DONNO,Giacomo Maria,NET,7,22,22,0,0,1.000,0,2,0,100.0,0,0
DE LEON RAMIREZ,Anderson Alberto,RSM,10,10,2,8,0,1.000,1,0,0,,0,0
