Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
POOT,Feline,SPA,25,7,11,1,0,1,7,15,0.440,0.600,0.500,1.100,3,0,4,0,0,0,2,0
POOT,Ismay,SPA,70,10,17,5,1,0,16,24,0.243,0.343,0.316,0.659,2,6,15,0,1,4,5,0
PRINS,Anna,OLY,85,16,27,4,2,0,24,35,0.318,0.412,0.379,0.791,9,0,17,1,1,2,0,0
RAZEY,Ashley,ROE,27,4,12,1,0,1,12,16,0.444,0.593,0.471,1.064,3,1,3,1,3,0,1,0
RECTOR,Machteld,OLY,82,9,20,4,0,0,10,24,0.244,0.293,0.304,0.597,7,1,15,1,2,3,1,1
REMMERS,Tess,TTT,48,7,7,0,0,0,8,7,0.146,0.146,0.246,0.392,7,0,17,1,2,0,0,0
RIJGERSBERG,Jade,PIO,60,3,6,0,0,0,3,6,0.100,0.100,0.182,0.282,6,0,19,0,0,0,0,0
SCHEURKOGEL,Bobbi,SPA,121,29,51,6,0,0,36,57,0.421,0.471,0.462,0.933,8,2,7,0,1,2,7,0
SCHOOR,Caressa,SPA,7,0,1,1,0,0,1,2,0.143,0.286,0.143,0.429,0,0,3,0,0,0,0,0
SCHOUTEN,Sarah,PIO,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
SCHUUR,Michelle,QUI,97,22,27,3,2,1,17,37,0.278,0.381,0.358,0.739,9,3,29,0,0,1,7,0
SIERING,Pia,TTT,22,8,5,0,0,0,0,5,0.227,0.227,0.393,0.620,5,1,6,0,0,1,1,2
SMID,Myrthe,TTT,7,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
SMIT,Isa,OGZ,27,9,9,1,1,0,6,12,0.333,0.444,0.400,0.844,3,0,9,0,0,1,1,0
SNOW,Elizabeth,ROE,48,10,15,7,0,0,10,22,0.313,0.458,0.476,0.934,13,2,6,0,0,1,4,0
SPINAS-VALAINIS,Alyson,OLY,24,1,6,0,0,0,3,6,0.250,0.250,0.308,0.558,0,2,2,0,0,0,0,0
STOOVELAAR,Ilse,PIO,31,0,2,0,0,0,0,2,0.065,0.065,0.065,0.130,0,0,18,0,0,1,0,0
STUART,Rhowan,AMS,108,24,40,3,4,2,24,57,0.370,0.528,0.438,0.966,13,0,22,0,0,0,0,0
SZALAY,Katharina,OGZ,104,21,44,6,0,0,10,50,0.423,0.481,0.440,0.921,4,0,13,0,1,2,8,1
TEN DONKELAAR,Danielle,TTT,98,12,25,1,0,0,21,26,0.255,0.265,0.333,0.598,12,1,14,0,3,1,0,0
TER HEEGDE,Resa,AMS,81,14,14,3,0,0,11,17,0.173,0.210,0.250,0.460,7,2,28,0,2,3,0,0
THEROU-VAN KNEGSEL,Eva,ROE,22,3,9,1,0,0,1,10,0.409,0.455,0.435,0.890,1,0,2,0,0,1,0,0
TOET,Pascalle,OGZ,2,0,1,1,0,0,0,2,0.500,1.000,0.500,1.500,0,0,0,0,0,0,0,0
TOLMIE,Jessica,ROE,7,2,2,0,0,0,1,2,0.286,0.286,0.286,0.572,0,0,2,0,0,0,0,0
UDINK,Amy,OGZ,89,9,17,2,0,0,10,19,0.191,0.213,0.258,0.471,6,2,11,4,0,2,0,0
UYTENDAAL,Lizzy,QUI,75,12,16,0,0,0,9,16,0.213,0.213,0.294,0.507,8,1,13,0,1,3,1,1
UYTENDAAL,Nicky,QUI,105,26,37,7,2,1,18,51,0.352,0.486,0.514,1.000,25,11,10,1,1,0,6,0
VAN AALST,Jessie,OLY,116,42,50,3,8,1,39,72,0.431,0.621,0.552,1.173,33,2,8,1,3,1,19,0
VAN BAAL,Aafje,TTT,89,14,21,2,2,3,14,36,0.236,0.404,0.340,0.744,13,2,30,0,2,1,1,0
VAN DALEN,Maxime,SPA,104,48,47,7,2,9,46,85,0.452,0.817,0.585,1.402,31,5,12,0,2,0,4,0
VAN DEN ESKER,Babbette,PIO,23,1,5,1,0,0,1,6,0.217,0.261,0.250,0.511,1,0,10,1,0,0,0,0
VAN DER HEIDE,Sophie,PIO,46,2,2,0,0,0,1,2,0.043,0.043,0.120,0.163,4,0,32,0,0,0,0,0
VAN DER KOLK,Puck,QUI,89,7,21,6,1,0,21,29,0.236,0.326,0.296,0.622,8,0,23,1,1,0,0,0
VAN DER MEER,Julia,OLY,45,12,14,3,2,0,8,21,0.311,0.467,0.365,0.832,4,1,8,0,2,1,1,0
VAN DER MEER,Michelle,OLY,14,5,2,0,1,0,0,4,0.143,0.286,0.333,0.619,4,0,3,0,0,0,1,0
VAN DER PUTTEN,Sanne,AMS,71,12,18,2,1,0,5,22,0.254,0.310,0.372,0.682,13,1,14,0,1,2,9,3
VAN DER ZANDEN,Cindy,OLY,113,47,46,9,5,4,28,77,0.407,0.681,0.493,1.174,22,0,10,0,3,1,16,0
VAN DIJK,Denice,SPA,102,11,29,7,0,0,11,36,0.284,0.353,0.305,0.658,2,1,18,0,0,3,3,0
VAN DIJK,Franka,QUI,120,33,51,6,8,4,30,85,0.425,0.708,0.457,1.165,7,1,12,0,1,0,15,3
VAN GENNIP,Richelle,QUI,33,7,6,2,0,0,3,8,0.182,0.242,0.263,0.505,4,0,9,0,1,0,0,0
VAN GURP,Suka,SPA,114,58,48,8,8,3,30,81,0.421,0.711,0.525,1.236,23,2,13,0,0,2,10,1
VAN KERKOERLE,Ilse,ROE,10,1,3,0,0,0,1,3,0.300,0.300,0.417,0.717,2,0,1,0,0,1,0,0
VAN RAEMDONCK,Lisa,TTT,38,9,8,2,0,0,2,10,0.211,0.263,0.388,0.651,11,0,12,0,0,1,0,0
VAN VEEN,Rachel,OLY,97,18,24,5,1,1,17,34,0.247,0.351,0.282,0.633,5,0,16,0,1,1,2,0
VERDAASDONK,Sophie,ROE,80,12,22,4,0,3,19,35,0.275,0.438,0.370,0.808,12,0,17,2,0,2,2,1
VERDICK,Winke,AMS,3,1,0,0,0,0,2,0,0.000,0.000,0.250,0.250,1,0,3,0,0,1,0,0
VERSLOOT,Eva,ROE,61,4,15,4,0,0,14,19,0.246,0.311,0.294,0.605,5,0,12,1,2,1,0,0
VLEUGELS,Marielle,OLY,116,18,45,6,1,4,32,65,0.388,0.560,0.455,1.015,15,0,2,3,1,1,2,0
VONK,Britt,TTT,78,46,42,14,3,2,20,68,0.538,0.872,0.648,1.520,25,1,9,1,1,0,16,2
VOORTMAN,Eva,QUI,17,4,8,1,0,0,2,9,0.471,0.529,0.526,1.055,2,0,3,0,0,0,1,1
WAASDORP,Jessica,OGZ,52,7,10,2,0,0,6,12,0.192,0.231,0.306,0.537,8,1,15,1,1,0,0,0
WESTHOEK,Julia,PIO,92,10,20,3,0,0,3,23,0.217,0.250,0.287,0.537,7,2,25,0,0,0,2,2
WISSINK,Laura,QUI,115,32,46,5,7,3,27,74,0.400,0.643,0.507,1.150,27,0,6,0,2,2,7,0
WITVLIET,Fleur,PIO,76,2,9,1,0,0,3,10,0.118,0.132,0.173,0.305,4,1,28,0,0,1,2,1
WITVLIET,Roos,PIO,13,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,5,0,0,0,0,0
ZOETMULDER,Martine,PIO,12,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
ZUIVER,Yarah,OGZ,7,2,2,0,0,0,2,2,0.286,0.286,0.545,0.831,4,0,2,0,0,1,2,0
