Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
MUJICA,Yadir,CUB,7,1,1,0,0,0,0,1,0.143,0.143,0.143,0.286,0,0,2,0,0,1,0,0
MULLEN,Robert,PAN,6,1,1,1,0,0,0,2,0.167,0.333,0.167,0.500,0,0,2,0,0,0,0,0
MUÑOZ,Edgard,PAN,22,3,6,1,0,1,2,10,0.273,0.455,0.273,0.728,0,0,3,0,0,0,0,0
NA,Seungyeup,KOR,6,2,1,0,0,1,1,4,0.167,0.667,0.286,0.953,1,0,3,1,0,0,1,0
NÚÑEZ,Rainer,DOM,13,1,2,1,0,0,2,3,0.154,0.231,0.154,0.385,0,0,4,0,0,0,0,0
OKEY,Chris,USA,5,1,1,0,0,0,1,1,0.200,0.200,0.200,0.400,0,0,2,0,0,0,0,0
ORNELAS,Julian,MEX,12,2,1,0,0,0,0,1,0.083,0.083,0.214,0.297,2,0,4,0,0,0,0,0
OROZCO,Rodrigo,PAN,9,1,3,0,0,1,1,6,0.333,0.667,0.333,1.000,0,0,3,0,0,0,0,0
PAGAN,Ezequiel,PUR,16,3,6,0,1,2,3,14,0.375,0.875,0.474,1.349,3,0,6,0,0,0,0,0
PALACIOS,Jermaine,VEN,16,6,4,0,0,2,3,10,0.250,0.625,0.400,1.025,4,0,6,0,0,1,0,0
PAN,Chieh-Kai,TPE,10,1,3,0,0,0,0,3,0.300,0.300,0.300,0.600,0,0,2,1,0,0,0,0
PARK,Dongwon,KOR,13,2,4,1,0,1,2,8,0.308,0.615,0.308,0.923,0,0,4,1,0,0,0,0
PARK,Seonghan,KOR,9,1,4,0,0,0,0,4,0.444,0.444,0.444,0.888,0,0,2,0,0,0,2,0
PEREZ,Andrys,CUB,3,0,2,0,0,0,0,2,0.667,0.667,0.833,1.500,3,0,1,0,0,0,0,0
PEREZ,Carlos,VEN,16,2,6,1,0,0,1,7,0.375,0.438,0.412,0.850,0,1,1,0,0,0,0,0
PEREZ,Juan,MEX,17,3,4,0,0,1,4,7,0.235,0.412,0.316,0.728,2,0,5,0,0,0,0,1
PERKINS,Robbie,AUS,10,1,2,0,0,1,4,5,0.200,0.500,0.182,0.682,0,0,6,0,1,0,0,0
PROFAR,Juremi,NED,21,0,5,1,0,0,3,6,0.238,0.286,0.227,0.513,0,0,0,2,1,0,0,0
PÉREZ,Carlos,VEN,13,3,5,1,0,1,3,9,0.385,0.692,0.400,1.092,0,1,1,0,1,0,0,0
PÉREZ,Hernán,VEN,7,4,6,2,0,2,3,14,0.857,2.000,0.857,2.857,0,0,0,0,0,0,0,1
QUIROZ,Carlos Xavier,PAN,19,2,5,1,0,1,4,9,0.263,0.474,0.250,0.724,0,0,3,0,1,0,0,0
RAMOS,Jose,PAN,17,2,2,0,0,1,3,5,0.118,0.294,0.211,0.505,2,0,10,0,0,0,1,0
REYES,Angel,VEN,18,2,4,1,0,0,1,5,0.222,0.278,0.222,0.500,0,0,3,0,0,1,0,1
RICHARDSON,Denzel,NED,20,4,8,3,0,2,3,17,0.400,0.850,0.400,1.250,0,0,3,1,0,0,0,0
RITTER,Luke,USA,20,3,5,2,0,1,2,10,0.250,0.500,0.273,0.773,1,0,8,0,1,0,0,0
RIVERA,Yadiel,PUR,14,0,3,1,0,0,2,4,0.214,0.286,0.267,0.553,1,0,4,0,0,0,1,1
RODRIGUEZ,Abraham,PAN,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
RODRIGUEZ,Christian,CUB,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,1
RODRIGUEZ,David,VEN,6,1,2,0,0,0,0,2,0.333,0.333,0.429,0.762,1,0,3,0,0,0,0,0
RODRIGUEZ,Herlis,VEN,13,4,3,0,0,1,2,6,0.231,0.462,0.333,0.795,2,0,1,0,0,1,0,0
RODRÍGUEZ,Frank,DOM,5,1,0,0,0,0,1,0,0.000,0.000,0.375,0.375,3,0,0,0,0,0,0,0
ROJAS,Jose,MEX,15,1,4,0,0,1,6,7,0.267,0.467,0.400,0.867,4,0,3,0,1,0,1,0
ROSS,Shawn,PUR,19,1,2,0,0,0,1,2,0.105,0.105,0.150,0.255,1,0,8,0,0,0,0,0
SAKAKURA,Shogo,JPN,7,3,4,0,0,0,0,4,0.571,0.571,0.700,1.271,2,1,0,0,0,0,0,0
SANCHEZ,Asael,MEX,6,0,1,0,0,0,0,1,0.167,0.167,0.286,0.453,1,0,2,0,0,0,0,0
SANO,keita,JPN,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
SANTOS,Jhonny,PAN,18,4,7,4,1,2,3,19,0.389,1.056,0.400,1.456,1,0,3,0,1,0,0,0
SANTOS,Roel,CUB,13,2,4,0,0,0,0,4,0.308,0.308,0.357,0.665,1,0,1,0,0,0,0,0
SCHOOP,Jonathan,NED,18,5,6,3,1,0,5,11,0.333,0.611,0.455,1.066,4,0,3,2,0,0,0,0
SCHOOP,Sharlon,NED,20,3,9,0,0,2,5,15,0.450,0.750,0.476,1.226,1,0,1,0,0,0,0,0
SELASSA,Delano,NED,11,4,5,1,0,0,0,6,0.455,0.545,0.500,1.045,1,0,1,0,0,0,0,0
SHAW,Matt,USA,19,6,11,1,1,2,12,20,0.579,1.053,0.609,1.662,2,1,3,1,1,0,3,0
SHIN,Minjae,KOR,6,2,1,0,0,0,1,1,0.167,0.167,0.286,0.453,0,1,1,0,0,2,1,0
SIMPSON,Chandler,USA,20,7,11,1,0,0,4,12,0.550,0.600,0.609,1.209,3,0,0,0,0,1,6,0
SONG,Sungmun,KOR,8,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
TATSUMI,Ryosuke,JPN,9,2,1,1,0,0,2,2,0.111,0.222,0.250,0.472,2,0,2,0,1,0,0,0
TEJADA,Ruben,PAN,15,5,3,1,0,2,4,10,0.200,0.667,0.350,1.017,3,1,2,0,1,0,1,0
THOMAS,Colby,USA,16,2,4,1,0,0,1,5,0.250,0.313,0.368,0.681,2,1,6,0,0,0,1,0
TOMSJANSEN,Rushenten,NED,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
TORRES,Victor,PUR,7,2,2,1,0,0,0,3,0.286,0.429,0.286,0.715,0,0,2,0,0,0,0,0
