Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
LIEFOOGHE,Basile,POP,4,2,0,0,0,0,1,0,0.000,0.000,0.600,0.600,5,1,4,0,0,0,4,0
LIEKENS,Ferre,HEI,6,3,1,0,0,0,2,1,0.167,0.167,0.545,0.712,3,2,4,0,0,0,7,0
LIESSENS,Robbe,CHI,13,14,3,0,0,0,4,3,0.231,0.231,0.643,0.874,15,0,6,0,0,0,18,1
LOOSE,Bram,OOS,26,7,8,0,0,0,8,8,0.308,0.308,0.357,0.665,2,0,13,0,0,0,10,0
LORIES,Romain,BRI,2,1,1,0,0,0,2,1,0.500,0.500,0.667,1.167,1,0,1,0,0,0,1,0
LORIES,Romain,BRI,10,5,3,0,0,0,3,3,0.300,0.300,0.611,0.911,8,0,6,0,0,0,1,0
LORIES,Samuël,BRI,13,8,5,0,0,0,6,5,0.385,0.385,0.619,1.004,5,3,2,0,0,0,14,0
LORRENTOP,Jasper,HOB,22,10,7,4,0,0,13,11,0.318,0.500,0.464,0.964,5,1,7,0,0,0,5,0
MACHTELINCKX,Robbe,ZOT,20,8,6,2,0,0,7,8,0.300,0.400,0.440,0.840,4,1,13,0,0,0,16,1
MAGGI,Kian,MER,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
MAHIANT,Guillaume,BRI,4,3,0,0,0,0,1,0,0.000,0.000,0.600,0.600,5,1,4,0,0,0,5,0
MALFAIT,Arno,OUD,12,5,2,1,0,0,1,3,0.167,0.250,0.286,0.536,2,0,5,0,0,0,5,0
MANON,Manoa,AND,4,5,2,1,0,1,5,6,0.500,1.500,0.714,2.214,3,0,0,0,0,0,6,0
MARCHAND,Julie,BRU,10,6,1,0,0,0,2,1,0.100,0.100,0.438,0.538,6,0,5,0,0,0,8,0
MARTENS,Lex,CHI,27,13,11,1,2,0,17,16,0.407,0.593,0.568,1.161,9,1,7,0,0,0,24,5
MARTINEZ ISHIHARA,Kentaro,MER,1,2,1,0,0,1,3,4,1.000,4.000,1.000,5.000,1,0,0,0,0,0,0,0
MARTINEZ ISHIHARA,Kentaro,MER,14,17,8,1,2,1,5,16,0.571,1.143,0.760,1.903,10,1,3,0,0,0,11,0
MASSE,Louis,BIN,3,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
MATHIEU,Hugo,NAM,10,11,3,1,0,0,2,4,0.300,0.400,0.720,1.120,15,0,5,0,0,0,10,0
MEIR,Lou,BRA,2,1,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,1,0,0,0,1,0
MENZO,Tristan,POP,10,7,0,0,0,0,1,0,0.000,0.000,0.643,0.643,17,1,9,0,0,0,20,1
MERCIER,Lilian,BIN,3,1,1,0,0,0,0,1,0.333,0.333,0.500,0.833,1,0,0,0,0,0,2,0
MERTENS,Vic,CHI,20,12,8,1,2,0,7,13,0.400,0.650,0.552,1.202,8,0,4,0,1,0,18,0
MEYSMAN,Dries,MER,3,0,0,0,0,0,0,0,0.000,0.000,0.250,0.250,0,1,2,0,0,0,0,0
MEYSMAN,Dries,MER,11,5,1,0,0,0,3,1,0.091,0.091,0.333,0.424,2,2,6,0,0,0,3,0
MOENS,Lennart,OOS,22,9,7,1,3,0,4,14,0.318,0.636,0.516,1.152,8,1,12,0,0,0,8,0
MOENS,Tristan,OOS,13,1,2,0,0,0,4,2,0.154,0.154,0.313,0.467,3,0,6,0,0,0,6,0
MONCHATRE,Laura,OUD,14,8,2,1,0,0,5,3,0.143,0.214,0.429,0.643,4,3,6,0,0,0,10,1
MOODY,Tom,BRU,2,1,1,0,0,0,0,1,0.500,0.500,0.500,1.000,0,0,1,0,0,0,1,0
MULLER,Tristen,BRU,10,10,7,1,1,1,8,13,0.700,1.300,0.789,2.089,8,0,1,0,1,0,17,0
MUMENTHALER,Max,BRI,3,4,1,0,1,0,2,3,0.333,1.000,0.600,1.600,2,0,2,0,0,0,4,0
MUMENTHALER,Max,BRI,7,2,0,0,0,0,0,0,0.000,0.000,0.300,0.300,3,0,5,0,0,0,3,0
NDIAYE,Samy,SER,8,2,3,0,0,0,1,3,0.375,0.375,0.500,0.875,2,0,2,0,0,0,7,0
NIAZI,Ilhamullah,BOR,20,27,4,1,0,0,9,5,0.200,0.250,0.667,0.917,27,1,12,0,0,0,29,1
NIAZI,Wasiullah,BOR,27,26,16,4,2,1,21,27,0.593,1.000,0.750,1.750,15,2,10,0,0,1,22,2
NIELANDT,Alec,HOB,6,4,1,0,0,0,1,1,0.167,0.167,0.375,0.542,1,1,4,0,0,0,1,1
NONET,Victor,NAM,2,2,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,1,2,0,0,0,2,0
NOTEBAERT,Thijs,POP,18,4,4,0,0,0,3,4,0.222,0.222,0.500,0.722,9,1,12,0,0,0,12,2
NOWÉ,Juliette,MSG,1,0,0,0,0,0,1,0,0.000,0.000,0.800,0.800,4,0,1,0,0,0,0,1
NUNEZ ALONZO,Emiliano,MSG,8,4,2,0,0,0,5,2,0.250,0.250,0.455,0.705,3,0,5,0,0,0,4,0
NUNEZ ALONZO,Matthias,MSG,12,3,5,0,0,0,5,5,0.417,0.417,0.588,1.005,5,0,4,0,0,0,6,2
NUSSBAUM,Cyriel,AND,13,8,4,0,1,0,7,6,0.308,0.462,0.526,0.988,6,0,5,0,0,0,11,0
NUTTIN,Mauro,WIE,2,5,2,0,0,0,2,2,1.000,1.000,1.000,2.000,3,0,0,0,0,0,3,0
NUYTTENS,Nino,WIE,5,4,1,1,0,0,1,2,0.200,0.400,0.556,0.956,3,1,4,0,0,0,7,0
OCCHIONORELLI,Naoto,BRU,16,22,11,3,3,2,14,26,0.688,1.625,0.821,2.446,12,0,3,0,0,0,25,0
OOSTENS,Aurélie,GRE,15,7,4,1,0,0,3,5,0.267,0.333,0.500,0.833,6,1,10,0,0,0,14,2
OPDEBEECK,Arthur,MER,4,3,0,0,0,0,1,0,0.000,0.000,0.500,0.500,4,0,2,0,0,0,1,1
OPDEBEECK,Arthur,MER,13,7,2,0,0,0,2,2,0.154,0.154,0.476,0.630,8,0,11,0,0,0,6,0
OREEL,Andreas,POP,20,7,3,0,0,0,3,3,0.150,0.150,0.485,0.635,10,3,15,0,0,0,22,0
OZUNA,Joel Jr,CAN,23,16,11,3,1,0,9,16,0.478,0.696,0.636,1.332,9,1,5,0,0,1,21,0
PALMANS,Kobe,HOB,6,2,1,0,0,0,0,1,0.167,0.167,0.375,0.542,2,0,5,0,0,0,0,0
PAULO,Juendrick,GEN,18,20,9,3,2,0,13,16,0.500,0.889,0.719,1.608,13,1,8,0,0,0,25,0
PAUWELS,Jayden,CHI,2,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
PELGRIM,Dante,GRE,14,3,1,0,0,0,1,1,0.071,0.071,0.409,0.480,5,3,12,0,0,0,7,0
PENNOIT,Fiene,GEN,4,3,1,0,0,0,1,1,0.250,0.250,0.667,0.917,4,1,3,0,0,0,5,0
PETIT,Maxim,BIN,1,1,0,0,0,0,1,0,0.000,0.000,0.500,0.500,1,0,0,0,0,0,1,0
PETY,Leon,POP,8,0,0,0,0,0,0,0,0.000,0.000,0.111,0.111,0,1,8,0,0,1,1,0
PIQUERAY,Aurelien,NAM,7,12,3,0,0,0,2,3,0.429,0.429,0.789,1.218,11,1,4,0,0,0,15,0
PIQUERAY,Constance,NAM,6,6,0,0,0,0,5,0,0.000,0.000,0.647,0.647,10,1,5,0,0,0,2,1
PIRET,Keyla,NAM,3,5,0,0,0,0,1,0,0.000,0.000,0.786,0.786,10,1,3,0,0,0,5,0
PIRET,Keyla,AND,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
PIROTTE,Alan,SER,20,8,7,1,1,0,3,10,0.350,0.500,0.409,0.909,2,0,6,0,0,0,12,0
PLACEK,Benjamin,BRU,18,14,7,1,0,0,8,8,0.389,0.444,0.577,1.021,8,0,3,0,0,0,19,0
PLASSCHAERT,Guust,ZOT,20,10,3,1,1,0,3,6,0.150,0.300,0.414,0.714,9,0,5,0,0,0,5,0
PRAET,Ferre,WBA,4,1,1,0,0,0,1,1,0.250,0.250,0.500,0.750,2,0,2,0,0,0,0,0
PREVIATELLO,Massimiliano,BIN,3,3,1,0,0,0,1,1,0.333,0.333,0.714,1.047,4,0,1,0,0,0,8,0
PREVIATELLO,Mélina,BIN,3,1,1,0,0,0,1,1,0.333,0.333,0.667,1.000,3,0,1,0,0,0,0,0
PROVOST,Mauro,OUD,30,18,14,4,2,3,13,31,0.467,1.033,0.568,1.601,7,0,11,0,0,0,16,0
PYCK,Sven,POP,8,3,1,0,0,0,1,1,0.125,0.125,0.364,0.489,3,0,4,0,0,0,5,0
RAEYMAKERS,Vincent,BRA,13,3,4,3,0,0,5,7,0.308,0.538,0.400,0.938,1,1,2,0,0,0,0,0
RASSCHAERT,Axel,MER,14,3,7,1,0,0,4,8,0.500,0.571,0.588,1.159,2,1,2,0,0,0,2,1
REDIERS,Milan,BRA,11,6,4,0,0,1,6,7,0.364,0.636,0.500,1.136,0,3,4,0,0,0,2,0
ROCHETTE,Theophile,NAM,10,11,2,0,0,0,4,2,0.200,0.200,0.704,0.904,15,2,6,0,0,0,15,0
ROMANO,Hugo,SER,8,7,1,0,0,0,1,1,0.125,0.125,0.611,0.736,9,1,7,0,0,0,15,0
RONDELET,Marius,NAM,19,16,12,1,0,1,11,16,0.632,0.842,0.720,1.562,6,0,2,0,0,0,13,0
ROOSEMEYERS,Kobe,HEI,16,6,3,0,0,0,5,3,0.188,0.188,0.350,0.538,3,1,6,0,0,0,7,0
RORIVE,Liam,BIN,0,0,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,1,0
ROSQUIN ISHIKAWA,Yamato,CAN,1,1,0,0,0,0,1,0,0.000,0.000,0.500,0.500,1,0,1,0,0,0,0,0
SADAUSKAS,Tomas,BRU,4,4,3,0,0,1,4,6,0.750,1.500,0.889,2.389,3,2,0,0,0,0,11,0
SAEZ,Victor,BRU,9,9,2,0,0,0,1,2,0.222,0.222,0.682,0.904,12,1,5,0,0,0,19,0
SAINT GERMAIN,Sil,POP,0,1,0,0,0,0,0,0,0.000,0.000,1.000,1.000,3,0,0,0,0,0,2,0
SALAMA SALAMA SOLIMAN,Iliyas,GEN,1,3,1,0,0,0,2,1,1.000,1.000,1.000,2.000,3,0,0,0,0,0,4,0
SANTENS,William,GRE,21,19,12,2,1,0,3,16,0.571,0.762,0.735,1.497,13,0,4,0,0,0,39,0
SANTIAGO CAROU,Jayden,CHI,8,5,2,1,0,0,1,3,0.250,0.375,0.455,0.830,3,0,5,0,0,0,8,0
SCHATS,Lotte,WBA,13,11,10,0,0,0,8,10,0.769,0.769,0.842,1.611,5,1,2,0,0,0,13,0
SCHEIRS,Rube,OOS,5,4,0,0,0,0,0,0,0.000,0.000,0.500,0.500,5,0,4,0,0,0,6,0
SCHOENMAKERS,Noah,BRA,0,1,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
SCHUEREMANS,Lowie,HEI,8,3,1,0,0,0,2,1,0.125,0.125,0.462,0.587,4,1,7,0,0,0,7,1
SCHUEREMANS,Zjef,HEI,1,2,0,0,0,0,0,0,0.000,0.000,0.667,0.667,2,0,1,0,0,0,1,0
SERCU,Tenzin,BOR,13,12,3,1,0,0,6,4,0.231,0.308,0.524,0.832,8,0,4,0,0,1,7,0
SERCU,Tenzin,CHI,18,10,8,1,1,0,6,11,0.444,0.611,0.565,1.176,4,1,4,0,0,0,17,0
SEYNAEVE-VROMAN,Emile,MSG,19,12,9,1,1,4,12,24,0.474,1.263,0.630,1.893,1,7,6,0,0,0,4,0
SHEPHERD,Sara,GRE,9,11,2,1,0,0,3,3,0.222,0.333,0.741,1.074,17,1,6,0,0,0,21,1
SMITS,Geovanni,BOR,20,16,1,0,0,0,7,1,0.050,0.050,0.548,0.598,20,2,10,0,0,0,7,1
SOBOLEFF,Alexandre,SER,7,2,0,0,0,0,0,0,0.000,0.000,0.462,0.462,6,0,7,0,0,0,6,0
SOUBRY,Riyan,WIE,1,1,1,0,0,0,1,1,1.000,1.000,1.000,2.000,3,0,0,0,0,0,2,0
STEVENS,Rob,ZOT,14,6,0,0,0,0,1,0,0.000,0.000,0.333,0.333,7,0,13,0,0,0,8,0
STRAGIER,Lilly Roos,ZOT,13,10,4,2,0,0,5,6,0.308,0.462,0.654,1.116,13,0,8,0,0,0,21,0
SZABADOS,Maxime,AND,5,4,1,0,0,0,1,1,0.200,0.200,0.545,0.745,5,0,2,0,1,0,6,0
T'SIOBBEL,Nolle,ZOT,12,7,4,1,0,0,8,5,0.333,0.417,0.571,0.988,8,0,7,0,1,0,11,0
TAAL,Wannes,WBA,22,12,9,3,0,0,13,12,0.409,0.545,0.581,1.126,7,2,6,0,0,0,7,0
TACK,Lander,OUD,0,0,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
TAILLIEU,Remi,POP,23,18,16,3,2,1,14,26,0.696,1.130,0.774,1.904,6,2,3,0,0,0,19,1
TAMIGNIAU,Clara,BRI,8,3,0,0,0,0,0,0,0.000,0.000,0.500,0.500,8,0,7,0,0,0,5,0
TANAKA,Taichi,BRU,6,6,2,0,0,0,4,2,0.333,0.333,0.667,1.000,6,0,0,0,0,0,6,0
TAYMANS,Anatole,BRI,3,1,0,0,0,0,0,0,0.000,0.000,0.571,0.571,4,0,3,0,0,0,4,0
TEMMERMAN,Hendrik,WBA,3,1,0,0,0,0,0,0,0.000,0.000,0.500,0.500,2,1,2,0,0,0,0,0
TEMMERMAN,Morris,GEN,3,3,1,1,0,0,1,2,0.333,0.667,0.600,1.267,2,0,1,0,0,0,2,0
THIERS,Simon,CHI,18,12,10,1,1,1,8,16,0.556,0.889,0.714,1.603,10,0,6,0,0,0,15,0
TOMBOY,Blu,MSG,21,4,9,3,0,0,3,12,0.429,0.571,0.478,1.049,1,1,7,0,0,0,14,0
TORREKENS,Leon,ZOT,13,3,0,0,0,0,0,0,0.000,0.000,0.188,0.188,3,0,11,0,0,0,4,0
ULRICHTS,Daan,GEN,1,3,0,0,0,0,0,0,0.000,0.000,0.800,0.800,4,0,1,0,0,0,8,0
VAN ACKER,Raf,WIE,5,6,3,0,0,0,5,3,0.600,0.600,0.750,1.350,3,0,1,0,0,0,12,0
VAN ACKER,Rens,GRE,9,2,0,0,0,0,0,0,0.000,0.000,0.308,0.308,4,0,5,0,0,0,2,1
VAN AUTREVE,Sam,GEN,24,21,20,6,1,2,19,34,0.833,1.417,0.867,2.284,4,2,2,0,0,0,28,0
VAN COILLIE,Yune,MER,4,1,1,0,0,0,1,1,0.250,0.250,0.400,0.650,1,0,2,0,0,0,1,0
VAN COILLIE,Zita,MER,2,1,0,0,0,0,0,0,0.000,0.000,0.500,0.500,2,0,2,0,0,0,2,0
VAN DAMME,Niels,ZOT,12,8,3,1,0,0,3,4,0.250,0.333,0.571,0.904,8,1,9,0,0,0,14,0
VAN DE PERRE,Brent,MER,8,2,0,0,0,0,0,0,0.000,0.000,0.273,0.273,2,1,7,0,0,0,1,0
VAN DE PERRE,Brent,MER,10,1,1,0,0,0,5,1,0.100,0.100,0.100,0.200,0,0,5,0,0,0,0,0
VAN DE POPULIERE,Wout,OUD,10,6,1,0,0,0,1,1,0.100,0.100,0.400,0.500,5,0,9,0,0,0,6,0
VAN DE VELDE,Bernd,CAN,3,2,0,0,0,0,1,0,0.000,0.000,0.400,0.400,2,0,2,0,0,0,0,0
VAN DE VELDE,Lucien,WBA,6,4,3,1,0,0,3,4,0.500,0.667,0.571,1.238,1,0,3,0,0,0,1,0
VAN DE VOORDE,Siebe,OUD,20,11,10,0,0,0,10,10,0.500,0.500,0.643,1.143,7,1,4,0,0,0,21,2
VAN DELSEN,Xander,ZOT,16,12,3,0,0,0,6,3,0.188,0.188,0.536,0.724,11,1,7,0,0,0,18,2
VAN DEN BERGHE,Kobe,WBA,10,6,0,0,0,0,3,0,0.000,0.000,0.444,0.444,6,2,6,0,0,0,3,0
VAN DEN BOSCH,maxim,BOR,11,5,1,0,0,1,4,4,0.091,0.364,0.412,0.776,5,1,6,0,0,0,5,0
VAN DEN BRANDEN,Sid,BRA,11,4,4,0,0,0,2,4,0.364,0.364,0.417,0.781,1,0,0,0,0,0,2,0
VAN DEN BRANDEN,Wannes,WBA,1,4,0,0,0,0,0,0,0.000,0.000,0.800,0.800,4,0,1,0,0,0,2,0
VAN DEN BRANDEN,Yaro,HOB,8,4,2,0,0,0,2,2,0.250,0.250,0.600,0.850,7,0,6,0,0,0,0,0
VAN DEN EYNDE,Lars,BRA,8,2,1,0,0,0,3,1,0.125,0.125,0.300,0.425,1,1,1,0,0,0,2,0
VAN DER VORST,Lander,HOB,10,7,6,2,0,0,7,8,0.600,0.800,0.714,1.514,4,0,2,0,0,0,5,0
VAN DER WEERDEN,Alexander,MER,5,5,2,1,1,0,1,5,0.400,1.000,0.625,1.625,3,0,3,0,0,0,3,0
VAN DER WEERDEN,Alexander,MER,20,9,7,0,0,2,10,13,0.350,0.650,0.480,1.130,4,1,10,0,0,0,2,0
VAN DONICK,Leno,CAN,24,18,17,5,2,0,22,26,0.708,1.083,0.778,1.861,10,1,3,0,1,1,24,0
VAN GINNEKEN,Arjen,HEI,4,2,2,0,0,0,5,2,0.500,0.500,0.750,1.250,4,0,2,0,0,0,4,0
VAN GORP,Axel,HEI,11,5,5,0,0,0,4,5,0.455,0.455,0.600,1.055,3,1,5,0,0,0,12,0
VAN GUCHT,Samuel,MER,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
VAN GYSEGHEM,Grimm,GEN,20,21,9,1,3,0,10,16,0.450,0.800,0.676,1.476,13,1,4,0,0,0,23,0
VAN HAVERE,Sarah,WBA,18,14,9,2,0,0,6,11,0.500,0.611,0.679,1.290,10,0,4,0,0,0,13,0
VAN HEES,Seppe,CHI,24,10,6,0,1,0,5,8,0.250,0.333,0.486,0.819,11,0,11,0,0,0,13,0
VAN HEGHE,Rune,ZOT,8,4,2,0,0,0,2,2,0.250,0.250,0.538,0.788,4,1,4,0,0,0,8,0
VAN HEUGEN,Victoria,NAM,5,2,2,0,0,0,1,2,0.400,0.400,0.667,1.067,3,1,3,0,0,0,3,0
VAN KEER,Arjen,GRE,18,5,1,1,0,0,2,2,0.056,0.111,0.320,0.431,7,0,12,0,0,0,6,0
VAN KEER,Tristen,GRE,7,0,2,0,0,0,0,2,0.286,0.286,0.545,0.831,4,0,3,0,0,0,2,1
VAN KETS,Alexi,HEI,3,5,0,0,0,0,1,0,0.000,0.000,0.750,0.750,9,0,3,0,0,0,7,0
VAN LANGENDONCK,Liam,BRA,8,1,1,0,0,0,3,1,0.125,0.125,0.300,0.425,1,1,1,0,0,0,3,0
VAN LANGENHOVE,Jonas,GEN,7,6,0,0,0,0,1,0,0.000,0.000,0.500,0.500,7,0,6,0,0,0,10,1
VAN LANGENHOVE,Sander,GEN,9,10,2,0,0,0,5,2,0.222,0.222,0.650,0.872,10,1,4,0,0,0,17,1
VAN LITSENBORGH,Kobe,CAN,18,10,7,0,0,0,5,7,0.389,0.389,0.633,1.022,12,0,9,0,0,0,19,0
VAN LOY,Marcel,BOR,0,1,0,0,0,0,1,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
VAN MOLLE,Lowie,MER,11,6,0,0,0,0,6,0,0.000,0.000,0.389,0.389,7,0,7,0,0,0,5,0
VAN MOLLE,Lowie,MER,14,7,4,1,1,0,6,7,0.286,0.500,0.500,1.000,6,0,7,0,0,0,3,1
VAN MOLLE,Ward,MER,9,4,4,0,1,0,3,6,0.444,0.667,0.545,1.212,2,0,1,0,0,0,2,0
VAN MOLLE,Ward,MER,13,15,6,1,1,0,9,9,0.462,0.692,0.682,1.374,9,0,2,0,0,0,15,0
VAN RIJ,Gus,OOS,10,6,2,2,0,0,3,4,0.200,0.400,0.556,0.956,8,0,7,0,0,0,12,0
VAN SANT,Wout,HOB,13,9,5,0,0,0,8,5,0.385,0.385,0.692,1.077,12,1,6,0,0,0,6,0
