Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
VANDERVELDEN,Viktor,DEU,37,6,6,1,0,0,7,7,0.162,0.189,0.205,0.394,1,1,13,1,0,1,1,0
VANDESOMPELE,Cedric,BOR,69,14,22,4,0,0,8,26,0.319,0.377,0.453,0.830,11,6,12,0,0,2,0,1
VANHEER,Edouard,NAM,62,10,17,0,0,1,14,20,0.274,0.323,0.373,0.696,10,1,3,1,2,1,5,2
VANLAUWE,Cyriel,MER,6,0,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,3,1,0,0,0,0
VANTHILLO,Nick,BOR,76,15,28,8,0,2,21,42,0.368,0.553,0.479,1.032,13,4,13,2,1,2,5,0
VERAGHTERT,Tim,BOR,88,24,33,11,0,4,21,56,0.375,0.636,0.451,1.087,10,3,10,1,1,0,3,0
VERBEKEN,Lars,MER,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
VERBEKEN,Nils,MER,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
VERHEYLEWEGHEN,Jamie,BRA,108,23,34,2,0,0,14,36,0.315,0.333,0.387,0.720,14,0,3,3,2,1,0,0
VERSPREET,Xander,HOB,95,20,36,8,0,2,30,50,0.379,0.526,0.470,0.996,12,7,8,2,3,1,1,0
VERVLOET,Kevin,BOR,8,0,2,0,0,0,0,2,0.250,0.250,0.250,0.500,0,0,0,1,0,0,0,0
VINCENTE LOPEZ,Adalberto Antonio,DEU,19,3,3,0,0,0,3,3,0.158,0.158,0.238,0.396,1,1,5,0,0,0,0,0
VIZEE,Robin,MER,23,1,1,0,0,0,0,1,0.043,0.043,0.083,0.126,1,0,10,2,0,0,0,0
VRIJDERS,Ewout,MER,64,12,16,2,1,1,5,23,0.250,0.359,0.351,0.710,10,0,17,0,0,0,3,1
YBARRA,Andres,MSG,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,1,0,0
YONCHEV,Martin,MSG,0,0,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
