Player,First name,Team,AB, R, H,2B,3B,HR,RBI,TB, AVG, SLG%,  OB%,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
PEREZ,MIGUEL,DOD,21,2,2,0,0,0,2,2,0.095,0.095,0.174,0,2,0,8,0,0,0,3,0
ALBERTINI,DANIELE,ORI,13,3,1,0,0,0,0,1,0.077,0.077,0.368,0,6,0,8,1,0,0,0,1
PERUZZO,MATIS,ATL,15,1,1,0,0,0,2,1,0.067,0.067,0.125,0,1,0,8,0,0,0,0,0
KOCH,TOBIAS,ORI,16,1,1,0,0,0,1,1,0.063,0.063,0.167,0,2,0,9,0,0,0,0,0
REGAL,CARLOS,ORI,16,1,1,0,0,0,0,1,0.063,0.063,0.211,0,3,0,8,0,0,0,0,0
ROCCO,RUBERTI,ORI,17,3,0,0,0,0,0,0,0,0,0.15,0,3,0,14,0,0,0,2,0
ZIRONI,MAICOL,ORI,14,2,0,0,0,0,4,0,0,0,0.176,0,1,2,8,0,0,0,0,1
VALDIVIA,MARCEL,DOD,13,3,0,0,0,0,0,0,0,0,0.188,0,2,1,12,0,0,0,1,0
CHINEA,PABLO,TAM,11,2,0,0,0,0,1,0,0,0,0.083,0,1,0,8,1,0,0,0,0
ROLDAN,VALDIVIA,ATL,10,1,0,0,0,0,0,0,0,0,0.091,0,0,1,4,0,0,0,2,1
ANTON,WILDER,ATL,8,1,0,0,0,0,0,0,0,0,0.273,0,3,0,7,0,0,0,0,0
BONGE,JAN,DOD,8,3,0,0,0,0,0,0,0,0,0.429,0,6,0,7,0,0,0,3,0
BORLONI,MATTEO,ATL,6,0,0,0,0,0,0,0,0,0,0.143,0,1,0,3,0,0,0,0,0
BONGE,JUAN,ATL,3,2,0,0,0,0,0,0,0,0,0.571,0,4,0,2,0,0,0,1,0
FRANCO,YANCARLO,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ZAMBRANO,ABRAHAM,DOD,3,2,0,0,0,0,0,0,0,0,0.5,0,3,0,3,0,0,0,0,0
SERRA,DIEGO,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIGUEL,LUIS,ATL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
