Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
PEREZ,Jorge,MEX,0,0,6.23,1,1,0,0,0,4.1,7,3,3,1,2,1,1,1,19,0.368,0,0,0,0,0,9,1
PINTO,Ricardo,VEN,2,0,2.61,3,3,0,0,0,10.1,9,3,3,5,8,2,0,0,39,0.231,0,0,0,0,0,11,11
PRINS,Scott,NED,0,0,9.00,2,0,0,0,0,2.0,5,2,2,2,0,3,0,0,10,0.500,1,0,0,1,0,0,6
PÉREZ,Héctor,DOM,0,1,16.20,3,0,0,0,0,1.2,2,5,3,4,2,0,0,0,7,0.286,1,0,0,0,0,2,1
PÉREZ,Wilber,DOM,0,0,21.60,2,0,0,0,0,1.2,3,4,4,1,3,0,0,0,8,0.375,0,0,0,0,0,1,1
RAMIREZ,Ruben,PUR,0,1,15.43,3,0,0,0,0,2.1,5,4,4,2,1,1,0,1,13,0.385,2,0,0,0,0,4,3
REYES,Gerardo,MEX,0,0,0.00,3,0,0,0,0,2.1,1,0,0,0,2,0,1,0,7,0.143,0,1,0,0,0,0,4
REYES,Leodan,CUB,0,1,2.70,3,0,0,0,0,3.1,2,2,1,3,4,0,0,0,11,0.182,0,0,0,0,0,4,1
RIOS,Wilmer,MEX,0,0,13.50,1,1,0,0,0,2.2,6,4,4,1,2,4,0,0,14,0.429,0,0,0,0,0,3,3
RODRIGUEZ,Dereck,PUR,0,0,8.10,2,1,0,0,0,3.1,6,3,3,1,3,0,0,1,16,0.375,0,0,0,0,0,3,4
RODRIGUEZ,Luis,MEX,1,0,11.57,2,0,0,0,0,2.1,2,3,3,3,3,0,0,0,9,0.222,0,0,0,0,0,2,2
RODRÍGUEZ,Dionys,DOM,0,0,2.25,2,0,0,0,0,4.0,3,1,1,1,2,0,0,0,12,0.250,0,1,0,1,0,3,5
RODRÍGUEZ,Joely,DOM,1,0,0.00,2,0,0,0,0,1.1,3,2,0,2,3,2,0,0,8,0.375,1,0,0,0,0,1,0
RODRÍGUEZ,Nivaldo,VEN,0,1,2.08,3,1,0,0,0,8.2,6,2,2,1,11,2,0,1,30,0.200,0,0,0,1,0,8,6
RODRÍGUEZ,Ricardo,VEN,0,0,0.00,3,0,0,0,0,1.1,1,0,0,1,2,0,0,0,5,0.200,0,0,0,0,0,1,1
SAIKI,Hiroto,JPN,1,0,1.69,2,2,0,0,0,10.2,5,2,2,3,10,1,0,1,36,0.139,0,1,0,0,0,10,11
SALAS,Fernando,MEX,0,0,9.00,1,0,0,0,0,1.0,3,1,1,0,1,1,0,1,5,0.600,0,0,0,0,0,1,0
SANCHEZ,Mario,VEN,1,0,1.50,1,1,0,0,0,6.0,3,2,1,0,10,0,0,1,20,0.150,0,0,0,1,0,5,3
SANTIAGO,Andres,PUR,0,0,13.50,2,0,0,0,0,4.2,15,10,7,0,2,5,0,2,28,0.536,0,1,0,0,0,4,6
SARDUY,Dario,CUB,0,0,13.50,2,1,0,0,0,1.1,4,2,2,1,1,0,0,0,7,0.571,1,0,0,1,0,2,1
SAUPOLD,Warwick,AUS,0,0,1.80,2,1,0,0,0,5.0,2,1,1,1,4,0,0,0,17,0.118,0,0,0,0,0,4,7
SHERRIFF,Will,AUS,0,0,12.00,2,0,0,0,0,3.0,4,4,4,3,1,0,0,1,13,0.308,0,1,0,0,0,5,3
SHIMIZU,Tatsuya,JPN,1,0,0.00,4,0,0,0,0,4.0,1,0,0,1,6,0,0,0,13,0.077,0,0,0,0,0,3,2
SO,Hyeongjun,KOR,2,0,2.45,3,0,0,0,0,3.2,3,1,1,1,3,0,0,0,14,0.214,0,1,0,0,0,4,4
STANKIEWICZ,Teddy,MEX,0,0,6.00,2,1,0,0,0,6.0,7,4,4,1,5,2,0,1,24,0.292,0,0,0,0,0,6,6
SULBARÁN,Juancarlos,NED,1,0,6.23,2,0,0,0,0,4.1,5,3,3,1,1,0,0,3,18,0.278,0,0,0,0,0,6,6
SUMIDA,Chihiro,JPN,2,0,3.00,3,0,0,0,0,6.0,5,2,2,0,11,1,0,1,24,0.208,0,0,0,0,0,4,3
SUZUKI,Shota,JPN,0,0,0.00,3,0,0,0,0,1.2,3,2,0,1,1,0,0,0,8,0.375,0,0,0,0,0,2,2
SUZUKI,Sora,JPN,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,1,0,0,0,3,0.000,0,0,0,0,0,1,1
TAKAHASHI,Hiroto,JPN,0,0,2.25,2,2,0,0,0,8.0,9,2,2,1,16,2,0,1,31,0.290,0,0,0,0,1,6,1
THOMPSON,Darrell,USA,0,1,15.75,4,0,0,0,0,4.0,7,7,7,0,5,1,0,2,19,0.368,0,0,0,0,0,5,2
THOMPSON,Jake,MEX,0,0,3.00,2,0,0,0,0,3.0,3,1,1,0,2,2,0,1,12,0.250,0,0,0,0,0,3,4
THORPE,Lewis,AUS,0,1,20.25,2,1,0,0,0,1.1,4,3,3,3,0,1,0,0,6,0.667,0,0,0,1,0,0,3
TIMMERMANS,Kaj,NED,0,1,19.29,1,1,0,0,0,2.1,5,5,5,1,2,0,0,2,10,0.500,0,0,0,1,0,2,2
TOGO,Shosei,JPN,0,0,4.50,1,1,0,0,0,4.0,5,2,2,0,6,4,0,0,17,0.294,0,0,1,0,0,1,5
TOUSSAINT,Touki,USA,0,0,1.50,2,2,0,0,0,6.0,4,1,1,3,9,2,0,1,21,0.190,0,1,0,0,0,5,3
TOWNSEND,Blake,AUS,0,1,21.60,3,0,0,0,0,1.2,4,5,4,0,2,0,0,2,10,0.400,0,0,0,0,0,2,0
VAN GURP,Franklin,NED,0,0,13.50,2,0,0,0,0,1.1,2,2,2,3,1,1,0,0,6,0.333,0,0,0,0,0,1,2
VAN STEENSEL,Todd,AUS,0,0,2.70,3,0,0,0,0,3.1,2,1,1,0,3,0,0,0,12,0.167,0,0,0,0,0,4,3
VARGAS GARCIA,Luis,DOM,0,1,7.71,1,1,0,0,0,2.1,3,2,2,1,0,0,1,1,9,0.333,0,0,0,0,0,2,4
VARGAS,Andy,CUB,1,0,1.59,3,0,0,0,0,5.2,3,1,1,1,10,0,0,1,20,0.150,0,2,0,0,0,2,5
VARGAS,Jesús,VEN,0,0,3.86,2,2,0,0,0,9.1,8,4,4,3,8,2,1,1,35,0.229,0,1,0,0,0,7,12
VERNON,Austin,USA,0,0,2.45,4,0,0,0,0,3.2,2,1,1,1,4,0,1,1,13,0.154,0,0,0,0,0,6,1
VIEAUX,Cam,USA,0,0,13.50,3,0,0,0,0,3.1,7,5,5,1,2,1,0,1,15,0.467,0,2,0,0,0,3,3
VIJFVINKEL,Pim,NED,0,0,81.00,1,0,0,0,0,0.1,1,3,3,2,0,0,0,1,2,0.500,0,0,0,0,0,1,0
VIZCAYA,Anthony,VEN,0,0,18.00,4,0,1,0,0,2.0,4,4,4,2,3,2,0,0,9,0.444,0,0,0,1,0,1,2
WANG,Chih-Hsuan,TPE,1,0,3.00,5,0,0,0,0,3.0,3,1,1,0,2,2,0,0,11,0.273,0,0,0,1,0,2,5
WILKINS,Luke,AUS,0,0,0.00,2,0,0,0,0,2.0,2,0,0,2,0,0,0,0,7,0.286,0,0,0,0,0,2,3
WU,Chun-Wei,TPE,0,0,3.60,5,0,3,0,0,5.0,6,2,2,0,6,1,0,0,20,0.300,0,0,0,0,1,8,1
WYNNE,Coen,AUS,1,0,2.25,4,0,0,0,0,4.0,3,1,1,0,4,1,0,0,14,0.214,0,1,0,0,0,6,1
YERA,Yoennis,CUB,0,1,1.80,2,2,0,0,0,10.0,7,2,2,2,8,1,0,0,36,0.194,0,0,0,0,0,12,9
YOKOYAMA,Rikuto,JPN,0,0,4.15,5,0,0,0,0,4.1,6,2,2,2,3,0,0,2,18,0.333,0,0,0,0,0,5,4
YOU,Yeongchan,KOR,0,0,2.25,3,0,0,0,0,4.0,4,1,1,2,2,0,0,0,16,0.250,0,0,0,0,0,6,4
ZARRAGA,Alfredo,VEN,0,0,0.00,2,0,0,0,0,1.0,1,0,0,2,2,0,0,0,4,0.250,0,0,0,0,0,0,1
