Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ALMONTE BERROA,Oliver,MER,0,0,7.94,2,0,0,0,0,5.2,5,8,5,7,1,3,0,0,23,0.217,1,1,0,1,0,3,13
BALLARDINI,Lino,HOB,0,0,6.75,2,0,0,0,0,4.0,5,3,3,2,6,1,1,1,18,0.278,0,0,0,0,0,2,4
BELMANS,Jonas,BRA,1,1,3.38,2,1,0,0,0,8.0,5,3,3,6,9,1,0,0,27,0.185,1,0,0,1,1,6,8
BIESEMANS,Leko,MER,1,5,15.21,13,5,1,0,0,29.0,47,74,49,40,16,11,4,1,133,0.353,15,27,0,2,3,37,30
BLAKE,Isaac,MER,1,5,7.83,7,7,0,0,0,33.1,43,35,29,20,32,12,1,1,147,0.293,6,9,0,0,0,36,27
CAPPAERT,Zeb,BOR,0,2,4.88,7,6,0,0,0,24.0,18,14,13,19,9,3,0,1,88,0.205,3,4,0,2,1,32,30
CLINCKART,Emeric,MSG,0,1,14.25,4,2,0,0,0,12.0,23,19,19,10,6,7,1,2,56,0.411,0,3,0,1,1,13,16
COCU,Rafael,BOR,0,0,0.00,2,0,0,0,0,3.1,1,0,0,2,8,0,0,0,10,0.100,0,0,0,0,0,1,0
COLLAZOS MUNOZ,Nathéo,MSG,1,3,5.56,8,3,0,0,0,22.2,24,16,14,11,20,6,1,0,88,0.273,6,1,0,1,1,22,21
COOPER,Hunter,BRA,4,3,3.20,10,5,1,1,1,45.0,39,21,16,39,39,4,1,3,168,0.232,3,7,0,2,1,48,38
DASPREMONT,Stéphane,NAM,0,6,10.26,9,8,0,0,0,33.1,63,43,38,11,22,19,2,2,160,0.394,0,1,0,3,4,29,44
DE BAETS,Matthias,BOR,0,0,18.90,4,0,0,0,0,6.2,10,14,14,11,7,2,0,1,28,0.357,2,1,0,2,0,5,8
DE BOEY,Robbe,BRA,4,2,6.34,9,7,0,2,0,44.0,51,36,31,20,27,7,1,2,180,0.283,0,8,0,1,2,54,44
DE JONGH,Robbe,MSG,3,1,7.30,11,0,1,0,0,37.0,59,33,30,6,21,13,1,3,165,0.358,1,1,0,3,2,39,47
DE LAUW,Zino,MER,0,0,19.64,5,0,0,0,0,7.1,26,19,16,4,5,5,0,1,45,0.578,2,2,1,1,0,6,8
DE QUINT,Dennis,HOB,1,0,0.00,2,0,0,0,0,2.1,1,0,0,0,6,0,0,0,8,0.125,0,2,0,0,0,0,1
DELORY,Arthur,NAM,0,1,14.34,5,1,0,0,0,10.2,20,20,17,16,3,3,1,0,49,0.408,3,3,0,1,1,17,9
DENACHTERGAEL,Ryan,MSG,0,0,15.00,2,0,0,0,0,3.0,4,5,5,2,1,2,0,0,12,0.333,2,3,0,1,0,3,5
DESMEDT,Cédric,DEU,0,0,0.00,1,0,0,0,0,2.0,2,0,0,1,3,0,0,0,8,0.250,1,1,0,0,0,1,2
DESMEDT,Kevin,HOB,5,2,5.26,10,8,0,3,0,51.1,58,35,30,11,48,8,0,3,205,0.283,3,6,1,2,4,62,38
DOM,Kenny,MER,0,0,4.15,1,0,0,0,0,4.1,7,2,2,1,1,0,1,0,20,0.350,0,0,0,0,0,2,10
DRIESSENS,Artuur,BRA,3,2,5.30,7,5,0,2,0,37.1,52,24,22,8,17,7,0,2,154,0.338,0,2,0,2,2,43,40
GERDEL NIETO,Anderson Denny,DEU,9,2,1.26,11,11,0,3,1,71.1,44,13,10,7,90,8,2,2,260,0.169,4,2,0,0,2,72,46
GEUQUET,Ludovic,NAM,0,0,21.00,1,0,0,0,0,3.0,9,7,7,3,0,2,0,0,16,0.563,1,0,0,0,0,4,3
GROUP,Matthias,BOR,0,0,1.80,2,0,0,0,0,5.0,4,1,1,2,1,0,0,0,18,0.222,0,0,0,0,1,3,11
HELSEN,Lowie,BOR,0,0,24.00,2,1,0,0,0,3.0,8,9,8,2,3,1,0,1,18,0.444,2,2,0,0,1,2,4
HENDRICKX,Zane,HOB,2,1,3.76,7,3,2,0,0,26.1,24,11,11,13,33,3,0,1,97,0.247,4,5,1,2,4,28,18
HERNANDEZ SARAO,Eder,DEU,0,0,7.71,3,1,0,0,0,9.1,12,9,8,5,4,3,0,0,39,0.308,0,0,0,0,1,9,13
HERRERA,Chad,MSG,1,0,9.00,2,1,0,0,0,6.0,10,6,6,2,2,2,0,1,27,0.370,0,0,0,0,1,13,3
HEYMANS,Arthur,NAM,2,1,6.00,7,0,1,0,0,21.0,25,15,14,5,18,3,0,1,82,0.305,4,2,0,1,1,21,19
HEYMANS,Lucas,NAM,3,4,6.87,9,8,0,3,1,55.0,81,50,42,14,29,14,3,3,237,0.342,3,6,1,2,4,60,65
JORDENS,Steve,NAM,0,0,3.86,2,0,0,0,0,2.1,2,1,1,3,0,0,0,0,7,0.286,0,2,0,0,0,4,1
KUENEN,Daan,MSG,0,0,16.20,2,0,0,0,0,1.2,6,3,3,4,1,1,0,0,9,0.667,1,0,0,0,0,0,2
LANKFORD,Wyatt,BOR,1,0,1.35,1,1,0,0,0,6.2,3,1,1,1,7,0,0,0,23,0.130,1,0,1,0,0,6,7
LARRINAGA OCAMPO,Jose Luis,DEU,0,2,5.79,10,1,1,0,0,23.1,36,17,15,9,12,2,1,0,104,0.346,2,2,1,0,1,27,24
LEKEU,Florian,MSG,0,1,9.20,6,3,1,0,0,14.2,22,15,15,8,6,5,1,0,61,0.361,3,5,0,0,2,18,17
LONGHOFER,Jackson,BRA,4,1,3.81,11,7,1,1,1,49.2,49,28,21,16,49,8,0,1,196,0.250,4,6,2,2,5,60,37
LORRENTOP,Lucas,HOB,0,0,0.00,1,0,0,0,0,2.0,0,0,0,1,3,0,0,0,6,0.000,1,0,0,0,0,0,3
MAREELS,Glenn,BOR,2,4,5.67,11,5,0,0,0,33.1,35,25,21,16,11,3,1,1,128,0.273,1,15,1,3,1,40,42
MAREELS,Gregg,BOR,0,0,0.00,1,0,0,0,0,3.0,2,0,0,0,2,0,0,0,8,0.250,0,0,0,0,0,3,1
MARQUEZ,Alexis,DEU,0,0,1.59,2,0,0,0,0,5.2,6,2,1,2,6,0,0,0,22,0.273,0,2,0,0,1,6,5
MEERT,Aaron,MER,0,2,14.44,11,1,2,0,0,14.1,23,27,23,22,8,3,1,1,64,0.359,9,1,0,2,0,16,15
MORALES,Luis Efrem,DEU,0,0,1.50,2,1,0,0,0,6.0,8,4,1,1,8,1,0,1,27,0.296,0,1,0,0,0,6,2
MORGAN,John Paul,BOR,1,1,15.09,5,1,0,0,0,11.1,16,21,19,16,4,2,0,0,50,0.320,5,0,0,1,1,15,13
MOSTAERT,Nando,DEU,0,0,4.50,1,0,0,0,0,2.0,3,1,1,1,3,0,0,0,9,0.333,0,0,0,0,0,1,2
MUYLDERMANS,Julien,MSG,0,0,0.00,1,0,0,0,0,1.1,0,0,0,0,0,0,0,0,4,0.000,1,0,0,0,0,0,4
NAMMOKU,Yoshitaka,BOR,7,2,1.32,11,11,0,6,2,75.0,49,13,11,16,97,4,1,0,268,0.183,3,0,3,1,3,70,53
NICOLAY,Martin,NAM,0,0,4.15,3,0,0,0,0,8.2,9,6,4,5,6,0,0,0,34,0.265,2,1,0,0,1,12,5
NIETO CASTILLO,Edgardo Jose,DEU,1,0,5.40,4,1,1,0,0,13.1,18,8,8,9,5,2,1,0,50,0.360,1,1,0,3,2,11,20
NUNEZ ALONZO,David Amador,MSG,0,0,27.00,1,0,0,0,0,1.0,4,3,3,0,0,1,0,0,7,0.571,1,0,0,0,0,1,2
OBERTO SILVA,Tomasz,MSG,1,0,1.19,4,3,0,0,0,22.2,15,6,3,9,16,3,0,0,80,0.188,0,3,0,0,2,25,23
PACHECO ALVAREZ,Giënco,BOR,0,0,0.00,1,0,0,0,0,0.0,0,0,0,2,0,0,0,0,0,0.000,0,1,0,0,0,0,0
PEETERS,Jamie,BRA,0,0,8.59,3,0,0,0,0,7.1,13,8,7,5,5,2,0,0,35,0.371,3,2,0,0,0,9,5
POESMANS,Yves,BRA,0,0,0.00,1,0,1,0,0,1.1,1,0,0,1,0,0,0,0,4,0.250,0,0,0,0,0,2,1
POLANCO MACHADO,Elvis Joel,DEU,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,2,0,0,0,4,0.250,0,0,0,0,1,1,0
REINA VIANT,Leonel Santiago,DEU,0,0,6.75,2,0,0,0,0,2.2,4,3,2,0,0,1,0,0,14,0.286,0,0,0,0,0,5,4
RITTWEGER,Jean-François,MSG,0,3,15.22,7,3,0,0,0,18.1,38,32,31,16,4,6,0,2,88,0.432,1,6,1,1,2,20,29
RIZZI,Lucas,HOB,2,0,0.61,4,2,0,0,0,14.2,9,1,1,10,9,0,0,0,49,0.184,0,0,0,1,0,17,14
ROBBERECHTS,Jill,MER,0,0,10.80,1,0,0,0,0,1.2,5,2,2,0,0,2,0,0,9,0.556,0,0,0,0,0,1,3
ROMBAUTS,Tom,MER,0,0,21.21,2,0,0,0,0,4.2,10,12,11,5,4,0,0,1,26,0.385,2,3,0,1,0,5,6
RUELLE,Daan,BRA,0,0,0.00,1,0,0,0,0,0.2,1,3,0,2,1,0,1,0,4,0.250,0,1,0,0,0,0,1
RUIJTER,Sam,DEU,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,2,0,0,0,4,0.250,0,0,0,0,0,1,0
SIRGEDAS,Matas,BOR,1,0,0.00,2,0,0,0,0,4.1,4,0,0,3,3,1,0,0,16,0.250,0,1,0,0,0,2,6
SMETZ,Tristan,MSG,0,1,27.00,1,1,0,0,0,1.2,5,5,5,2,1,1,0,0,11,0.455,0,0,0,0,0,2,2
SOLIS PINARGOTE,Nestor Aaron,BOR,0,0,6.75,2,0,0,0,0,1.1,1,1,1,2,0,1,0,0,5,0.200,1,0,0,0,0,4,0
STEAD,Jack,NAM,3,3,6.53,8,7,0,2,1,40.0,50,43,29,15,37,11,1,2,174,0.287,1,1,0,2,2,45,34
VAN AGTMAEL,Noah,MER,0,3,16.88,8,2,0,0,0,16.0,22,40,30,37,13,4,0,1,74,0.297,20,5,0,2,0,19,15
VAN DE VOORDE,Nick,MER,1,3,7.24,11,6,0,0,0,41.0,46,50,33,33,22,18,1,1,173,0.266,15,12,0,1,1,54,41
VAN DEN BRANDE,Yann,BOR,0,2,12.46,6,0,0,0,0,8.2,13,14,12,9,6,4,0,0,37,0.351,0,3,0,1,1,8,9
VAN DER LINDEN,Simon,MSG,0,0,11.57,1,0,0,0,0,2.1,5,3,3,2,2,1,0,0,12,0.417,1,0,0,0,0,5,0
VAN DROOGENBROECK,Owen,MER,0,1,35.10,5,1,0,0,0,3.1,7,17,13,11,1,1,0,0,18,0.389,3,4,0,1,0,5,5
VAN LANDUYT,Ruben,HOB,0,0,7.53,7,2,0,0,0,14.1,11,15,12,19,15,0,0,0,49,0.224,5,3,0,2,2,17,7
VAN MOOK,Mauro,DEU,6,5,3.59,13,9,0,1,0,57.2,46,32,23,24,60,10,1,0,222,0.207,7,4,0,1,2,74,39
VAN NUFFEL,Ben,HOB,9,1,3.20,13,10,0,1,1,59.0,46,22,21,19,57,9,0,1,217,0.212,4,8,0,1,0,61,50
VAN NUFFEL,Sam,HOB,0,0,9.39,7,0,0,0,0,7.2,7,8,8,8,5,2,0,0,28,0.250,0,0,0,0,0,8,8
