Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
FERREIRA,Daniel,IRA,13,63,50,13,0,1.000,0,18,7,72.0,3,0
FIGARO,Franklin,BCN,26,50,9,38,3,0.940,5,0,0,,0,0
FLORES,Jeifer,SBO,28,44,41,1,2,0.955,0,0,0,,0,0
FRANCO,Yancarlo,MAR,27,94,50,43,1,0.989,14,0,0,,0,0
FRESA,Teudis,NAV,9,8,8,0,0,1.000,0,2,0,100.0,0,0
GAINZA,Jeyson,BCN,18,67,44,20,3,0.955,5,0,0,,0,0
GALICIA,Luis,AST,9,9,6,3,0,1.000,0,0,0,,0,0
GALVÁN,Lesther,MAR,22,24,24,0,0,1.000,0,0,0,,0,0
GARCIA,Miguel,IRA,4,4,4,0,0,1.000,0,0,0,,0,0
GARCÍA,Carlos,BCN,23,102,53,45,4,0.961,17,0,0,,0,0
GARCÍA,Dany,SBO,8,19,7,11,1,0.947,2,0,0,,0,0
GARCÍA,Francis,BCN,11,42,16,23,3,0.929,5,0,0,,0,0
GARCÍA,Jhon,NAV,28,179,146,28,5,0.972,3,23,19,54.8,6,0
GARRUES HERCE,Jon,IRA,8,16,15,0,1,0.938,0,0,0,,0,0
GIMÉNEZ,Eric,VIL,25,74,66,7,1,0.986,2,13,0,100.0,1,0
GONZALEZ,Cesar,INA,15,2,2,0,0,1.000,0,0,0,,0,0
GONZÁLEZ,Daniel,INA,18,26,19,5,2,0.923,1,0,0,,0,0
GONZÁLEZ,Henry,VIL,23,44,40,3,1,0.977,0,0,0,,0,0
GONZÁLEZ,Iker,VIL,11,18,11,6,1,0.944,1,0,0,,0,0
GONZÁLEZ,Luis,BCN,22,77,67,6,4,0.948,0,18,2,90.0,1,0
GONZÁLEZ,Manuel,VIL,11,4,1,3,0,1.000,0,3,0,100.0,0,0
GONZÁLEZ,Rubén,NAV,7,5,1,4,0,1.000,0,0,0,,0,0
GRATERON OLIVO,JOSE ALEJANDRO,ANT,5,1,0,1,0,1.000,0,0,1,0.0,0,0
GRULLÓN,Aderly,SBO,22,21,19,1,1,0.952,1,0,0,,0,0
GÓMEZ,Elvis,TOR,10,5,1,3,1,0.800,0,0,0,,0,0
HERNANDEZ ESPINOSA,Ruben,MAR,9,6,1,5,0,1.000,1,0,0,,0,0
HERNÁNDEZ BLANCO,Jorge Luis,NAV,16,14,7,7,0,1.000,1,1,0,100.0,0,0
HERNÁNDEZ,Braulio,NAV,4,1,1,0,0,1.000,0,0,0,,0,0
HERNÁNDEZ,Jonathan,AST,17,52,51,1,0,1.000,0,1,0,100.0,1,0
HERNÁNDEZ,Lionel,MIR,21,82,64,13,5,0.939,5,0,0,,0,0
HERNÁNDEZ,Ricardo,AST,14,8,1,7,0,1.000,0,0,0,,0,0
HERNÁNDEZ,Royd,INA,14,20,7,11,2,0.900,1,0,1,0.0,0,0
HERNÁNDEZ,Óscar,BCN,15,22,3,18,1,0.955,0,1,3,25.0,0,0
HONORA,Zael,AST,11,3,2,1,0,1.000,0,0,0,,0,0
INFANTE,Juan,ANT,22,14,9,3,2,0.857,1,0,0,,0,0
INOJOSA,David,NAV,13,5,2,2,1,0.800,0,0,0,,0,0
JAIME,Ysrael,TOR,13,11,3,6,2,0.818,0,0,0,,0,0
JIMÉNEZ,Diego,MIR,10,4,1,1,2,0.500,0,0,0,,0,0
JIMÉNEZ,Oriol,VIL,4,2,2,0,0,1.000,0,0,0,,0,0
JIRÓN,Miguel,MIR,1,5,2,1,2,0.600,0,0,0,,0,0
KINGSLEY,Francisco,TOR,19,21,6,12,3,0.857,0,0,0,,0,0
LARDIN,Miguel,SBO,9,13,11,2,0,1.000,0,0,0,,1,0
LERTXUNDI,Pablo,NAV,23,29,15,12,2,0.931,0,1,0,100.0,0,0
LEYVA,Lázaro,INA,23,2,0,2,0,1.000,0,0,0,,0,0
LEÓN,Hugo,SBO,13,5,0,2,3,0.400,0,0,0,,0,0
LINARES,Josué,NAV,20,50,45,4,1,0.980,2,0,0,,0,0
