Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ABREU,Alcis,COL,0,3,9.59,14,3,0,0,0,27.0,48,50,37,27,19,9,2,3,127,0.378,8,6,4,2,1,31,21
ACERBI,Edoardo,COL,1,3,7.32,10,6,1,0,0,22.0,35,31,23,21,16,5,0,5,98,0.357,5,1,0,1,1,27,20
ALDEGHERI,Mattia,PAR,2,2,3.90,11,6,1,0,0,32.1,26,21,18,18,33,4,0,0,121,0.215,5,1,0,0,1,31,29
ALDEGHERI,Samuel,PAR,2,0,3.75,8,1,0,0,0,9.1,8,6,5,7,13,1,1,0,36,0.222,2,1,0,0,0,8,7
ALFIERI,Leonardo,COL,0,0,7.64,2,0,0,0,0,3.2,3,4,4,2,3,1,0,0,16,0.188,2,0,0,0,0,4,4
ARCILA,Anthony,PAR,1,1,5.12,10,0,1,0,0,13.2,14,11,10,9,8,0,0,0,52,0.269,3,6,1,0,2,18,13
BADIU,Alexandru Marius,MAC,0,0,2.33,5,0,1,0,0,6.0,5,7,2,6,3,1,0,0,27,0.185,2,1,0,0,0,10,6
BAEZ,Fernando,RSM,4,1,1.40,17,1,2,0,0,30.0,16,10,6,21,40,3,1,2,106,0.151,1,5,0,2,2,19,30
BARTOLI,Michele,MAC,0,0,0.00,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,2,0.000,0,0,0,0,0,1,1
BASSANI,Alex,BOL,5,2,1.35,18,3,4,0,0,46.2,33,12,9,11,49,10,2,1,170,0.194,3,3,0,0,0,42,42
BATTIONI,Tommaso,COL,0,0,15.75,1,0,0,0,0,1.1,4,3,3,1,0,0,0,1,9,0.444,0,2,0,0,0,4,0
BELARDI,Leonardo,MAC,0,0,0.00,2,0,0,0,0,4.0,3,0,0,2,3,0,0,0,15,0.200,0,0,0,0,0,3,6
BERTOLINI,Romano,COL,0,2,17.09,13,0,0,0,0,14.1,24,45,35,28,13,8,0,4,67,0.358,8,9,0,3,0,12,18
BESS DIAZ,Roberto Carlos,MAC,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,1,0,0,0,4,0.000,0,0,0,0,0,1,1
BOCCHI,Matteo,BOL,7,1,3.36,14,12,0,0,0,50.0,51,31,24,15,51,11,0,3,195,0.262,6,8,0,3,1,63,30
BORTOLOTTI,Luca,GOD,1,9,5.42,13,10,0,0,0,41.1,43,36,32,37,33,3,1,1,161,0.267,8,5,0,1,2,39,46
BREZZO,Paolo Ampeglio,GOD,0,2,5.94,10,0,0,0,0,17.2,21,17,15,10,20,2,1,1,74,0.284,3,3,0,1,0,17,13
BROLO,Murilo,BOL,6,1,1.69,13,8,1,0,0,41.1,27,10,10,10,65,5,1,2,146,0.185,1,2,0,2,1,27,27
CASALINI,Gabriele,PAR,0,0,0.00,1,0,0,0,0,0.0,0,3,3,4,0,0,0,0,0,0.000,0,0,0,1,0,0,0
CIVIT SAN MARTIN,Marc,BOL,0,0,7.00,6,0,0,0,0,5.0,3,5,5,3,7,1,0,0,18,0.167,1,2,0,1,0,5,4
COFFRINI,Luca,COL,0,0,42.00,2,0,0,0,0,0.2,7,4,4,0,0,1,0,0,9,0.778,0,0,0,0,0,0,2
CREPALDI,Filippo,BOL,2,0,1.86,19,0,3,0,0,26.1,21,10,7,8,37,4,0,4,101,0.208,7,1,0,1,0,12,30
DALLATURCA,Lorenzo,COL,1,1,4.75,13,0,0,0,0,17.2,22,17,12,9,19,4,1,3,74,0.297,10,0,0,1,1,12,22
DEOTTO,Alessandro,PAR,0,0,0.00,1,0,0,0,0,1.0,0,0,0,2,2,0,0,0,3,0.000,0,0,0,0,0,1,0
DI RAFFAELE,Lorenzo,RSM,0,0,0.00,1,0,0,0,0,2.0,1,0,0,1,2,0,0,0,7,0.143,0,1,0,0,0,3,1
