Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
GELDHOF,Mauro,ZOT,0,0,12.60,2,0,0,0,0,1.2,1,4,3,6,2,0,0,0,4,0.250,1,0,0,0,0,0,1
GERVAIS,Charlie,MSG,0,0,63.00,2,0,0,0,0,0.2,3,6,6,6,1,1,0,0,4,0.750,2,3,0,0,0,0,0
GIACOMUZZI,Nicolas,BRU,1,0,16.80,1,1,0,0,0,1.2,0,5,4,5,4,0,0,0,5,0.000,1,0,0,0,0,0,1
GIELISSEN,Remy,CAN,2,0,4.71,8,2,0,0,0,16.1,18,16,11,20,28,0,2,0,57,0.316,1,0,0,0,1,10,2
GOUTIERE,Mattias,BIN,0,0,15.00,1,0,0,0,0,2.1,3,7,5,6,3,0,0,0,7,0.429,1,1,0,0,0,0,1
GRAVINO,Virgilio,MSG,0,1,19.89,5,1,0,0,0,6.1,14,24,18,16,8,3,1,0,32,0.438,1,2,1,0,0,2,8
HANNAERT,Niels,WBA,0,0,7.64,3,0,0,0,0,3.2,6,10,4,9,9,0,1,0,17,0.353,2,2,0,0,0,2,0
HELLINCKX,Antoine,BRI,0,1,94.50,2,1,0,0,0,0.2,1,12,9,13,0,0,1,0,4,0.250,4,1,0,0,0,2,0
HESPEL,Atlant,AND,2,1,20.00,6,3,0,1,0,7.0,10,26,20,28,14,3,0,0,27,0.370,5,3,0,0,0,1,2
HOFFAIT,Antoine,MSG,0,1,9.33,7,1,0,0,0,12.0,18,22,16,15,22,7,0,3,53,0.340,5,5,0,0,0,7,5
ISHIGAMI,Yuto,BRU,1,0,0.00,1,1,0,0,0,2.0,0,0,0,4,2,0,0,0,5,0.000,0,0,0,0,0,2,1
JOOS,Jelle,WBA,2,2,5.43,8,4,0,0,0,19.1,17,20,15,23,47,1,4,2,73,0.233,3,2,0,0,0,5,4
