Player,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
CLAES
Wesley,CHI,1,8,13.19,10,9,0,7,0,52.0,112,119,98,67,33,24,12,6,259,0.432,10,9,0,3,0,59,40
DE CLOEDT
Jelle,CHI,1,0,28.00,3,1,0,0,0,5.0,7,20,20,17,7,3,0,1,20,0.350,6,5,0,1,0,5,2
DE KAM
Robbe,DEU,1,0,11.00,1,1,0,1,0,7.0,12,12,11,11,7,4,2,0,29,0.414,0,2,0,1,0,5,5
DE RYCK
Ben,BRU,2,5,8.40,11,8,0,2,0,31.2,59,43,38,13,29,8,4,7,154,0.383,3,4,0,0,0,26,35
DELARUELLE
Kenneth,DEU,0,1,19.38,2,1,0,0,0,4.1,7,14,12,9,2,2,1,0,23,0.304,5,4,0,0,0,6,4
DIELEN
Steve,ANT,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,1,0,0,0,3,0.000,0,0,0,0,0,2,0
GELDOF
Dean,ANT,2,2,3.27,7,5,0,3,0,30.0,27,17,14,9,58,4,2,1,123,0.220,5,0,0,0,0,23,10
GUERRA ARTEAGA
Juan Carlos,DEU,2,0,2.50,2,2,0,2,0,14.0,14,8,5,4,9,1,0,1,57,0.246,1,0,0,0,0,23,8
HABRAKEN
Steff,TBS,2,2,7.00,6,5,0,4,0,25.0,38,38,25,20,19,8,3,3,112,0.339,6,8,0,4,0,32,18
HELLEMANS
Erik,GRE,1,1,15.75,7,3,0,1,0,12.0,27,35,27,24,18,3,2,1,66,0.409,5,1,0,0,0,11,5
JERUSALEM
Sven,DEU,0,1,42.00,2,1,0,0,0,2.2,13,17,16,8,1,3,1,0,21,0.619,4,1,0,0,0,4,3
LANSSENS
Steve,ANT,0,1,94.50,1,1,0,0,0,0.2,2,9,9,6,1,1,1,0,4,0.500,6,3,0,0,0,0,1
MACKEN
Serge,BRU,2,2,6.93,10,4,0,3,0,31.1,56,35,31,4,27,10,7,3,148,0.378,2,2,0,0,0,44,15
MATHYS
Dean,ANT,0,0,10.50,1,0,0,0,0,1.1,1,2,2,4,1,0,0,0,3,0.333,0,0,0,0,0,0,1
SMITS
Pieter,DEU,3,0,4.11,4,4,0,3,0,15.1,19,12,9,16,20,1,1,1,61,0.311,3,0,0,0,0,13,7
VAN DER LINDEN
Don,GRE,0,1,24.00,2,1,0,0,0,4.2,13,21,16,14,5,1,2,0,31,0.419,2,0,0,0,0,3,5
VAN DER VORST
David,CHI,0,2,22.11,2,2,0,1,0,6.1,18,20,20,7,4,7,1,0,34,0.529,1,3,0,1,0,4,8
VAN GENECHTEN
Joseph,GRE,8,1,1.31,10,8,0,8,3,53.1,30,21,10,17,93,5,6,1,198,0.152,7,2,0,1,0,40,27
VAN HOYE
Bjorn,CHI,0,2,39.00,3,2,0,2,0,7.0,32,46,39,13,10,9,1,6,56,0.571,5,6,0,0,0,6,4
VAN NUFFEL
Jeroen,DEU,0,1,14.00,1,1,0,0,0,1.0,2,3,2,4,0,0,0,0,4,0.500,1,0,0,0,0,1,0
VAN OPDORP
Kevin,ANT,1,0,37.80,1,1,0,0,0,1.2,9,9,9,5,0,2,0,1,11,0.818,0,0,0,0,0,2,0
VAN WAUWE
Sofie,BRU,2,1,5.25,4,3,0,0,0,12.0,15,14,9,7,8,1,4,0,56,0.268,4,0,0,0,0,20,9
VERELST
Kevin,GRE,1,0,3.50,1,1,0,0,0,2.0,1,1,1,4,1,0,0,0,5,0.200,1,1,0,0,0,2,1
VERHEYDEN
Djamy,DEU,0,0,115.50,2,0,0,0,0,0.2,2,11,11,11,0,0,1,0,4,0.500,4,3,0,0,0,2,0
VINCK
Matthieu,GRE,1,1,14.70,3,2,0,0,0,6.2,12,14,14,11,5,2,1,0,30,0.400,2,1,0,0,0,7,6
WUYTS
Nick,TBS,2,0,4.97,2,2,0,1,0,12.2,14,10,9,8,10,1,2,0,50,0.280,3,0,0,0,0,16,7
