Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
AARTS,Arno,LEU,4,5,5,0,0,1.000,0,0,0,,0,0
ADAM,Dorian,BIN,2,7,4,0,3,0.571,0,0,0,,0,0
ADAM,Emeric,LIE,4,1,1,0,0,1.000,0,0,0,,0,0
ADANK,Martin,NAM,11,24,13,9,2,0.917,0,0,0,,0,0
ANDRIES,Thibo,BOR,13,17,8,4,5,0.706,1,1,0,100.0,0,0
ANTOINE,Louis,BRU,14,20,4,10,6,0.700,0,15,0,100.0,0,0
ARMIROTTO,Kaj,BOR,2,12,10,0,2,0.833,0,0,0,,0,0
BALTUS,Terry,LIE,2,11,6,5,0,1.000,1,0,0,,0,0
BALZANI,Lorenzo,BRU,7,16,5,6,5,0.688,0,0,0,,0,0
BAR,Maxime,LIE,4,3,1,1,1,0.667,0,0,0,,0,0
BARBIER,Ruben,MSG,4,3,1,2,0,1.000,1,0,0,,0,0
BERARDOCCO,Matteo,BOR,6,18,11,2,5,0.722,1,0,0,,0,0
BERNARD,Daniel,BIN,2,2,2,0,0,1.000,0,0,0,,0,0
BEUKELEERS,Wouter,GRE,12,46,30,9,7,0.848,2,25,0,100.0,11,1
BLANCO BRAVO,Yasiel,LEU,8,32,19,11,2,0.938,1,0,0,,0,0
BODART,Mathéo,AND,7,17,11,3,3,0.824,1,16,0,100.0,4,0
BODART,Mathéo,AND,6,27,18,5,4,0.852,0,9,1,90.0,8,0
BODART,Nathan,AND,15,40,31,1,8,0.800,1,3,0,100.0,0,0
BODART,Nathan,AND,12,16,4,7,5,0.688,0,6,0,100.0,0,0
BOLSENS,Vik,BEV,3,8,1,4,3,0.625,0,0,0,,0,0
BONTINCK,Jasper,ZOT,14,13,7,3,3,0.769,0,1,0,100.0,0,0
BORCHARDT,Quinten,BEV,1,3,1,2,0,1.000,0,0,0,,0,0
BORCHARDT,Seppe,WBA,1,2,0,0,2,0.000,0,0,0,,0,0
BORCHARDT,Wannes,BEV,1,8,7,1,0,1.000,0,0,0,,0,0
BRABANT,Cyril,TOU,7,12,3,7,2,0.833,0,6,0,100.0,0,0
BRAND,Wim,BOR,7,9,6,2,1,0.889,1,0,0,,0,0
BUSH,Will,BIN,7,11,8,3,0,1.000,0,6,0,100.0,0,0
CANELLE,Xavier,MSG,7,41,38,0,3,0.927,2,0,0,,0,0
CARRILLO TOVAR,Luis Eduardo,BEV,10,38,19,12,7,0.816,1,1,0,100.0,0,0
CASIE,Natan,BOR,9,20,10,6,4,0.800,1,6,0,100.0,1,0
CASORRAN,Carlos,BRU,9,40,31,3,6,0.850,2,0,0,,0,0
CASSIERS,Elliott,GRE,9,67,59,5,3,0.955,0,49,2,96.1,11,0
CHASSEUR,Quentin,LIE,14,50,45,2,3,0.940,2,5,1,83.3,0,0
CHATEL,Alexandre,MSG,8,9,0,7,2,0.778,0,3,1,75.0,0,0
