Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Loub,Matous,GREEN,,9,0,5,4,,0,0,0,,0,0
Egan,Nolan,RED,,2,0,1,1,,0,0,1,,0,0
Belicchi,Ricardo,AQUA,,2,1,0,1,,0,0,0,,0,0
Nelson,Dylan,ROYAL,,2,0,1,1,,0,0,0,,0,0
Uher,Jan,NAVY,,2,0,1,1,,0,1,1,,0,0
Troia,Alessio,ROYAL,,2,0,1,1,,0,0,0,,0,0
Spitzenberger,Lukas,GREEN,,4,0,1,3,,0,1,0,,0,0
Pus,Ondrej,ROYAL,,1,0,0,1,,0,0,0,,0,0
Esposito,Daniel,ROYAL,,1,0,0,1,,0,0,0,,0,0
fermin,Luiis,RED,,1,0,0,1,,0,0,0,,0,0
Balog,Simon,GREEN,,0,0,0,0,,0,0,0,,0,0
van Gool,Sjors,AQUA,,0,0,0,0,,0,1,0,,0,0
Diaz,Enmanuel,AQUA,,0,0,0,0,,0,0,0,,0,0
van der Erve,Gerain,ORANG,,0,0,0,0,,0,0,0,,0,0
Drost,Berend,AQUA,,0,0,0,0,,0,0,0,,0,0
Fajardo,Jarolth,NAVY,,0,0,0,0,,0,0,0,,0,0
Romero,Alex,ORANG,,0,0,0,0,,0,0,0,,0,0
Lomi,Dario,AQUA,,0,0,0,0,,0,0,0,,0,0
,Schneid,ORANG,,0,0,0,0,,0,0,0,,0,0
Garcia,Victor,AQUA,,0,0,0,0,,0,0,0,,0,0
Glace,Cameron,ROYAL,,0,0,0,0,,0,0,0,,0,0
Halena,Hynek,GREEN,,0,0,0,0,,0,0,0,,0,0
Handly,Paul,GOLD,,0,0,0,0,,0,0,0,,0,0
Harmsen,Keano,ROYAL,,0,0,0,0,,0,0,0,,0,0
Lieb,Henri,RED,,0,0,0,0,,0,1,1,,0,0
Moserratte,Daniel,AQUA,,0,0,0,0,,0,0,0,,0,0
Hunte,Canyon,RED,,0,0,0,0,,0,0,0,,0,0
Kely Franco,Jean,NAVY,,0,0,0,0,,0,0,0,,0,0
Kocab,Matyas,ROYAL,,0,0,0,0,,0,0,0,,0,0
