Player,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ALZINGER
Richard,VM,31,72,66,4,2,0.972,0,0,1,0.0,0,0
AMON
Florian,DD,21,45,23,18,4,0.911,1,0,0,,0,0
ASTNER
Felix,DD,24,43,39,3,1,0.977,0,0,0,,0,0
BERNACKI
Christoph,GH,6,6,3,0,3,0.500,0,0,0,,0,0
BICKEL
Lukas,FC,30,99,72,18,9,0.909,6,2,0,100.0,0,0
BICKEL
Moritz,FC,28,149,138,8,3,0.980,2,52,1,98.1,4,0
BOATENG
Mike,DOI,27,26,25,1,0,1.000,0,0,0,,0,0
BRANDT
David,AA,31,150,49,83,18,0.880,14,0,0,,0,0
BRAUN
Johannes,FC,3,2,1,0,1,0.500,0,0,0,,0,0
BRAUNER
Jacob,DD,16,12,11,0,1,0.917,0,0,0,,0,0
BREITENFELDER
Ian,FC,35,57,22,27,8,0.860,3,0,0,,0,0
BRENNER
Phillip,GH,30,226,209,10,7,0.969,24,0,0,,0,0
BROWN
Casey,BB,25,42,29,9,4,0.905,2,0,0,,0,0
BURNS
Parker,AA,10,2,2,0,0,1.000,0,0,0,,0,0
BURNSIDE
Ryan Gordon Lund,DD,28,145,103,32,10,0.931,5,11,8,57.9,1,0
BÖHLER
Hubert,HB,29,173,161,10,2,0.988,9,11,0,100.0,0,0
BÜSCHER
Lucas,FC,4,2,0,2,0,1.000,0,0,0,,0,0
CAMPREGHER
Pascal,HB,24,38,32,3,3,0.921,1,4,0,100.0,1,0
CARSON
Clayton Reese,HB,28,93,27,57,9,0.903,4,0,0,,0,0
CHRISTOF
Benedict,BB,31,135,102,22,11,0.919,4,13,1,92.9,3,0
CHRISTOF
Sebastian,BB,18,127,118,4,5,0.961,7,0,0,,0,0
CLAUSS
Jacob,GH,21,65,23,32,10,0.846,8,1,0,100.0,0,0
DE LEON MOREL
Braudy,BB,5,17,8,7,2,0.882,0,0,0,,0,0
DESPARS
Christopher,VM,2,1,1,0,0,1.000,0,0,0,,0,0
DIESNER
Michael,GH,18,12,11,0,1,0.917,0,0,0,,0,0
DITTRICH
Felix,VM,27,64,24,32,8,0.875,6,1,0,100.0,0,0
DORFFNER
David,VM,15,105,96,5,4,0.962,9,0,0,,0,0
DUENAS HIDALGO
Omar Luis,AA,27,22,9,12,1,0.955,1,2,0,100.0,0,0
ECKEL
Philipp,GH,28,95,20,63,12,0.874,10,0,0,,0,0
EISENHELD
David,BB,3,11,10,1,0,1.000,1,0,0,,0,0
FALBACHER
Fabian,BB,23,34,32,0,2,0.941,0,0,0,,0,0
FAULHABER
Julian,DD,40,207,195,10,2,0.990,14,2,0,100.0,0,0
FERAK JR.
Peter,VM,35,180,152,21,7,0.961,3,6,0,100.0,2,1
FRÖHLICH
Niklas,GH,16,14,14,0,0,1.000,0,0,0,,0,0
GLASSEN
Marvin-Sebastian,HB,14,12,11,0,1,0.917,0,0,0,,0,0
GOHM
Pascal,FC,25,35,17,16,2,0.943,3,0,0,,0,0
GOHM
Sebastian,FC,21,36,31,2,3,0.917,0,24,0,100.0,2,0
GOJKOVIĆ
Kruno,DOI,42,139,49,78,12,0.914,8,0,0,,0,0
GRUBER
Andre,AA,31,260,250,7,3,0.988,8,18,3,85.7,2,0
GRUBER
Martin,AA,31,95,31,51,13,0.863,3,2,0,100.0,0,0
GRUBER
Tim,BB,24,49,41,5,3,0.939,3,0,0,,0,0
HACKL
Mo,VM,52,170,74,83,13,0.924,4,2,2,50.0,3,0
HACKL
Sammy,AA,44,214,168,37,9,0.958,6,7,2,77.8,1,0
HALPER
Lennard,VW,16,23,10,10,3,0.870,1,1,0,100.0,0,0
HAMILTON
Dustin Jeffrey,VM,32,26,10,16,0,1.000,0,7,5,58.3,0,0
HEINZLE
Levin,FC,27,62,33,22,7,0.887,2,0,0,,0,0
HILLIARD
Alexander,VM,18,50,18,26,6,0.880,3,0,0,,0,0
HIRNSCHAL
Fabian,VW,37,203,63,129,11,0.946,19,0,0,,0,0
HOFFMANN
Jan,DD,1,5,4,1,0,1.000,0,1,0,100.0,0,0
HOLDHAUS
Luca,DD,7,14,10,1,3,0.786,2,0,0,,0,0
HOLT
Zachary Noah Tate,HB,36,114,88,19,7,0.939,4,0,1,0.0,0,0
HOLZINGER
Raphael,AA,25,92,41,46,5,0.946,5,0,0,,0,0
HOSCHER
Christoph,VW,41,264,222,37,5,0.981,12,8,5,61.5,2,0
INMANN
Lukas,VW,15,13,2,7,4,0.692,1,2,0,100.0,0,0
JENSEN
James,AA,44,86,42,44,0,1.000,4,0,0,,0,0
JENSEN
Matthew Neil,BB,29,61,19,38,4,0.934,3,1,0,100.0,0,0
JOHNSTONE
Michael,VM,2,3,3,0,0,1.000,0,0,0,,0,0
JÄGER
Marcel,DOI,34,72,35,34,3,0.958,4,0,0,,0,0
JÄGER
Michael,DOI,39,279,248,26,5,0.982,1,29,8,78.4,4,0
KANAI
Hokuto,HB,27,37,12,24,1,0.973,1,3,0,100.0,0,0
KAWANISHI
Dan,VW,24,108,44,55,9,0.917,6,2,0,100.0,0,0
KIEFER
Tobias,GH,27,70,15,48,7,0.900,7,0,1,0.0,0,0
KIENBERGER
Alexander,DD,15,26,24,0,2,0.923,0,0,0,,0,0
KOLLER
Michael,GH,33,16,9,6,1,0.938,1,1,0,100.0,0,0
KRANABETTER
Richard Thomas,HB,8,13,13,0,0,1.000,0,0,0,,0,0
KRESKA
Elias,DD,22,90,75,14,1,0.989,1,5,1,83.3,1,0
KRESKA
Jonas,DD,26,88,35,40,13,0.852,7,0,0,,0,0
LACAYO
Jerry Jorge,VW,30,136,92,39,5,0.963,3,7,4,63.6,1,0
LAHSNIG
Felix,GH,28,74,33,34,7,0.905,9,0,0,,0,0
LAMBAUER
Alexander,DOI,7,16,16,0,0,1.000,0,3,0,100.0,0,0
LASTINGER
Andreas,AA,25,121,108,7,6,0.950,2,14,1,93.3,3,0
LAZAR
Jakob,VW,26,37,33,0,4,0.892,0,0,0,,0,0
LETOUZÉ
Thierry,VM,13,12,5,4,3,0.750,0,2,0,100.0,0,0
LINDSAY
Brett Anderson,FC,3,8,3,5,0,1.000,0,0,0,,0,0
LUGER
Maximilian,DOI,16,7,3,2,2,0.714,0,0,0,,0,0
LUTTER
Matthias,HB,17,15,11,1,3,0.800,0,0,0,,0,0
LUTTOR
Graeham,DOI,26,51,41,10,0,1.000,2,0,0,,0,0
LÖFFLER
Dominik,VM,26,27,20,6,1,0.963,1,0,0,,0,0
MAIER
Karlheinz,FC,25,167,152,7,8,0.952,8,0,0,,0,0
MAIER
Lars,FC,11,3,2,0,1,0.667,0,0,0,,0,0
MAIER
Levin,HB,16,18,4,11,3,0.833,1,4,0,100.0,0,0
MARIN
Andriu,DOI,5,3,0,3,0,1.000,0,0,0,,0,0
MARTH
Raphael,FC,2,1,0,0,1,0.000,0,0,0,,0,0
MAUERSICH
Yuna,GH,1,4,3,1,0,1.000,1,7,0,100.0,1,0
MAYR
Raphael,AA,32,74,64,5,5,0.932,4,0,0,,0,0
MC GARRY
Eoghan,DD,40,51,32,14,5,0.902,5,1,0,100.0,0,0
MUIRHEAD
Spencer,BB,33,105,80,20,5,0.952,1,29,3,90.6,3,0
MÄHR
Nicolas,FC,28,74,20,42,12,0.838,3,0,0,,0,0
MÄSER
Luca Eliah,HB,26,138,128,8,2,0.986,0,15,3,83.3,0,0
MÄSER
Yanik,HB,25,122,52,63,7,0.943,13,0,0,,0,0
MÜLLER
Maximilian,GH,10,2,0,1,1,0.500,0,1,0,100.0,0,0
MÜLLER
Moritz,VM,2,1,1,0,0,1.000,0,0,0,,0,0
NAHMENS
William,VM,45,110,71,30,9,0.918,2,1,0,100.0,0,0
NAKAMURA
Yodai,HB,29,130,121,5,4,0.969,1,43,4,91.5,0,0
NENNING
Julian,FC,13,36,28,8,0,1.000,2,20,0,100.0,1,0
NIEDERL
Nicolas,BB,26,113,81,21,11,0.903,1,22,5,81.5,11,0
NÖBL
Leon,HB,13,48,44,2,2,0.958,3,0,0,,0,0
OBED
Ferdinand,DD,34,59,56,1,2,0.966,0,0,0,,0,0
OBERMAYER
Sascha,GH,16,31,26,1,4,0.871,1,0,0,,0,0
ORTIZ
Jose Alejandro,GH,14,47,21,23,3,0.936,6,0,0,,0,0
PARTSCH
Felix,FC,9,2,1,0,1,0.500,0,0,0,,0,0
PATERNO
