Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
NIETO CASTILLO,Edgardo Jose,DEU,1,0,4.50,1,0,0,0,0,2.0,1,2,1,1,2,1,0,0,7,0.143,0,0,0,0,0,2,2
NÁCAR,Leslie,MAR,0,0,6.00,1,1,0,0,0,3.0,4,2,2,1,4,1,0,0,12,0.333,0,0,0,0,1,4,1
OZANICH,Owen,MPT,1,0,1.13,1,1,0,0,0,8.0,6,1,1,1,9,1,0,0,28,0.214,0,1,0,0,0,5,8
PAPIĆ,Duje,BOK,0,0,4.26,3,0,1,0,0,6.1,4,3,3,5,4,0,0,1,22,0.182,1,2,2,1,0,6,9
PARKINS,Garrett Alanson,BOK,1,0,1.04,1,1,0,0,0,8.2,5,4,1,6,8,2,0,0,30,0.167,1,1,1,1,0,11,6
PERDUE,Melvin,DD,0,1,20.25,1,1,0,0,0,2.2,5,6,6,3,0,1,1,0,12,0.417,0,2,2,1,0,3,5
POLIT,Luc,MPT,0,1,14.54,1,1,0,0,0,4.1,9,8,7,7,3,2,0,0,21,0.429,3,0,0,0,1,5,5
RAULT,Antoine,MON,0,1,17.18,2,1,0,0,0,3.2,8,7,7,4,3,0,0,1,17,0.471,0,0,0,1,0,2,5
RODRÍGUEZ,Kevin,MAR,0,0,10.38,1,1,0,0,0,4.1,6,6,5,3,6,2,0,0,20,0.300,2,3,0,0,0,4,3
ROYMANS,Steff,DEU,0,0,0.00,1,0,0,0,0,1.2,0,0,0,2,0,0,0,0,5,0.000,0,0,0,0,0,3,1
RUIJTER,Sam,DEU,0,0,54.00,1,0,0,0,0,0.2,5,4,4,3,1,1,0,0,7,0.714,3,0,0,0,0,1,0
SCHADLER,Nicholas,MS,0,0,0.00,1,1,0,0,0,2.0,2,1,0,0,1,0,0,0,9,0.222,0,0,0,0,0,2,3
SCHEICHER,Moritz,DD,0,1,4.15,2,0,0,0,0,4.1,3,5,2,2,3,0,1,0,18,0.167,1,0,0,0,1,6,6
SCHEURER,Quentin,MPT,0,0,27.00,3,0,0,0,0,2.2,3,8,8,6,1,0,0,1,11,0.273,0,3,0,0,0,1,6
SCHWARZ,Elias,DD,0,0,27.00,1,0,0,0,0,1.0,2,5,3,3,0,1,0,0,3,0.667,2,0,0,1,0,1,1
SILVA,Elio,MAR,2,0,0.75,2,2,0,0,0,12.0,8,1,1,1,13,3,0,1,39,0.205,0,0,0,0,1,11,8
SIMONSEN,Jakob,MS,0,1,18.00,1,0,0,0,0,3.0,10,9,6,1,2,4,1,0,19,0.526,0,0,0,0,0,1,5
SUCHAROWSKI,Stefan,DD,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,1,0,0,0,3,0.000,0,0,0,0,0,0,2
TOPPER,Josh,MS,1,0,0.90,2,1,0,0,0,10.0,6,2,1,6,8,0,0,1,35,0.171,1,2,0,0,0,15,6
TORRES,Yosbany,AST,2,0,0.53,2,2,0,1,0,17.0,5,2,1,0,16,2,0,1,57,0.088,0,0,0,0,0,26,8
TRACEY,Max Dylan,DD,0,0,0.00,1,0,0,0,0,0.2,1,3,0,2,0,0,0,1,4,0.250,0,0,0,0,0,2,0
USTARIZ,Jesus,MAR,1,0,0.00,1,0,0,0,0,0.2,0,0,0,0,1,0,0,0,1,0.000,0,0,0,1,0,0,1
VAN DIJCK,Rick,DD,0,0,3.72,3,0,0,0,0,9.2,10,5,4,2,9,1,0,0,35,0.286,0,1,1,0,3,13,5
VAN MOOK,Mauro,DEU,1,0,5.14,2,1,0,0,0,7.0,6,4,4,4,16,2,0,0,27,0.222,2,2,0,0,0,5,0
VANDERVELDEN,Viktor,DEU,0,0,2.25,3,0,0,0,0,4.0,3,1,1,2,0,0,0,0,14,0.214,1,0,1,0,0,7,4
ZAN,Mael,MPT,0,0,0.00,1,0,0,0,0,1.0,1,2,0,1,1,0,0,0,5,0.200,2,0,1,0,0,0,1
ÁLVAREZ,Engelbert,AST,0,0,18.00,1,0,0,0,0,2.0,4,4,4,1,0,1,0,0,10,0.400,0,0,2,0,0,3,3
