Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
AGUILAR COLLADO,Jeffrey,ELL,0,1,8.79,5,1,0,0,0,14.1,23,23,18,16,10,4,1,2,69,0.333,3,5,0,0,0,14,14
ANDERSON,Bobby,LDC,0,2,4.77,4,2,0,0,0,14.2,22,13,10,3,4,1,0,0,65,0.338,1,0,0,0,1,19,18
APOSTOAEI,Andrei,SHB,0,1,7.16,7,1,0,1,0,14.2,22,17,15,10,11,3,1,0,63,0.349,2,5,0,2,0,13,18
ARMSTRONG,Luke,SHB,1,2,9.88,5,4,0,0,0,17.0,30,28,24,19,13,3,0,3,79,0.380,5,4,0,0,0,13,20
AVILA,Elbis,SHB,2,2,6.23,7,4,0,2,0,30.1,44,33,27,21,20,5,0,2,127,0.346,5,5,3,1,0,24,35
AYBAR,Emanuel,ELL,0,1,7.00,1,1,0,0,0,4.0,2,7,4,8,3,1,0,0,15,0.133,1,1,4,0,0,3,4
BAEZ AYBAR,Nguyen,ELL,0,0,14.00,3,0,0,0,0,4.0,7,10,8,6,5,1,0,1,19,0.368,1,0,0,1,0,3,4
BANAGALE,Michael,LDM,0,0,15.00,2,0,0,0,0,2.1,6,5,5,1,3,1,0,1,13,0.462,0,0,0,0,0,2,2
BARRETT,Joshua Ralph,LDM,0,0,13.13,1,0,0,0,0,2.2,3,5,5,4,2,0,0,0,10,0.300,0,1,0,0,0,0,5
BEDARD,David,LDC,3,0,7.82,6,2,0,0,0,17.0,25,22,19,12,10,5,0,2,75,0.333,1,4,0,0,0,24,15
CHANDLER,Rory,LDM,0,0,42.00,1,0,0,0,0,0.2,4,4,4,3,0,1,0,0,5,0.800,1,0,0,0,0,1,0
CLAYTON,Will,HTF,0,8,10.42,13,10,0,0,0,43.0,67,73,64,45,35,15,1,4,191,0.351,10,8,5,2,1,43,39
DEACON,Alex,HTF,2,6,8.78,10,9,0,0,0,36.2,49,57,46,38,37,8,0,6,161,0.304,18,8,0,1,0,30,33
DIX,Jamie,LDM,0,0,7.00,1,0,1,0,0,1.0,0,1,1,1,0,0,0,0,4,0.000,0,0,0,0,0,0,3
