Player,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ACHA
Sergio,INA,0,0,0.00,1,0,0,0,0,3.0,2,0,0,2,1,0,0,0,10,0.200,1,0,0,0,0,0,7
AINETO
Cristian,ANT,0,0,54.00,2,0,0,0,0,1.0,6,6,6,4,0,1,2,0,8,0.750,1,0,0,1,0,1,2
ALCONCHEL
Marcos,MIR,0,1,12.27,10,1,0,0,0,18.1,30,27,25,15,11,5,1,3,83,0.361,1,5,0,1,1,18,24
ALVAREZ
Daniel,MAR,1,0,0.00,1,0,0,0,0,2.2,0,0,0,2,4,0,0,0,8,0.000,0,0,0,0,0,2,1
AMADOR
Marcos,SBO,0,1,9.00,1,1,0,0,0,3.0,4,4,3,4,1,1,0,0,12,0.333,1,0,0,0,0,3,4
ARZA
Marcos,NAV,0,0,0.00,1,0,0,0,0,3.2,1,0,0,0,4,1,0,0,12,0.083,0,0,0,0,0,3,4
ARÉVALO
Digney,NAV,7,3,4.74,13,12,1,1,0,79.2,90,43,42,21,57,20,1,8,315,0.286,11,7,2,2,1,79,85
BALBOA
Jorge,VIL,9,2,3.08,12,12,0,3,1,79.0,70,36,27,43,93,10,5,2,292,0.240,6,15,1,1,2,79,50
BETANCOURT
Brhayan,BCN,2,2,4.82,5,3,0,1,0,28.0,31,18,15,11,13,3,0,0,104,0.298,2,1,2,1,2,39,22
BORDANOBA
Joan,SBO,0,0,14.43,9,0,0,0,0,19.1,31,33,31,20,7,7,2,4,82,0.378,8,3,0,4,0,12,35
BROUWER
Guillermo,MIR,0,0,18.00,2,0,0,0,0,4.0,11,9,8,2,0,0,1,1,23,0.478,1,2,0,0,0,6,5
CADENAS
Ferrán,VIL,0,1,14.90,7,1,0,0,0,9.2,18,17,16,12,14,5,0,1,46,0.391,3,2,1,2,0,3,12
CASADO
Pedro,NAV,0,0,9.00,4,0,0,0,0,3.0,3,3,3,6,3,1,0,0,11,0.273,0,2,0,0,0,2,3
CASTAÑO
Joaquín,VIL,0,0,4.29,9,0,0,0,0,21.0,26,13,10,7,13,6,2,1,82,0.317,1,2,0,0,0,23,18
CASTÁN
Jonathan,MIR,0,1,6.60,6,1,0,0,0,15.0,14,12,11,16,6,3,3,2,59,0.237,3,1,0,1,0,9,29
CONTELL
Arturo,ANT,0,2,16.20,4,2,0,0,0,10.0,14,19,18,17,8,1,0,2,40,0.350,8,1,0,3,0,6,15
CONTRERAS
