Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABADIA,Nahia,NAV,29,109,78,21,10,0.908,5,70,6,92.1,4,0
ACOSTA,Daniela,VIL,11,32,15,14,3,0.906,2,0,0,,0,0
AGUILAR,Elisa,FEN,15,12,5,4,3,0.750,0,0,0,,0,0
ALCAZAR,Carmen,FEN,38,35,28,7,0,1.000,2,0,0,,0,0
ALCÁNTARA,Alejandrina,RIV,30,17,14,3,0,1.000,1,0,0,,0,0
ALONSO,Claudia,IRA,25,24,4,17,3,0.875,1,0,0,,0,0
ANDUEZA,Carla,IRA,28,87,46,39,2,0.977,5,0,0,,0,0
ANDUEZA,Rebeca,IRA,7,1,1,0,0,1.000,0,0,0,,0,0
ARAIZ,Irene,IRA,27,26,24,1,1,0.962,0,2,1,66.7,2,0
ARANES,Olivia,ANT,26,3,0,1,2,0.333,0,0,0,,0,0
AREVALO,Ainhoa,RIV,12,1,1,0,0,1.000,0,0,0,,0,0
ASTRAIN,Iranzu,IRA,28,171,152,19,0,1.000,1,38,9,80.9,15,0
BARANDIARAN,Ane,RIV,18,10,2,7,1,0.900,0,0,0,,0,0
BARRERAS,Claudia,OBB,7,5,1,2,2,0.600,0,0,0,,0,0
BARRERAS,Lidia,OBB,28,18,12,4,2,0.889,1,0,0,,0,0
BARRIOS,Sara,VIL,25,9,2,7,0,1.000,0,0,0,,0,0
BENITO,Paula,ANT,28,149,128,20,1,0.993,0,25,11,69.4,2,0
BERNAL,Rebecca,CAM,13,2,2,0,0,1.000,0,0,0,,0,0
BLANCO,Lucía,DRI,35,70,35,28,7,0.900,2,0,0,,0,0
BODÓN,Saioa,IRA,25,33,9,21,3,0.909,1,0,0,,0,0
BOLAÑOS,Sarai,CAP,5,1,0,1,0,1.000,0,0,0,,0,0
BORDANOBA,Nuria,SBO,27,75,68,4,3,0.960,1,0,0,,0,0
BOUSBA,Assil,FEN,12,12,8,2,2,0.833,1,0,0,,0,0
BRAVO,Iris,DRI,3,5,5,0,0,1.000,0,0,0,,0,0
BRIZ,Claudia,CAP,34,62,47,12,3,0.952,1,0,0,,0,0
CAICOYA,Carmen,RIV,44,46,16,27,3,0.935,1,0,0,,0,0
CAICOYA,Maria,RIV,32,17,16,1,0,1.000,0,0,0,,0,0
CARPIO,Helena,IRA,21,11,6,4,1,0.909,1,0,0,,0,0
