Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABATE,Brian,CER,32,97,39,45,13,0.866,9,0,0,,0,0
ABREU FLORIMON,Alcis Manuel,CER,12,1,1,0,0,1.000,0,0,0,,0,0
ACCORSI,Luca,ATL,27,127,39,74,14,0.890,14,0,0,,0,0
ACERBI,Edoardo,COL,18,26,16,9,1,0.962,2,0,0,,0,0
ADORNI,Tommaso,CRO,29,48,46,2,0,1.000,2,0,0,,0,0
AGOSTINELLO,Filippo,ROV,4,27,25,1,1,0.963,0,3,0,100.0,0,1
AGRETTI,Filippo,BOL,40,28,4,22,2,0.929,1,0,0,,0,0
AIELLO,Tommaso,RIM,17,8,2,4,2,0.750,0,0,1,0.0,0,0
ALBANEZ RIENZO,André,RSM,8,4,0,4,0,1.000,0,0,0,,0,0
ALBERT,Shakir Achmed Girigorie,BBC,45,82,75,2,5,0.939,0,0,0,,0,0
ALBINI,Stefano,RFA,25,186,164,18,4,0.978,6,31,13,70.5,8,0
ALDEGHERI,Mattia,PAR,20,14,1,13,0,1.000,0,0,1,0.0,0,0
ALFIERI,Leonardo,COL,30,116,57,49,10,0.914,17,0,0,,0,0
ALFINITO MONTECCHI,Simone,CRO,30,98,24,66,8,0.918,9,0,0,,0,0
ALI,Kamran,GRO,4,1,0,1,0,1.000,0,0,0,,0,0
ALIOTO,Giuseppe,TOR,18,4,4,0,0,1.000,0,0,0,,0,0
ALLEGRI,Alessandro,OLT,9,2,2,0,0,1.000,0,0,0,,0,0
ALLOISIO,Giovanni,BRE,34,27,25,0,2,0.926,0,0,0,,0,0
ALMORA ESCUDERO,Julio Jesus,POV,15,16,4,12,0,1.000,2,0,0,,0,0
AMBROSINO,Paolino Junior,BBC,21,15,13,1,1,0.933,0,0,0,,0,0
AMORE,Gabriele,SET,21,2,1,1,0,1.000,0,0,1,0.0,0,0
ANDRES TURINO,Danny,CAG,34,75,36,31,8,0.893,6,0,0,,0,0
ANDRETTA,Maurizio,BOL,18,11,4,5,2,0.818,0,0,0,,0,0
ANGELONI,Niccolò,BRE,18,56,52,4,0,1.000,3,0,0,,0,0
ANGIOI,Gabriele,CAG,44,132,46,74,12,0.909,19,0,0,,0,0
ANGULO GAMEZ,Oscar David,RSM,53,152,72,77,3,0.980,21,0,0,,0,0
ANITOHIN,Jeron Crisostomo,MOD,15,7,0,6,1,0.857,0,0,1,0.0,0,0
ANNUNZIATA NINO,Andres Antonio,ACA,15,121,110,8,3,0.975,7,3,1,75.0,0,0
ANSELMI,Davide,VER,15,4,2,2,0,1.000,0,0,0,,0,0
