Player,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
AARTS
Arno,LEU,12,5,5,0,0,1.000,0,0,0,,0,0
ACAMPO
Bryan,BRU,5,16,15,0,1,0.938,0,14,0,100.0,6,0
ADAMS
Finn,BOR,10,5,5,0,0,1.000,0,0,0,,0,0
ALARDIN
Adrien,BRU,1,2,1,1,0,1.000,0,0,0,,0,0
ALMAGRO GOMEZ
Jose Raul,BRI,12,44,11,25,8,0.818,4,0,0,,0,0
ALMONTE BERROA
Oliver,MER,13,54,30,19,5,0.907,2,0,0,,0,0
ANDRIES
Thibo,BOR,13,15,6,7,2,0.867,0,1,0,100.0,0,0
ANTHONISSEN
Quinten,BRA,15,37,31,5,1,0.973,0,0,0,,0,0
ANTOINE
Louis,BRU,7,28,4,10,14,0.500,0,3,0,100.0,0,0
ANTOINE
Louis,BRU,2,1,1,0,0,1.000,0,0,0,,0,0
AZEVEDO
Miguel,BRU,2,3,1,0,2,0.333,0,0,0,,0,0
AZEVEDO
Miguel,BRU,9,17,9,4,4,0.765,0,0,0,,0,0
BALTUS
Terry,LIE,13,69,50,11,8,0.884,1,36,4,90.0,5,0
BAR
Maxime,LIE,13,26,8,10,8,0.692,1,6,0,100.0,0,0
BARCHA
Pascal,BRU,3,6,3,3,0,1.000,0,0,0,,0,0
BAUDÉ
Florian,GEN,12,16,14,1,1,0.938,0,0,0,,0,0
BELMANS
Jonas,BRA,11,49,38,9,2,0.959,1,14,0,100.0,0,0
BERINTAN
Robin-Jan,GEN,11,6,6,0,0,1.000,0,0,0,,0,0
BEYENS
Brian,HOB,1,1,1,0,0,1.000,0,0,0,,0,0
BHUIYAN
Kashsaf,BRU,2,1,0,0,1,0.000,0,0,0,,0,0
BHUIYAN
Mahedi,BRU,7,9,6,0,3,0.667,0,0,0,,0,0
BIESEMANS
Leko,MER,8,29,25,3,1,0.966,0,1,0,100.0,0,0
BODART
Mathéo,AND,2,16,15,1,0,1.000,0,0,0,,0,0
BODART
Nathan,AND,6,2,2,0,0,1.000,0,0,0,,0,0
BOERMANS
Jens,BOR,6,32,20,8,4,0.875,0,9,1,90.0,5,0
BOSMANS
Ben,ZON,7,9,7,1,1,0.889,0,0,0,,0,0
BRAMS
