Player,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
AGUIRRE
Rosmer,ANT,65,15,25,7,0,0,12,32,0.385,0.492,0.431,0.923,4,2,11,2,1,0,1,0
AINETO
Cristian,ANT,64,14,19,4,2,0,13,27,0.297,0.422,0.384,0.806,4,5,10,1,0,2,5,0
ALBES
Ander,NAV,77,11,22,5,1,0,11,29,0.286,0.377,0.325,0.702,3,2,17,0,1,1,4,1
ALCAIDE
Adriá,VIL,45,5,9,2,0,0,4,11,0.200,0.244,0.345,0.589,5,5,6,1,0,3,2,3
ALCONCHEL
Marcos,MIR,4,0,1,0,0,0,0,1,0.250,0.250,0.250,0.500,0,0,2,0,0,0,0,0
ALFONSO
Alex,ANT,69,14,14,3,1,4,13,31,0.203,0.449,0.282,0.731,8,0,31,0,1,3,3,0
AMADOR
Jaime,SBO,84,9,19,2,1,0,10,23,0.226,0.274,0.302,0.576,7,3,21,2,2,4,2,3
AMADOR
Marcos,SBO,2,0,0,0,0,0,1,0,0.000,0.000,0.600,0.600,3,0,1,0,0,0,0,0
ANGUSTIA
Joan,BCN,40,8,6,1,0,0,6,7,0.150,0.175,0.314,0.489,8,2,23,1,1,0,1,3
ARGEÑAL
Jem,MIR,37,13,13,6,0,1,10,22,0.351,0.595,0.455,1.050,7,0,8,0,0,0,2,0
ARZA
David,NAV,51,8,17,5,0,1,10,25,0.333,0.490,0.435,0.925,5,5,11,2,1,0,6,1
ARZA
Marcos,NAV,53,12,17,2,0,2,12,25,0.321,0.472,0.397,0.869,6,2,13,1,2,1,2,0
AUCIELLO
Kreisber,INA,91,19,36,5,0,3,25,50,0.396,0.549,0.462,1.011,13,0,15,1,2,0,0,0
BEDOYA
Alain,MIR,34,4,7,2,1,0,4,11,0.206,0.324,0.341,0.665,4,4,7,2,2,1,0,0
BELLO
Samuel,ANT,5,1,1,0,0,0,0,1,0.200,0.200,0.200,0.400,0,0,3,0,0,0,0,0
BERMÚDEZ
Josef,NAV,74,14,20,4,0,2,12,30,0.270,0.405,0.385,0.790,6,9,18,2,2,0,4,1
BERMÚDEZ
Samuel,BCN,13,4,3,0,0,0,1,3,0.231,0.231,0.375,0.606,3,0,2,0,0,0,1,0
BETANCOURT
Gabriel,BCN,12,1,2,0,1,0,3,4,0.167,0.333,0.286,0.619,2,0,4,0,0,0,0,0
BLANCO
Eduardo,INA,110,32,41,14,2,3,29,68,0.373,0.618,0.440,1.058,12,2,9,1,1,1,5,1
BLANCO
Miguel,SBO,37,5,9,1,0,0,3,10,0.243,0.270,0.310,0.580,4,0,11,1,1,1,4,2
BORGES
Joel,MAR,88,25,37,3,0,3,21,49,0.420,0.557,0.500,1.057,14,3,8,1,3,0,0,0
BROUWER
Guillermo,MIR,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
BURGUILLOS
José Antonio,SBO,77,10,28,3,0,3,19,40,0.364,0.519,0.411,0.930,8,1,24,1,4,0,1,0
BURGUILLOS
Wendell,SBO,52,7,18,2,1,0,8,22,0.346,0.423,0.419,0.842,6,2,13,2,2,0,4,3
BÁDENAS
Lluis,BCN,8,6,5,0,0,0,0,5,0.625,0.625,0.667,1.292,1,0,1,0,0,0,0,0
CABALLERO
Yoel,INA,115,35,42,12,2,2,21,64,0.365,0.557,0.457,1.014,19,2,32,3,2,0,7,2
CAMEJO
Roberto,MIR,17,2,5,1,0,0,4,6,0.294,0.353,0.294,0.647,0,0,4,0,0,0,0,0
CANALES
Norlan,MIR,63,7,19,4,1,0,9,25,0.302,0.397,0.328,0.725,3,0,4,1,1,0,1,0
CARABALLO
Juan,AST,73,15,15,2,0,2,6,23,0.205,0.315,0.284,0.599,8,0,34,2,0,0,4,2
CARMONA
Christopher,NAV,40,1,6,1,0,0,6,7,0.150,0.175,0.186,0.361,2,0,10,1,1,0,0,0
CASADO
Pedro,NAV,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
CASTILLO
Jesús,TOR,78,20,27,4,0,2,6,37,0.346,0.474,0.457,0.931,9,7,13,0,0,0,15,2
CASTÁN
Jonathan,MIR,2,0,1,0,0,0,0,1,0.500,0.500,0.500,1.000,0,0,0,0,0,0,0,0
CATALÁN
Miguel,VIL,85,24,34,8,0,2,28,48,0.400,0.565,0.491,1.056,10,8,14,0,3,2,4,2
CEPERO
Yan,VIL,34,3,5,1,0,0,2,6,0.147,0.176,0.194,0.370,1,1,14,1,0,0,0,1
CERECEDA
Xavier,VIL,7,0,0,0,0,0,0,0,0.000,0.000,0.125,0.125,0,1,3,0,0,1,0,0
CHAMBERS
Allen,TOR,35,8,8,2,0,0,6,10,0.229,0.286,0.308,0.594,3,1,14,1,0,0,0,1
COLÓN
Pedro,TOR,47,4,10,3,0,1,6,16,0.213,0.340,0.229,0.569,1,0,17,0,0,0,0,0
COMPRÉS
Luís,TOR,64,11,15,4,0,2,8,25,0.234,0.391,0.338,0.729,8,3,20,0,2,0,2,0
CONCEICAO
Jesús,ANT,45,9,9,2,0,0,5,11,0.200,0.244,0.379,0.623,12,1,16,2,0,0,4,2
CONTELL
Arturo,ANT,4,2,1,0,0,0,0,1,0.250,0.250,0.400,0.650,1,0,1,0,0,0,0,0
CONTRERAS
Carlos,BCN,4,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
CORREA
Leopoldo,INA,113,27,38,6,0,4,37,56,0.336,0.496,0.405,0.901,15,0,17,4,3,0,1,0
COSTALES
Pablo,MAR,21,7,9,2,1,0,3,13,0.429,0.619,0.571,1.190,6,1,4,0,0,0,1,0
CUEVAS
Sandel,AST,74,11,16,3,0,1,7,22,0.216,0.297,0.322,0.619,12,1,17,2,3,1,2,1
CÁRDENAS
Erik,BCN,66,7,17,2,1,0,5,21,0.258,0.318,0.329,0.647,7,0,19,2,0,0,1,1
CÉSPEDES
Yorking,TOR,79,15,20,3,1,1,10,28,0.253,0.354,0.394,0.748,17,2,18,0,1,3,5,2
DE FREITAS
David,ANT,20,3,3,1,0,0,3,4,0.150,0.200,0.393,0.593,4,4,9,0,0,0,0,0
DECENA
Roibert,AST,133,31,50,13,2,5,38,82,0.376,0.617,0.413,1.030,8,1,16,1,1,1,7,4
DOLZ
José Manuel,ANT,78,18,27,2,0,0,16,29,0.346,0.372,0.453,0.825,12,4,17,0,1,0,14,2
DOMERO
William,BCN,31,4,9,4,0,0,5,13,0.290,0.419,0.371,0.790,4,0,8,1,0,1,0,0
DOMÍNGUEZ
Álvaro,ANT,55,11,13,2,0,1,14,18,0.236,0.327,0.373,0.700,8,4,21,0,0,0,1,1
DOPAZO
Juan José,AST,32,10,5,1,0,1,8,9,0.156,0.281,0.426,0.707,12,3,14,1,0,0,1,1
DUEÑAS
Armando,INA,9,1,2,0,0,0,1,2,0.222,0.222,0.222,0.444,0,0,4,0,0,0,0,0
ENCARNACIÓN
Wander,MAR,116,40,60,15,3,10,39,111,0.517,0.957,0.555,1.512,7,4,4,2,1,1,0,1
ESCOLANO
Héctor,NAV,100,19,24,6,0,1,8,33,0.240,0.330,0.327,0.657,8,5,20,2,0,0,3,1
ESPEJO
Eloi,ANT,8,3,0,0,0,0,1,0,0.000,0.000,0.429,0.429,6,0,7,0,0,0,0,0
FALCETO
Juan,MIR,8,0,1,0,0,0,0,1,0.125,0.125,0.222,0.347,1,0,6,0,0,0,0,0
FEBLES
Emmanuel,AST,120,40,46,11,1,4,19,71,0.383,0.592,0.490,1.082,19,7,9,3,1,1,1,0
FERRER
José,INA,110,30,37,10,1,5,24,64,0.336,0.582,0.403,0.985,8,7,19,1,4,0,7,1
FIGARO
Franklin,VIL,47,6,13,1,0,0,12,14,0.277,0.298,0.438,0.736,11,4,10,3,2,1,0,1
FIGUEREDO
Rodolfo,VIL,8,3,1,0,0,0,1,1,0.125,0.125,0.222,0.347,1,0,4,0,0,0,0,0
FLORES
Albert,MIR,1,0,1,0,0,0,1,1,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,0
FLORES
Jeifer,SBO,88,13,20,5,0,2,6,31,0.227,0.352,0.364,0.716,16,3,32,0,0,0,2,0
FRANCO
Gabriel,ANT,25,4,11,0,1,0,7,13,0.440,0.520,0.481,1.001,2,0,8,0,0,0,0,1
FRANCO
Yancarlo,MAR,105,35,34,5,1,6,29,59,0.324,0.562,0.421,0.983,16,3,11,6,2,2,2,0
FRESA
Teudis,TOR,30,6,9,3,0,1,3,15,0.300,0.500,0.400,0.900,4,1,8,1,0,0,1,0
GAINZA
Jeyson,BCN,68,14,25,3,1,2,14,36,0.368,0.529,0.464,0.993,12,2,10,1,2,1,3,0
GALICIA
Luis,AST,55,10,13,3,1,0,6,18,0.236,0.327,0.300,0.627,5,0,16,2,0,0,1,1
GALVÁN
Lesther,MAR,91,36,33,3,0,7,26,57,0.363,0.626,0.508,1.134,23,6,18,2,2,0,0,1
GARCÍA
Carlos,BCN,62,15,13,3,0,1,10,19,0.210,0.306,0.383,0.689,13,5,13,1,1,0,2,1
GARCÍA
Dany,SBO,73,14,16,5,0,0,5,21,0.219,0.288,0.387,0.675,19,1,18,1,0,4,2,2
GARCÍA
Jhon,NAV,95,26,30,2,2,5,18,51,0.316,0.537,0.480,1.017,30,0,22,2,0,0,1,2
GARCÍA
Yeudy,MAR,2,1,1,0,0,1,3,4,0.500,2.000,0.500,2.500,0,0,0,0,0,0,0,0
GIMÉNEZ
Eric,VIL,60,9,17,5,0,0,11,22,0.283,0.367,0.394,0.761,6,5,9,2,0,2,6,1
GONZALEZ
Cesar,TOR,10,1,3,0,0,0,1,3,0.300,0.300,0.417,0.717,0,2,1,2,0,0,0,0
GONZÁLEZ
Daniel,INA,72,13,13,1,0,0,6,14,0.181,0.194,0.310,0.504,14,0,17,3,1,1,5,0
GONZÁLEZ
Iker,VIL,33,6,11,2,0,0,11,13,0.333,0.394,0.371,0.765,1,1,6,1,0,0,0,1
GONZÁLEZ
Maisel,MAR,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
GONZÁLEZ
Rubén,INA,1,1,1,1,0,0,0,2,1.000,2.000,1.000,3.000,0,0,0,0,0,0,0,0
GRANCE
Moisés,MIR,43,11,11,5,1,1,8,21,0.256,0.488,0.358,0.846,8,0,6,0,2,0,1,0
GRULLÓN
Julio,VIL,75,14,26,5,1,1,19,36,0.347,0.480,0.485,0.965,19,2,19,2,1,3,1,0
GUERRERO
Antonio,VIL,53,10,14,0,0,0,6,14,0.264,0.264,0.361,0.625,5,3,12,1,0,1,2,2
GUZMÁN
Robert,MIR,93,17,26,6,0,3,15,41,0.280,0.441,0.350,0.791,10,0,18,2,0,0,1,0
GÓMEZ
Joel,SBO,44,4,8,1,0,0,3,9,0.182,0.205,0.265,0.470,4,1,16,0,0,0,0,0
HERNÁNDEZ
Frank,VIL,5,6,3,1,0,0,1,4,0.600,0.800,0.778,1.578,4,0,1,0,0,0,1,0
INFANTE
Juan,ANT,41,6,15,5,1,0,9,22,0.366,0.537,0.422,0.959,3,1,8,1,0,0,0,0
INFANTE
Larry,TOR,77,19,23,6,0,4,19,41,0.299,0.532,0.444,0.976,20,1,6,1,1,0,10,0
IVANISEVIC
Yann,SBO,4,0,1,1,0,0,0,2,0.250,0.500,0.250,0.750,0,0,2,0,0,0,0,0
JAIME
Ysrael,TOR,14,1,2,0,0,0,0,2,0.143,0.143,0.143,0.286,0,0,6,0,0,0,1,0
JIMENEZ RAMOS
Marlon Chayanne,MAR,10,2,4,0,0,1,1,7,0.400,0.700,0.455,1.155,0,1,1,0,0,0,0,1
JIRÓN
Miguel Ángel,MIR,73,9,25,5,2,2,19,40,0.342,0.548,0.407,0.955,5,3,14,0,0,0,0,0
KINGSLEY
Francisco,TOR,31,5,13,0,1,0,5,15,0.419,0.484,0.500,0.984,5,1,9,1,1,0,0,0
LERTXUNDI
Pablo,NAV,3,0,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,1,0,0,0,0,0
LEÓN
Hugo,SBO,2,0,1,0,0,0,0,1,0.500,0.500,0.667,1.167,1,0,0,0,0,0,1,0
LINARES
