Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
VAN DER HERTEN,Thomas,BEV,0,1,22.09,2,1,0,0,0,3.2,8,9,9,3,2,4,0,0,18,0.444,1,1,0,0,0,8,0
VAN DER LINDEN,Simon,MSG,1,0,14.85,3,1,0,0,0,6.2,9,11,11,9,13,3,1,0,27,0.333,8,2,0,0,0,5,0
VAN GANSBERGHE,Flor,ZOT,1,0,10.50,1,1,0,0,0,6.0,7,10,7,9,5,3,0,0,24,0.292,1,0,0,0,0,3,4
VAN ROYEN,Arne,BEV,0,1,14.14,3,1,0,0,0,7.0,13,15,11,5,5,4,0,0,37,0.351,5,0,0,2,0,9,6
VANDENBERGHE,Téo,TOU,0,0,16.20,1,0,0,0,0,1.2,3,3,3,3,1,2,0,0,6,0.500,0,2,0,0,0,1,1
VANTRIMPONT,Nicolas,TOU,0,0,155.25,2,0,0,0,0,1.1,7,25,23,12,2,2,0,0,13,0.538,2,6,0,0,0,1,1
VERELST,Wesley,BOR,0,1,12.00,2,1,0,1,0,9.0,13,21,12,9,20,4,1,0,46,0.283,7,2,0,0,0,4,3
WAUTERS,Alexis,LIE,0,0,18.00,2,0,0,0,0,4.0,8,9,8,7,2,0,1,0,20,0.400,2,3,0,1,0,1,8
WAUTERS,Thomas,LIE,0,1,37.80,2,1,0,0,0,3.1,8,14,14,14,3,1,0,0,17,0.471,1,1,0,0,0,1,5
YAMADA,Naoya,BRU,0,0,0.00,1,0,0,0,0,0.2,0,0,0,1,1,0,0,0,2,0.000,0,1,0,0,0,1,0
YONCHEV,Martin,MSG,0,0,4.50,1,0,0,0,0,2.0,0,1,1,1,3,0,0,0,5,0.000,0,3,0,0,1,3,0
