Player,Team,AB,R,H,2B,3B,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
AICHER
Kai,DOI,3,1,0,0,0,0,0,0,0.000,0.000,0.400,0.400,2,0,2,0,0,0,1,0
AICHERNIG
Alexander,DD,0,0,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
ALZINGER
Richard,VM,102,18,33,5,0,2,24,44,0.324,0.431,0.398,0.829,11,3,13,1,2,0,6,1
AMON
Florian,DD,29,5,6,1,0,0,2,7,0.207,0.241,0.324,0.565,4,1,9,2,0,0,1,0
ASTNER
Felix,DD,108,18,33,3,1,0,15,38,0.306,0.352,0.361,0.713,5,5,19,0,1,4,7,0
BOATENG
Mike,DOI,5,4,1,0,1,0,1,3,0.200,0.600,0.429,1.029,2,0,1,0,0,0,0,0
BÖHLER
Hubert,HB,82,7,15,0,0,0,10,15,0.183,0.183,0.320,0.503,7,10,29,6,1,3,2,0
BRAUNER
Jacob,DD,20,5,6,0,0,0,1,6,0.300,0.300,0.391,0.691,1,2,5,0,0,0,1,1
BRENNER
Phillip,BB,38,7,10,1,1,1,8,16,0.263,0.421,0.378,0.799,3,4,14,0,0,0,2,1
BRENNER
Phillip,GH,36,9,11,0,0,2,12,17,0.306,0.472,0.444,0.916,8,1,12,0,0,0,2,0
CAMPREGHER
Pascal,HB,48,7,4,0,0,0,2,4,0.083,0.083,0.241,0.324,10,0,16,2,0,1,0,0
CARSON
Clayton,HB,100,21,26,3,0,2,14,35,0.260,0.350,0.318,0.668,9,0,6,0,1,0,3,0
CHRISTOF
Benedict,BB,61,8,17,1,0,1,8,21,0.279,0.344,0.405,0.749,12,1,14,1,0,2,2,2
CHRISTOF
Sebastian,BB,57,6,14,4,0,1,10,21,0.246,0.368,0.295,0.663,4,0,18,1,0,0,0,0
CLAUSS
Eric,GH,27,6,1,1,0,0,2,2,0.037,0.074,0.316,0.390,9,2,14,2,0,0,1,1
CLAUSS
Jacob,GH,52,5,6,0,0,0,4,6,0.115,0.115,0.233,0.348,8,0,20,0,0,1,3,1
DE LEON MOREL
Braudy,BB,32,6,8,1,0,0,5,9,0.250,0.281,0.278,0.559,2,0,7,0,2,0,2,0
DIAZ MELIAN
Vicente,BB,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
DITTRICH
Felix,VM,42,6,11,2,0,0,8,13,0.262,0.310,0.367,0.677,5,2,17,0,0,0,0,0
DORFFNER
David,VM,9,1,2,0,0,0,0,2,0.222,0.222,0.222,0.444,0,0,3,0,0,0,1,0
DUENAS
Omar,VM,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
ECKEL
Philipp,GH,79,27,22,8,0,4,15,42,0.278,0.532,0.472,1.004,25,4,15,0,0,0,4,0
EISENHELD
David,BB,6,1,1,1,0,0,0,2,0.167,0.333,0.167,0.500,0,0,4,0,0,0,0,0
ELLENBOGEN
Jonathan,VW,27,7,11,2,0,0,9,13,0.407,0.481,0.500,0.981,5,0,5,0,0,0,0,0
FALBACHER
Fabian,BB,26,4,5,0,0,0,2,5,0.192,0.192,0.276,0.468,2,1,9,0,0,1,2,1
FAULHABER
Julian,DD,78,19,17,3,0,1,15,23,0.218,0.295,0.379,0.674,15,7,22,0,3,2,1,1
FERAK JR.
Peter,VM,50,8,13,1,0,0,7,14,0.260,0.280,0.393,0.673,10,1,9,1,0,0,0,0
FRIAS
Erwin,HB,48,8,13,0,0,0,6,13,0.271,0.271,0.345,0.616,6,0,4,0,1,0,3,1
FRÖHLICH
Niklas,GH,65,9,20,4,0,0,10,24,0.308,0.369,0.403,0.772,10,1,16,2,1,0,0,0
GOJKOVIĆ
Kruno,DOI,97,21,23,3,0,0,12,26,0.237,0.268,0.361,0.629,12,8,12,2,2,0,7,0
GUTHRIE
Roman,BB,51,21,15,2,0,1,7,20,0.294,0.392,0.507,0.899,20,3,17,1,1,1,15,0
HACKL
Mo,VM,137,35,37,8,0,2,20,51,0.270,0.372,0.391,0.763,26,3,30,2,3,0,6,1
HACKL
Samuel,VM,140,46,54,11,0,10,49,95,0.386,0.679,0.467,1.146,17,6,13,3,2,0,12,1
HALPER
Lennard,VW,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
HEGARTY
Jamie,DOI,1,1,1,0,0,1,1,4,1.000,4.000,1.000,5.000,0,0,0,0,0,0,0,0
HILLIARD
Alexander,VM,18,4,4,1,0,0,2,5,0.222,0.278,0.333,0.611,2,1,2,0,0,0,1,0
HIRNSCHAL
Fabian,VW,53,13,14,3,0,0,7,17,0.264,0.321,0.379,0.700,8,3,8,1,2,0,1,0
HOLDHAUS
Luca,DD,1,1,0,0,0,0,0,0,0.000,0.000,0.500,0.500,0,1,0,0,0,0,2,0
HOSCHER
Christoph,VW,74,10,20,2,0,1,3,25,0.270,0.338,0.337,0.675,7,1,17,2,1,0,2,0
HOWARD
Pearce,HB,91,25,40,7,2,7,29,72,0.440,0.791,0.536,1.327,17,2,5,2,0,0,6,2
JAEGER
