Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
VERDICK,Winke,AMS,26,47,36,7,4,0.915,3,12,3,80.0,3,0
VERSLOOT,Eva,ROE,29,9,7,2,0,1.000,0,0,0,,0,0
VISSERS,Willemijn,EUR,29,58,48,7,3,0.948,2,32,2,94.1,4,0
VOLKMANN,Claudia,TTT,3,1,0,1,0,1.000,0,0,0,,0,0
VONK,Britt,OLY,27,56,21,34,1,0.982,3,0,0,,0,0
VONK,Mara,AMS,16,78,69,4,5,0.936,3,0,0,,0,0
WEIS,Mirthe,NEP,27,67,33,29,5,0.925,4,0,0,,0,0
WEIS,Nienke,NEP,4,2,0,2,0,1.000,0,0,0,,0,0
WESTBERRY,Anna Maria,ROE,45,15,1,13,1,0.933,0,0,0,,0,0
WESTHOEK,Julia,SPA,24,125,114,10,1,0.992,0,13,7,65.0,5,0
WINKEL,Julie,EUR,28,85,71,9,5,0.941,1,0,0,,0,0
WISSINK,Laura,NEP,38,165,137,27,1,0.994,4,12,6,66.7,2,0
ZOULOVÁ,Anna,OLY,32,14,2,11,1,0.929,0,0,0,,0,0
ZUIVER,Yarah,OGZ,18,7,6,0,1,0.857,0,0,0,,0,0
ZWAKMAN,Yala,OGZ,25,10,7,3,0,1.000,1,0,0,,0,0
ZWANENBURG,Bente,ROE,34,141,103,37,1,0.993,2,20,2,90.9,5,0
ZWITZER,Isa,SPA,24,4,0,3,1,0.750,1,0,0,,0,0
