Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ABDELOUAL,Laïla,AND,8,4,1,0,0,1,2,4,0.125,0.500,0.417,0.917,4,0,5,0,0,0,4,0
ADAM,Damien,BRI,3,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,0,1,3,0,0,0,2,0
ADAMS,Owen,MOR,0,1,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
ALVAREZ ALARCON,Fabiana,BRI,3,3,1,0,0,0,0,1,0.333,0.333,0.667,1.000,3,0,2,0,0,0,6,0
ANDRIES,Jasper,ZOT,8,9,1,0,0,0,2,1,0.125,0.125,0.650,0.775,11,1,5,0,0,0,12,0
ANTOINE,Charles,BIN,3,3,2,0,0,0,1,2,0.667,0.667,0.800,1.467,2,0,1,0,0,0,4,0
ARMIROTTO,Kaj,HOB,6,10,2,0,1,0,3,4,0.333,0.667,0.667,1.334,7,1,3,0,1,0,4,0
AVARELLO,Adrien,AND,0,2,0,0,0,0,1,0,0.000,0.000,1.000,1.000,4,0,0,0,0,0,0,0
AZZOLINA,Lorenzo,SER,3,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,0,2,0,0,0,1,0
BAGUET,Louise,GRE,10,5,2,0,1,0,5,4,0.200,0.400,0.556,0.956,5,3,4,0,0,0,7,2
BALZANI,Lorenzo,BRU,18,5,4,0,0,0,6,4,0.222,0.222,0.417,0.639,6,0,8,0,0,0,4,1
BALZANI,Lorenzo,BRU,3,1,2,0,0,0,2,2,0.667,0.667,0.750,1.417,1,0,0,0,0,0,4,1
BANDIN,Martin,MSG,3,0,0,0,0,0,1,0,0.000,0.000,0.400,0.400,1,1,3,0,0,0,1,0
BARBAROSSA,Thélio,BIN,1,1,0,0,0,0,2,0,0.000,0.000,0.750,0.750,3,0,1,0,0,0,0,0
BARCOS,Jules,BIN,3,4,0,0,0,0,1,0,0.000,0.000,0.667,0.667,6,0,3,0,0,0,3,0
BEN,Vervoort,HOB,3,7,0,0,0,0,2,0,0.000,0.000,0.700,0.700,6,1,2,0,0,0,3,0
BENEDET,Massimo,SER,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,1,0
BERNARD,Daniel,BIN,8,11,7,1,0,0,6,8,0.875,1.000,0.933,1.933,7,0,1,0,0,0,12,0
BERTEN,Julot,OUD,4,4,2,0,1,0,3,4,0.500,1.000,0.778,1.778,4,1,2,0,0,0,4,0
BEYENS,Brian,HOB,8,7,5,0,1,0,4,7,0.625,0.875,0.727,1.602,2,1,1,0,0,0,3,0
BEYENS,Jayden,HOB,4,6,3,0,0,1,5,6,0.750,1.500,0.889,2.389,2,3,0,0,0,0,2,0
BODART,Tristan,AND,1,3,0,0,0,0,1,0,0.000,0.000,0.857,0.857,6,0,1,0,0,0,3,0
