Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
MILANI,Niccolò,SEN,0,0,9.00,1,0,0,0,0,1.0,2,1,1,2,0,0,0,0,4,0.500,0,1,0,0,0,0,2
MINARDI,Fabrizio,SET,2,1,3.43,10,4,1,0,0,39.1,40,22,15,31,25,9,2,0,154,0.260,4,3,1,3,2,44,44
MINARI,Alexandro,POV,0,0,0.00,1,0,0,0,0,0.1,0,0,0,1,0,0,0,0,1,0.000,0,0,0,0,0,1,0
MOLINA,Leonardo,PAU,1,8,9.72,16,9,1,0,0,50.0,92,70,54,28,24,17,1,3,234,0.393,4,6,3,4,5,63,51
MONTANARI,Davide,CRO,3,4,7.91,12,4,0,0,0,33.0,34,33,29,22,22,11,1,1,128,0.266,12,17,0,3,1,37,36
MONTIETH HERRERA,Frank Andry,ATL,2,0,1.27,8,0,0,0,0,21.1,16,4,3,10,31,0,2,0,76,0.211,1,0,0,0,2,20,10
MORENO GOMEZ,WILLIANDER JOSE,MAC,9,3,1.26,14,14,0,5,2,86.0,61,15,12,16,94,14,1,1,301,0.203,3,7,0,1,6,76,71
MORILLO PUNTIEL,Geronimo Arturo,MIL,0,2,2.70,4,0,0,0,0,6.2,6,5,2,3,6,3,0,0,26,0.231,0,3,0,0,1,8,6
MOSCHETTI,Alan,COD,0,0,6.75,2,0,0,0,0,2.2,2,3,2,2,2,1,0,0,10,0.200,0,1,0,0,0,2,4
MUCCINI,Mattia,RIM,0,0,0.00,2,0,0,0,0,2.0,1,0,0,3,1,1,0,0,6,0.167,0,1,0,0,1,1,4
MURGIA,Edoardo,CAG,0,0,6.00,3,0,0,0,0,3.0,6,2,2,3,2,0,0,0,15,0.400,2,1,0,0,0,5,2
NARDI,Francesco,RON,1,0,7.24,6,0,0,0,0,13.2,20,13,11,6,13,2,0,0,60,0.333,1,2,1,0,2,16,10
NEPOTI,Riccardo,ATL,6,4,3.72,12,12,0,1,0,67.2,54,37,28,34,65,15,0,1,251,0.215,3,2,0,1,1,56,70
NODAL SUAREZ,Elder,TOR,3,8,3.53,14,14,0,2,0,94.1,95,58,37,33,79,16,3,4,368,0.258,6,19,1,4,3,110,75
NOGUERA RODRIGUEZ,Antonio,BBC,0,4,8.31,14,4,1,0,0,30.1,52,29,28,14,14,12,2,3,132,0.394,4,1,0,2,5,34,35
