Player,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ABREU FLORIMON
Alcis Manuel,CER,2,1,4.10,14,0,1,0,0,41.2,35,28,19,47,52,3,1,0,153,0.229,9,8,0,2,2,36,30
ACERBI
Edoardo,COL,3,3,2.12,12,10,2,1,1,59.1,48,21,14,33,62,4,1,1,212,0.226,7,4,0,3,4,57,49
AGOSTO
Andrea,TOR,0,0,15.43,6,0,1,0,0,7.0,14,14,12,8,4,5,0,1,34,0.412,2,2,0,1,0,7,9
ALDEGHERI
Mattia,PAR,2,0,2.51,16,0,4,0,0,32.1,21,10,9,8,23,3,2,1,114,0.184,0,1,0,1,2,50,20
ALFINITO MONTECCHI
Simone,REG,0,0,0.00,1,0,0,0,0,0.1,0,0,0,1,0,0,0,0,1,0.000,0,0,0,0,0,1,0
ALLEGRI
Alessandro,OLT,0,2,11.12,4,0,0,0,0,5.2,12,7,7,4,4,1,0,0,27,0.444,2,2,0,0,0,3,8
ALMORA ESCUDERO
Julio Jesus,POV,2,1,3.23,16,2,8,0,0,39.0,39,17,14,12,49,7,1,3,156,0.250,2,2,1,1,0,30,37
ALVAREZ MARTINEZ
Luis Miguel,CAG,5,7,6.78,17,14,1,0,0,65.0,88,64,49,44,57,15,2,1,267,0.330,10,13,6,4,2,69,53
AMORE
Gabriele,SET,2,2,7.76,15,2,0,0,0,31.1,36,35,27,31,18,5,3,2,122,0.295,5,4,0,2,0,29,37
ANDRETTA
Maurizio,BOL,2,0,1.73,12,1,3,0,0,26.0,13,7,5,10,34,3,0,0,86,0.151,1,0,0,1,2,21,20
ANGIOI
Filippo,CAG,0,0,0.00,2,0,0,0,0,1.0,1,0,0,1,0,0,0,0,4,0.250,0,0,0,0,0,0,3
ANGIOI
Gabriele,CAG,1,0,0.00,4,0,0,0,0,7.2,4,0,0,4,9,2,0,0,26,0.154,1,0,0,0,0,5,8
ANSELMI
Davide,VER,2,3,5.59,17,0,1,0,0,46.2,41,35,29,34,35,12,2,2,166,0.247,2,12,0,0,6,54,38
ANSELMI
Marco,SEN,0,0,8.16,10,0,0,0,0,14.1,27,16,13,6,6,6,0,1,73,0.370,0,1,0,0,0,18,18
ARCILA GONZALEZ
