Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABREU,Alcis,COL,14,2,1,1,0,1.000,0,0,0,,0,0
ACERBI,Edoardo,COL,10,5,0,5,0,1.000,0,0,0,,0,0
AGRETTI,Filippo,BOL,32,54,11,40,3,0.944,1,0,0,,0,0
AHRENS,Vincent,RSM,20,111,99,10,2,0.982,10,1,1,50.0,1,0
ALBANESE,Simone,RSM,15,126,119,6,1,0.992,0,4,1,80.0,1,0
ALDEGHERI,Mattia,PAR,11,11,5,4,2,0.818,0,0,1,0.0,0,0
ALDEGHERI,Samuel,PAR,8,1,0,1,0,1.000,0,0,0,,0,0
ALFIERI,Leonardo,COL,27,90,36,46,8,0.911,12,0,0,,0,0
ALFINITO MONTECCHI,Simone,PAR,19,30,16,13,1,0.967,3,0,0,,0,0
ANGELINI,Luigi,RSM,4,5,5,0,0,1.000,0,0,0,,0,0
ANGULO,Oscar,RSM,16,44,22,21,1,0.977,3,0,0,,0,0
ARCILA,Anthony,PAR,10,3,1,2,0,1.000,0,0,0,,0,0
ASTORRI,Cesare,BOL,29,203,196,15,3,0.986,2,13,4,76.5,4,0
AVAGNINA,Lorenzo,RSM,31,13,12,0,1,0.923,0,0,0,,0,0
BADIU,Alexandru Marius,MAC,6,4,0,2,2,0.500,0,0,0,,0,0
BAEZ,Fernando,RSM,17,3,1,1,1,0.667,0,0,0,,0,0
BASSANI,Alex,BOL,18,6,1,5,0,1.000,0,0,1,0.0,0,0
BATTIONI,Tommaso,COL,28,93,35,47,11,0.882,13,0,0,,0,0
BECCARI,Alessandro,RSM,5,1,0,1,0,1.000,0,0,0,,0,0
BELLINI,Emanuele,COL,9,2,1,1,0,1.000,0,0,0,,0,0
BENETTI,Davide,COL,26,56,14,33,9,0.839,3,0,0,,0,0
BERTOLINI,Romano,COL,14,14,8,4,2,0.857,1,0,0,,0,0
BERTOSSI,Riccardo,BOL,34,35,33,1,1,0.971,1,0,0,,0,0
BESS DIAZ,Roberto Carlos,MAC,9,13,9,4,0,1.000,0,1,0,100.0,3,0
BOCCHI,Matteo,BOL,14,13,1,10,2,0.846,0,0,0,,0,0
BORTOLOTTI,Luca,GOD,13,11,2,8,1,0.909,0,0,2,0.0,0,0
BREZZO,Paolo Ampeglio,GOD,10,3,0,3,0,1.000,1,0,1,0.0,0,0
