Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Echavarria,Osdaniel,AQUA,0,0,,1,0,0,0,0,1.0,3,2,1,0,0,0,0,0,6,,0,1,0,,,,
Egan,Nolan,RED,1,0,,2,0,0,0,0,2.2,1,3,3,7,3,0,0,0,8,,4,0,0,,,,
Weiss,Fynn,RED,0,0,,1,1,0,0,0,3.0,5,4,4,2,2,3,0,0,12,,0,0,0,,,,
Vancura,Vilem,NAVY,0,0,,1,1,0,0,0,3.0,5,4,4,0,4,3,0,0,15,,1,0,0,,,,
Zaninello,Daniel,GOLD,0,0,,1,1,0,0,0,3.0,4,4,4,2,4,0,1,0,13,,1,1,0,,,,
Dusek,Petr,GREEN,0,0,,1,1,0,0,0,2.0,4,6,3,2,4,1,1,0,12,,2,0,0,,,,
Ziliani,Matteo,NAVY,0,0,,1,0,0,0,0,0.2,2,2,1,2,1,1,0,0,4,,0,0,0,,,,
Moserratte,Daniel,AQUA,0,0,,2,1,0,0,0,2.2,5,6,5,3,7,2,0,0,14,,0,1,0,,,,
Tanabe,Ikuma,RED,0,1,,2,1,0,0,0,3.0,5,8,6,7,6,1,0,0,14,,3,0,0,,,,
Troia,Alessio,ROYAL,0,0,,1,0,0,0,0,2.0,3,5,4,4,2,1,0,0,8,,0,0,0,,,,
Balog,Simon,GREEN,0,0,,1,0,0,0,0,1.0,4,5,2,2,1,2,0,0,7,,1,0,0,,,,
Roman,Jorge,NAVY,0,0,,3,0,0,0,0,1.1,4,5,3,3,1,1,0,0,7,,1,0,0,,,,
Corredera,Guillermo,GREEN,0,0,,2,0,0,0,0,3.0,7,9,7,4,3,1,0,0,15,,9,0,0,,,,
Loub,Matous,GREEN,0,0,,2,1,0,0,0,3.0,1,8,7,10,4,0,0,0,9,,7,1,0,,,,
Pucci,Christian,ROYAL,0,1,,1,1,0,0,0,2.0,5,7,5,4,2,1,0,0,12,,1,0,0,,,,
Brigitha,Skyler,GREEN,0,1,,1,0,0,0,0,2.0,4,7,6,3,2,0,0,1,12,,1,0,1,,,,
Herrero,Gonzalo,GREEN,0,1,,1,0,0,0,0,1.2,4,5,5,2,2,0,0,0,9,,1,0,0,,,,
