Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ALMONTE BERROA,Oliver,MER,14,58,23,32,3,0.948,4,0,0,,0,0
ARGUINZONES OCANTO,Johiner Alfonso,DEU,13,91,81,10,0,1.000,1,5,1,83.3,1,0
BALLARDINI,Lino,HOB,11,13,3,10,0,1.000,0,0,0,,0,0
BELMANS,Jonas,BRA,1,1,1,0,0,1.000,0,0,0,,0,0
BIESEMANS,Leko,MER,21,31,23,6,2,0.935,2,0,0,,0,0
BLAKE,Isaac,MER,17,29,22,5,2,0.931,1,2,0,100.0,0,0
BOERMANS,Jens,BOR,5,22,19,2,1,0.955,0,11,0,100.0,1,0
BOERMANS,Sam,BOR,11,82,74,6,2,0.976,4,0,1,0.0,2,0
BUSTAMANTE,Daniel,DEU,8,13,12,1,0,1.000,0,0,0,,0,0
CAPPAERT,Zeb,BOR,5,4,1,3,0,1.000,0,2,0,100.0,0,0
CHAIBUB CORONEL,Tony Alberto,DEU,11,65,58,4,3,0.954,1,0,0,,0,0
CLESSE,Tashi-Phuntsok,MSG,14,4,2,2,0,1.000,0,0,0,,0,0
CLINCKART,Emeric,MSG,5,3,2,1,0,1.000,0,0,0,,0,0
COLLAZOS MUNOZ,Nathéo,MSG,10,36,30,4,2,0.944,2,0,0,,0,0
COLLE,Florian,MSG,16,31,31,0,0,1.000,1,0,0,,0,0
COOPER,Hunter,BRA,21,16,4,11,1,0.938,0,2,0,100.0,0,0
CROMWELL,Andrew,MSG,17,43,43,0,0,1.000,0,0,0,,0,0
D'HALLEWIN,Alexandre,MSG,11,38,24,12,2,0.947,1,12,2,85.7,2,0
DASPREMONT,Stéphane,NAM,11,12,9,2,1,0.917,0,0,1,0.0,0,0
DASSY,Noah,MSG,18,84,24,55,5,0.940,5,4,0,100.0,1,0
DE BAETS,Matthias,BOR,8,3,3,0,0,1.000,0,1,0,100.0,1,0
DE BOEY,Robbe,BRA,14,42,18,20,4,0.905,3,0,0,,0,0
DE BRAUWER,Zion,HOB,12,28,18,8,2,0.929,3,0,0,,0,0
DE JONGH,Robbe,MSG,10,7,4,3,0,1.000,0,1,0,100.0,0,0
DE LANNOY,Steven,BRA,16,24,22,2,0,1.000,0,0,0,,0,0
DE LAUW,Zino,MER,10,22,17,3,2,0.909,1,3,1,75.0,0,0
DE NIJS BIK,Floris,BRA,5,9,8,0,1,0.889,0,0,0,,0,0
DE QUINT,Dennis,HOB,12,45,28,16,1,0.978,7,0,0,,0,0
DE SAEDELEER,Roche Junior,DEU,9,12,2,7,3,0.750,0,0,0,,0,0
DE SAEDELEER,Sander,BOR,11,48,23,24,1,0.979,2,0,0,,0,0
DELGADO,Kelvin,BRA,11,29,12,16,1,0.966,1,0,0,,0,0
DELORY,Arthur,NAM,14,25,6,16,3,0.880,1,0,0,,0,0
DESMEDT,Kevin,HOB,8,13,4,9,0,1.000,1,0,0,,0,0
DOM,Glenn,MER,2,6,2,4,0,1.000,0,0,0,,0,0
DOM,Kenny,MER,7,10,10,0,0,1.000,0,0,0,,0,0
DRIESSENS,Artuur,BRA,6,9,3,6,0,1.000,2,0,0,,0,0
FATIHI,Ayoub,BOR,3,2,2,0,0,1.000,0,0,0,,0,0
FUNDORA BASNUEVA,Elio,DEU,8,59,56,0,3,0.949,1,0,0,,0,0
GERDEL NIETO,Anderson Denny,DEU,7,9,4,5,0,1.000,0,0,0,,0,0
GILPIN,Zane Thomas,MER,8,57,50,4,3,0.947,2,12,0,100.0,4,0
GOFFAUX,Benjamin,HOB,11,71,54,17,0,1.000,3,1,0,100.0,0,0
GROUP,Matthias,BOR,12,41,33,7,1,0.976,2,0,0,,0,0
HAESAERT,Geoffrey,MSG,14,73,53,18,2,0.973,5,0,0,,0,0
