Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
VAN CALSTER,Nine,MON,14,4,3,0,0,0,2,3,0.214,0.214,0.313,0.527,2,0,7,0,0,0,3,1
VAN CALSTER,Nora,MON,15,6,5,0,0,0,3,5,0.333,0.333,0.412,0.745,0,2,2,0,0,0,3,0
VAN COILLIE,Clara,BRU,13,6,2,0,0,0,2,2,0.154,0.154,0.421,0.575,5,1,1,0,0,0,5,1
VAN DEN ACKER,Sien,HEI,15,4,4,1,0,1,4,8,0.267,0.533,0.353,0.886,2,0,1,0,0,0,3,0
VAN DER VEKEN,Anja,HEI,5,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
VAN DER VEKEN,Tine,HEI,51,7,11,1,0,0,4,12,0.216,0.235,0.333,0.568,9,0,11,0,0,1,10,1
VAN GESTEL,Clara,BRU,42,15,10,0,0,2,9,16,0.238,0.381,0.407,0.788,8,4,11,0,0,2,13,0
VAN HIRTUM,Justine,BRI,20,7,8,0,1,0,8,10,0.400,0.500,0.556,1.056,5,2,4,0,0,0,10,0
VAN HOVE,Eléonore,BRU,10,1,3,0,0,0,1,3,0.300,0.300,0.364,0.664,1,0,6,0,0,0,1,0
VAN KETS,Zoï,HEI,29,5,2,0,0,0,3,2,0.069,0.069,0.400,0.469,14,2,26,0,0,0,3,0
VAN NIEUWENHUYZE,Sylvia,GEN,4,1,0,0,0,0,0,0,0.000,0.000,0.333,0.333,2,0,2,0,0,0,0,0
VAN WAUWE,Sofie,BRU,3,0,2,0,0,0,0,2,0.667,0.667,0.667,1.334,0,0,0,0,0,0,0,0
VANDEN EYNDE,Louise,BRI,4,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
VANDEPUTTE,Lisa,GEN,41,18,21,2,2,0,23,27,0.512,0.659,0.583,1.242,5,2,2,0,0,0,10,0
VANSEVENANT,Sarah,GEN,36,21,17,2,3,1,22,28,0.472,0.778,0.563,1.341,9,1,8,0,2,0,12,0
VERHULST,Joyce,GEN,50,38,25,6,2,0,19,35,0.500,0.700,0.644,1.344,18,4,3,0,1,0,24,0
VERMEERSCH,Hanne,GEN,54,21,23,1,2,0,15,28,0.426,0.519,0.508,1.027,7,2,6,0,0,0,12,0
VERMUNICHT,Nina,HEI,2,0,0,0,0,0,1,0,0.000,0.000,0.333,0.333,1,0,2,0,0,0,0,0
VOLKAERTS,Fien,HEI,45,12,18,2,2,1,11,27,0.400,0.600,0.460,1.060,4,1,2,0,0,0,10,0
WEGIERSKI,Julie,MON,44,18,18,1,1,0,12,21,0.409,0.477,0.447,0.924,1,2,0,0,0,0,9,0
WIDAR,Stéphanie,SER,63,30,26,8,4,2,30,48,0.413,0.762,0.556,1.318,20,4,4,0,3,0,13,0
WILLEKENS,Annelies,GEN,71,54,35,11,1,3,38,57,0.493,0.803,0.615,1.418,18,6,6,0,1,0,32,0
WITHROW,Courtney,BRU,63,14,15,1,1,1,22,21,0.238,0.333,0.351,0.684,10,1,11,0,0,1,3,0
