Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABATE,Brian,CER,26,95,24,56,15,0.842,9,0,0,,0,0
ABATE,Riccardo,RES,8,1,1,0,0,1.000,0,0,0,,0,0
ABREU,Alcis,CER,19,4,1,3,0,1.000,0,0,0,,0,0
ACCORSI,Luca,ATL,32,152,40,102,10,0.934,12,1,0,100.0,0,0
ACERBI,Edoardo,PAR,12,5,3,2,0,1.000,0,0,0,,0,0
ADORNI,Tommaso,CRO,30,54,49,2,3,0.944,1,0,0,,0,0
AGRETTI,Filippo,BOL,27,46,18,25,3,0.935,5,0,0,,0,0
AIELLO,Tommaso,RIM,15,4,2,2,0,1.000,0,0,2,0.0,0,0
ALBANESE,Simone,RSM,18,234,223,11,0,1.000,1,18,1,94.7,1,0
ALBERT,Shakir Achmed Girigorie,GOD,25,44,41,3,0,1.000,2,0,0,,0,0
ALCALA CARDOZA,Elkin Enrique,COL,16,13,6,7,0,1.000,1,0,0,,0,0
ALDEGHERI,Mattia,PAR,15,19,7,10,2,0.895,0,0,0,,0,0
ALFIERI,Leonardo,COL,14,49,21,26,2,0.959,7,0,0,,0,0
ALFINITO MONTECCHI,Simone,CRO,33,114,41,67,6,0.947,12,0,0,,0,0
ALLOISIO,Giovanni,BRE,18,20,19,0,1,0.950,0,0,0,,0,0
ALMORA ESCUDERO,Julio Jesus,VER,15,7,3,4,0,1.000,1,0,0,,0,0
AMBROSINO,Paolino Junior,NET,13,19,16,1,2,0.895,1,0,0,,0,0
AMBROSIONI,Lorenzo,MIL,19,65,24,32,9,0.862,6,0,0,,0,0
AMOROSO SANCHEZ,Thony Anderson,JRG,12,9,3,6,0,1.000,0,0,0,,0,0
ANDRES TURINO,Danny,CAG,23,64,39,20,5,0.922,2,0,0,,0,0
ANDRETTA,Maurizio,MON,20,26,10,15,1,0.962,0,1,2,33.3,0,0
ANDUEZA ALVAREZ,Ivan Gustavo,MAC,15,7,1,5,1,0.857,2,0,0,,0,0
ANGELONI,Niccolò,BRE,15,54,50,2,2,0.963,4,0,0,,0,0
ANGELONI,Niccolò,SEN,4,20,19,0,1,0.950,0,0,0,,0,0
ANGELOTTI TORRES,Saul Giovanni,ROV,27,218,183,27,8,0.963,9,15,9,62.5,3,0
ANGIOI,Gabriele,CAG,22,80,22,54,4,0.950,8,0,0,,0,0
ANGULO GAMEZ,Oscar David,RSM,24,62,26,33,3,0.952,11,0,0,,0,0
ANICHINI,Filippo,FIO,20,72,65,1,6,0.917,5,0,0,,0,0
ANNUNZIATA NINO,Andres Antonio,NET,5,16,15,0,1,0.938,0,0,0,,0,0
ANSELMI,Davide,VER,11,3,1,1,1,0.667,0,0,0,,0,0
ANZANEL,Nicola,CER,3,7,7,0,0,1.000,0,2,0,100.0,0,0
ARAUJO CANO,Jose Gustavo,LAN,20,43,17,23,3,0.930,7,0,0,,0,0
ARCILA GONZALEZ,Anthony Jose,TOR,16,17,3,14,0,1.000,4,0,0,,0,0
ARCILA GONZALEZ,Darwin Jose,TOR,23,65,28,32,5,0.923,8,0,0,,0,0
ARMIGLIATI,Matteo,SEN,25,91,23,56,12,0.868,6,0,0,,0,0
AROCHE JIMENEZ,Wilfredo Yasel,RES,30,73,20,40,13,0.822,3,0,0,,0,0
ARRAIS,Alessandro,CAG,15,2,1,1,0,1.000,0,0,0,,0,0
ARTITZU,Marco,SEN,14,6,4,2,0,1.000,0,1,1,50.0,0,0
ASTORRI,Cesare,PAR,27,72,63,9,0,1.000,6,3,0,100.0,1,0
BACCELLI,Marco,RIM,30,158,145,12,1,0.994,2,29,2,93.5,0,0
BADIANE,Sidy,BRE,10,6,6,0,0,1.000,0,0,0,,0,0
BAEZ,Fernando,RSM,12,3,0,3,0,1.000,0,0,0,,0,0
BAKKALI TAHIRI,Mohamed,MOD,33,128,48,65,15,0.883,15,0,0,,0,0
BALDAZZI,Alessio,NET,6,2,2,0,0,1.000,0,0,0,,0,0
BANCI,Riccardo,FIO,24,34,31,1,2,0.941,1,0,0,,0,0
BANCORA,Nicola,MIL,29,65,18,40,7,0.892,6,1,0,100.0,0,0
BARALDI SCANTAMBURLO,Marco,MOD,26,22,20,1,1,0.955,0,0,0,,0,0
BARATELLA,Simone,LAN,32,246,237,6,3,0.988,23,0,0,,0,0
BARAVALLE,Gianluca,SEN,8,35,32,2,1,0.971,3,0,0,,0,0
BARBERO,Paolo,TOR,23,18,18,0,0,1.000,0,0,0,,0,0
