Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADAM,Damien,BRI,18,7,5,0,0,0,5,5,0.278,0.278,0.519,0.797,9,0,7,0,0,1,15,0
ADAMS,Liam,ANT,28,12,15,3,0,1,17,21,0.536,0.750,0.563,1.313,0,3,1,0,1,1,11,0
ADAMS,Liam,ANT,6,3,3,1,0,0,3,4,0.500,0.667,0.625,1.292,0,2,0,0,0,0,5,0
ADANK,Martin,NAM,4,3,3,1,0,0,3,4,0.750,1.000,0.857,1.857,1,2,0,0,0,0,6,0
BALZANI,Lorenzo,BRU,8,5,4,0,0,0,4,4,0.500,0.500,0.714,1.214,6,0,2,0,0,0,12,0
BARBIER,Ruben,MSG,9,4,3,0,0,0,3,3,0.333,0.333,0.538,0.871,4,0,3,0,0,0,2,0
BARIAUX,Ludovic,BRI,8,4,2,1,0,0,3,3,0.250,0.375,0.400,0.775,2,0,3,0,0,1,3,0
BAUGNIES,Nathan,MSG,4,4,1,0,0,0,2,1,0.250,0.250,0.571,0.821,3,0,1,0,0,0,1,0
BEEL,Erwin,HEI,7,7,4,1,0,1,6,8,0.571,1.143,0.842,1.985,11,1,2,0,0,0,7,1
BEGUIN,Thibaut,NAM,7,4,2,0,0,0,3,2,0.286,0.286,0.615,0.901,4,2,2,0,0,0,2,0
BEKE,Tristan,WIE,12,6,4,0,0,0,5,4,0.333,0.333,0.619,0.952,4,5,2,0,0,0,5,0
BERARDOCCO,Alessandro,DEU,21,9,10,0,0,0,5,10,0.476,0.476,0.593,1.069,4,2,4,0,0,0,10,0
BHUIYAN,Kashsaf,BRU,14,8,4,0,0,0,3,4,0.286,0.286,0.474,0.760,4,1,8,0,0,0,4,0
BHUIYAN,Mahedi,BRU,21,12,8,2,0,0,9,10,0.381,0.476,0.618,1.094,12,1,6,0,0,0,24,2
BLAKE,Isaac,MER,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,1,0,0,0,0
BLANCO BRAVO,Yasiel,LEU,11,9,9,3,0,1,11,15,0.818,1.364,0.889,2.253,4,3,1,0,0,0,12,0
BLAUWAERT,Ethan,MSG,10,2,4,1,0,0,2,5,0.400,0.500,0.455,0.955,0,1,2,0,0,0,1,0
BOECKX,Kurt,HEI,4,1,0,0,0,0,0,0,0.000,0.000,0.500,0.500,3,1,1,0,0,0,0,1
