Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
AICHER,Kai,DOI,0,0,36.00,1,0,0,0,0,1.0,3,4,4,1,0,1,0,0,6,0.500,0,2,0,0,0,3,0
AICHERNIG,Alexander,DD,0,0,3.38,1,0,0,0,0,2.2,1,1,1,1,1,0,0,1,9,0.111,0,0,0,0,0,1,6
BOATENG,Mike,DOI,0,0,18.00,1,0,1,0,0,1.0,2,2,2,2,0,0,0,0,4,0.500,0,0,0,0,0,2,0
BÖHLER,Hubert,HB,1,2,6.63,6,3,0,0,0,19.0,39,28,14,10,3,12,0,2,99,0.394,0,3,0,2,0,19,33
CAMPREGHER,Pascal,HB,0,0,33.00,3,0,0,0,0,3.0,4,12,11,6,4,0,0,1,13,0.308,3,5,0,0,0,1,4
CHRISTOF,Benedict,BB,0,1,54.00,1,1,0,0,0,1.0,6,7,6,1,1,2,0,0,9,0.667,0,0,0,1,0,0,1
CLAUSS,Jacob,GH,0,2,5.54,3,3,0,0,0,13.0,18,11,8,4,5,5,0,2,56,0.321,2,0,1,0,0,18,14
DUENAS,Omar,VM,7,5,4.48,16,14,0,0,0,76.1,86,47,38,39,52,13,3,7,300,0.287,1,10,0,3,4,77,86
FALBACHER,Fabian,BB,1,0,36.00,1,0,0,0,0,1.0,2,4,4,2,1,1,0,0,5,0.400,1,2,0,0,0,0,2
FAULHABER,Julian,DD,1,0,1.50,1,1,0,0,0,6.0,4,1,1,3,4,0,0,0,21,0.190,0,0,0,0,0,6,7
GNEIST,Vitus,DD,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,1,0,0,0,3,0.333,0,0,0,0,1,2,0
GOJKOVIĆ,Kruno,DOI,0,0,5.23,5,0,1,0,0,10.1,10,6,6,10,13,1,0,0,38,0.263,3,2,0,0,0,12,3
GUTHRIE,Roman,BB,0,1,9.75,6,0,1,0,0,12.0,15,19,13,19,14,4,0,1,50,0.300,2,1,0,1,1,14,9
HACKL,Mo,VM,2,3,4.31,13,2,4,0,0,31.1,18,19,15,17,41,3,0,2,115,0.157,6,8,0,0,2,28,25
HALPER,Lennard,VW,5,0,2.54,12,8,0,0,0,46.0,32,16,13,37,40,7,0,2,160,0.200,2,7,0,2,1,43,41
HEGARTY,Jamie,DOI,0,0,54.00,1,0,0,0,0,0.1,2,2,2,2,1,1,0,0,3,0.667,0,0,0,0,0,0,0
HIRNSCHAL,Fabian,VW,2,1,6.35,7,1,2,0,0,28.1,33,22,20,13,9,6,0,3,115,0.287,3,1,0,3,1,29,44
HORNFISCHER,Henry Hutchins,DD,0,0,3.38,3,0,0,0,0,2.2,2,2,1,4,4,0,0,0,10,0.200,0,2,0,1,0,0,4
HOTZ,Daniel,HB,0,1,7.71,1,0,0,0,0,2.1,3,2,2,1,0,2,0,0,11,0.273,0,1,0,0,0,3,4
HOWARD,Pearce,HB,0,0,11.57,2,0,0,0,0,2.1,2,3,3,1,3,1,0,0,9,0.222,0,0,0,0,0,2,2
INMANN,Lukas,VW,1,5,7.24,10,10,0,1,0,46.0,54,51,37,42,29,5,0,2,185,0.292,19,10,0,1,5,63,36
JAHN,Daniel,BB,0,0,5.40,2,0,1,0,0,5.0,4,3,3,1,1,1,0,0,20,0.200,0,0,1,0,0,10,4
JENKINS,Cole,VM,0,0,7.31,5,4,0,0,0,16.0,11,15,13,20,22,2,0,3,59,0.186,4,5,1,0,0,13,12
JENSEN,Matthew,BB,1,1,4.91,4,2,1,0,0,11.0,14,7,6,4,18,6,1,1,46,0.304,1,1,0,0,0,8,5
JÄGER,Marcel,DOI,1,0,21.60,2,0,0,0,0,1.2,1,4,4,6,0,0,0,1,6,0.167,3,2,0,0,0,4,1
JÄGER,Michael,DOI,0,1,4.91,5,0,1,0,0,7.1,10,4,4,5,6,1,0,0,29,0.345,0,1,0,1,0,8,6
KAWANISHI,Dan,VW,0,0,0.00,1,0,0,0,0,0.1,1,0,0,0,0,0,0,0,2,0.500,0,0,0,0,0,1,0
KIENBERGER,Alexander,DD,0,4,6.62,12,3,3,0,0,34.0,34,28,25,42,45,4,2,1,127,0.268,4,1,1,2,2,22,29
KOLLER,Michael,GH,0,2,7.28,10,0,0,0,0,29.2,50,41,24,13,9,7,0,6,142,0.352,3,3,1,4,1,31,47
KRESKA,Jonas,DD,0,0,0.00,1,0,0,0,0,0.1,0,0,0,2,0,0,0,0,1,0.000,0,0,0,0,0,0,1
LETOUZÉ,Thierry,VM,1,1,9.53,10,1,0,0,0,17.0,30,24,18,10,10,2,0,2,79,0.380,4,2,0,1,4,18,23
LUGER,Maximilian,DOI,0,3,11.31,13,2,1,0,0,24.2,31,41,31,26,14,6,0,2,101,0.307,11,5,1,3,1,20,35
MAIER,Levin,HB,0,0,14.25,5,1,0,0,0,12.0,22,20,19,10,5,1,0,3,55,0.400,4,4,1,1,0,15,14
MC GARRY,Eoghan,DD,6,2,4.76,15,13,0,0,0,68.0,73,42,36,39,77,6,0,9,276,0.264,15,0,0,1,0,51,68
MÜLLER,Maximilian,GH,0,0,81.00,1,0,0,0,0,0.2,3,6,6,4,0,0,0,0,5,0.600,1,2,2,0,0,2,0
NAHMENS,William,VM,7,4,4.37,16,9,0,1,0,82.1,89,51,40,31,68,18,1,6,323,0.276,7,17,0,4,4,70,96
NIEDERL,Nicolas,BB,1,0,8.82,6,0,0,0,0,16.1,23,22,16,11,5,5,1,1,71,0.324,2,6,0,3,0,19,22
OBERMAYER,Sascha,GH,0,0,18.00,2,0,0,0,0,1.0,3,2,2,1,1,1,0,0,6,0.500,3,1,0,0,0,0,2
PALMA,Kelvis,HB,7,4,3.38,12,12,0,7,2,96.0,82,45,36,31,126,14,1,5,368,0.223,7,10,0,1,3,90,64
PERDUE,Melvin,DD,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3,0.000,0,0,0,0,0,3,0
PFISTER,Jochen,DOI,0,1,30.00,4,0,0,0,0,3.0,8,12,10,5,1,3,0,0,17,0.471,3,1,0,1,1,4,4
POAPST,Kyle Bev,DD,2,0,4.67,11,1,1,0,0,27.0,19,20,14,27,49,3,0,0,104,0.183,12,8,2,0,2,17,13
RAUNIGGER,Jan,GH,0,0,19.29,3,0,1,0,0,2.1,2,5,5,7,4,1,0,0,7,0.286,3,2,0,1,0,0,2
RESEL,Alexander,VW,1,0,32.40,2,0,0,0,0,1.2,6,7,6,1,1,2,0,1,13,0.462,0,2,1,0,0,2,2
REYES,Peter,VW,0,0,0.00,1,0,0,0,0,0.2,0,1,0,2,1,0,0,0,3,0.000,0,1,0,0,0,1,0
RHOMBERG,Jakob,DOI,0,0,0.00,1,0,0,0,0,0.0,2,3,3,1,0,0,0,0,2,1.000,0,0,1,0,0,0,0
RIEDMANN,Moritz,DOI,0,0,15.43,3,0,0,0,0,4.2,1,9,8,13,2,0,0,0,13,0.077,2,1,0,2,0,3,8
RUPP,Ryan,DOI,7,4,2.96,15,13,0,5,0,97.1,83,48,32,50,122,12,0,1,376,0.221,5,8,1,1,4,83,76
