Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
EVERAERT,Viktor,OOS,3,2,1,0,1,0.500,0,0,0,,0,0
EVERS,Ethan,BRU,2,3,3,0,0,1.000,0,11,0,100.0,1,0
FAHANDEZH SAADI,Mohsen,BRI,4,23,20,2,1,0.957,1,0,0,,0,0
FLORUS,Aron,CAN,4,15,13,1,1,0.933,0,12,0,100.0,19,0
FRANCKART,Dorian,SER,6,4,3,1,0,1.000,0,6,0,100.0,0,0
FRIJNS,Niels,MER,1,11,10,1,0,1.000,0,5,0,100.0,2,0
FYEN,Tiemen,LEU,5,7,1,5,1,0.857,0,1,0,100.0,0,0
GARCIA ALVARADO,Daniel Eduardo,DEU,7,7,7,0,0,1.000,0,0,0,,0,0
GARWIG,Quentin,BRU,3,4,2,1,1,0.750,0,8,0,100.0,0,0
GERVAIS,Charlie,MSG,1,8,6,1,1,0.875,0,15,0,100.0,6,0
GEVAERT,Jules,OOS,8,1,1,0,0,1.000,0,0,0,,0,0
GHYS,Ilian,SER,3,3,2,1,0,1.000,0,0,0,,0,0
GIELISSEN,Maxim,CAN,12,6,2,3,1,0.833,0,1,0,100.0,0,0
GILLES,Dario,ANT,14,10,2,7,1,0.900,1,6,0,100.0,0,0
GILLES,Dario,ANT,4,2,1,1,0,1.000,1,0,0,,0,0
GOETHUYSEN,Thomas,LEU,2,1,1,0,0,1.000,0,0,0,,0,0
GONZALEZ HERNANDEZ,Vicente Alberto,DEU,7,15,7,4,4,0.733,0,0,0,,0,0
GOUDELOUF,Sébastien,BRI,2,3,1,1,1,0.667,0,0,0,,0,0
GRARÉ,Sen,ANT,6,51,47,4,0,1.000,1,50,1,98.0,12,0
GUERRA ARTEAGA,Juan Carlos,DEU,2,2,0,2,0,1.000,0,0,0,,0,0
GUERRA ELIZONDO,César Emilio,BRI,3,4,2,1,1,0.750,0,0,0,,0,0
GUICHARD,Arnaud,BRU,5,1,1,0,0,1.000,0,0,0,,0,0
GUNST,Dirk,OOS,1,1,1,0,0,1.000,0,0,0,,0,0
GUNST,Jorre,OOS,4,7,5,1,1,0.857,0,0,0,,0,0
HAMMOUTEN,Farid,BRI,4,3,0,0,3,0.000,0,0,0,,0,0
HANSEN,Terje,LEU,3,12,11,1,0,1.000,0,0,0,,0,0
HATO,Daira,CAN,5,2,0,2,0,1.000,0,0,0,,0,0
HAVELANGE,Nicolas,SER,13,19,10,5,4,0.789,2,1,0,100.0,0,0
HEIJMANS,Tommy,BRA,1,1,1,0,0,1.000,0,0,0,,0,0
HORRY AMMOUR,Nael,MSG,4,12,6,4,2,0.833,0,14,1,93.3,0,0
HOUCK,Spencer,BRU,5,16,11,5,0,1.000,0,2,1,66.7,1,0
HUGON,Pierre-Alexandre,NAM,4,2,1,0,1,0.500,0,0,0,,0,0
