Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ANDERSEN,Oscar,CHI,2,2,0,2,0,1.000,1,0,0,,0,0
ARGUINZONES OCANTO,Johiner Alfonso,DEU,4,9,7,2,0,1.000,0,0,0,,0,0
BAANEN,Arjan,DEU,4,2,0,2,0,1.000,0,0,0,,0,0
BALLARDINI,Lino,HOB,1,7,7,0,0,1.000,0,0,0,,0,0
BANK,Dominik,DEU,10,6,2,4,0,1.000,0,0,0,,0,0
BUERMS,Lieven,HOB,19,32,17,12,3,0.906,1,0,0,,0,0
CASTRO,Juan Diego,CHI,26,16,3,11,2,0.875,0,0,0,,0,0
CECH,Jan,DEU,3,5,5,0,0,1.000,0,0,0,,0,0
CELIE,Kenny,HOB,16,38,18,18,2,0.947,0,0,0,,0,0
CHAIBUB CORONEL,Tony Alberto,DEU,12,46,41,3,2,0.957,4,0,0,,0,0
CLAES,Wesley,CHI,8,8,8,0,0,1.000,0,0,0,,0,0
COPPENS,Jan,GRE,2,1,0,0,1,0.000,0,0,0,,0,0
COPPENS,Tom,GRE,15,37,34,1,2,0.946,0,0,0,,0,0
DAELMAN,Jorne,GRE,13,16,6,9,1,0.938,0,0,0,,0,0
DE BENS,Joran,DEU,8,22,8,11,3,0.864,0,0,0,,0,0
DE CLOEDT,Jelle,CHI,17,21,4,16,1,0.952,0,0,0,,0,0
DE QUINT,Dennis,HOB,18,21,14,7,0,1.000,1,0,0,,0,0
DE TELDER,Tony,DEU,12,7,6,0,1,0.857,0,0,0,,0,0
DE VRIENDT,Morris,DEU,14,31,28,3,0,1.000,2,0,0,,0,0
DE VRIENDT,Nick,DEU,16,108,100,8,0,1.000,2,3,1,75.0,3,0
DEGROOTE,Ivan,HOB,17,22,8,12,2,0.909,2,0,0,,0,0
DESMEDT,Kevin,HOB,1,3,2,0,1,0.667,0,0,0,,0,0
DURAN GARCIA,Johnathan,GRE,12,19,15,1,3,0.842,0,0,0,,0,0
EERDEKENS,Axl,GRE,1,1,0,0,1,0.000,0,0,0,,0,0
GAROLI,Juan Cruz,CHI,9,103,99,2,2,0.981,0,1,0,100.0,1,1
GONTIER,Yannick,DEU,6,16,8,4,4,0.750,1,0,0,,0,0
GUERRA ARTEAGA,Juan Carlos,DEU,15,10,3,7,0,1.000,1,0,0,,0,0
HELLEMANS,Erik,GRE,6,10,7,0,3,0.700,0,0,0,,0,0
JANSSEN,Drew,CHI,8,15,12,3,0,1.000,1,0,0,,0,0
JANSSEN,Tom,CHI,18,43,26,15,2,0.953,0,0,0,,0,0
JANSSENS,Wesley,HOB,17,43,14,24,5,0.884,2,0,0,,0,0
JASPE AQUILAR,Néstor Adolfo,DEU,18,13,12,1,0,1.000,0,0,0,,0,0
JETMAR,Ales,DEU,2,1,0,1,0,1.000,0,0,0,,0,0
KORTLEVEN,Rudi,CHI,6,6,5,1,0,1.000,0,0,0,,0,0
LAMBEAU,Alain,HOB,15,70,64,0,6,0.914,3,0,0,,0,0
LANOOTE,Jasper,HOB,2,3,3,0,0,1.000,0,0,0,,0,0
LEYS,Michael,DEU,8,12,12,0,0,1.000,1,0,0,,0,0
LIU,Sky,GRE,1,2,1,0,1,0.500,0,0,0,,0,0
LORRENTOP,Lucas,HOB,1,6,2,4,0,1.000,0,0,0,,0,0
MARQUEZ,Alexis,CHI,19,50,20,26,4,0.920,4,0,0,,0,0
MOSTAERT,Nando,DEU,15,58,23,30,5,0.914,4,0,0,,0,0
PANDURO,Jesper,DEU,4,2,0,2,0,1.000,0,0,0,,0,0
PRIETO BURGOS,Frank Alejandro,CHI,12,6,6,0,0,1.000,0,0,0,,0,0
RAMAROJAONA,Serge,GRE,14,13,6,3,4,0.692,0,0,0,,1,0
RIZZI,Lucas,HOB,14,8,7,1,0,1.000,0,0,0,,0,0
ROYMANS,Steff,DEU,5,14,6,7,1,0.929,0,0,0,,0,0
SELIS,Steve,CHI,18,20,16,4,0,1.000,0,0,0,,1,0
SELLICAERTS,Jarno,HOB,23,161,154,4,3,0.981,2,6,0,100.0,3,0
SMITS,Pieter,DEU,5,4,2,2,0,1.000,0,0,0,,0,0
SOMERLINK,Michael,HOB,15,20,9,8,3,0.850,1,0,0,,0,0
TRIO,Jan,CHI,8,5,4,1,0,1.000,1,0,0,,0,0
VAN AARSEN,Kristof,HOB,37,22,6,16,0,1.000,0,1,0,100.0,0,0
VAN DE POEL,Kevin,GRE,5,7,7,0,0,1.000,0,0,0,,0,0
VAN DEN BOSCH,Dave,DEU,14,44,37,7,0,1.000,0,0,0,,0,0
VAN DEN BRANDEN,Kenny,HOB,16,15,13,1,1,0.933,0,0,0,,0,0
VAN DEN EYNDE,Filip,CHI,1,2,2,0,0,1.000,0,0,0,,0,0
VAN DER LINDEN,Don,GRE,14,38,31,5,2,0.947,1,0,0,,0,0
VAN DER LINDEN,Lukas,GRE,15,31,31,0,0,1.000,2,0,0,,0,0
VAN DER VORST,David,CHI,23,94,84,9,1,0.989,0,0,2,0.0,0,0
VAN GENECHTEN,Joseph,GRE,31,12,4,8,0,1.000,0,4,0,100.0,0,0
VAN HOYE,Bjorn,CHI,3,4,2,1,1,0.750,0,0,0,,0,0
VAN LOON,Dennis,GRE,1,3,3,0,0,1.000,0,0,0,,0,0
VAN NUFFEL,Jeroen,DEU,13,22,11,11,0,1.000,2,0,0,,0,0
VANDAELE,Joeni,GRE,12,26,14,7,5,0.808,1,0,0,,0,0
VERELST,Kevin,GRE,11,57,51,4,2,0.965,0,3,2,60.0,7,0
VERELST,Wesley,DEU,9,8,7,1,0,1.000,0,0,0,,0,0
VERSPREET,Xander,HOB,16,7,6,1,0,1.000,0,0,0,,0,0
VERVLOET,Kevin,CHI,17,74,70,4,0,1.000,4,0,0,,0,0
VINCK,Matthieu,GRE,22,25,15,4,6,0.760,0,2,0,100.0,0,0
VISCHSCHOONMAKER,Connor,GRE,17,45,37,6,2,0.956,1,8,1,88.9,7,0
VOJTECH,Kasper,CHI,6,6,0,6,0,1.000,0,1,0,100.0,0,0
VOLKAERT,Filip,GRE,8,24,17,4,3,0.875,1,0,0,,0,0
WITVROUWEN,Tim,CHI,19,4,3,1,0,1.000,0,0,0,,0,0
