Player,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ACOSTA
Johnaikel,QUI,14,13,4,7,2,0.846,1,0,0,,0,0
AGUILERA ZAYAS
Paris,RCH,16,25,22,1,2,0.920,0,0,0,,0,0
ANASAGASTI
Leandro,RCH,29,154,80,64,10,0.935,12,16,2,88.9,2,0
ANDRINGA
Nick,RCH,4,1,0,1,0,1.000,0,0,0,,0,0
ANGELA
Nelmerson,AMS,16,19,3,13,3,0.842,0,0,3,0.0,0,0
AUSSEMS
Jesse,RCH,40,166,58,101,7,0.958,15,0,0,,0,0
BAKKER
Kevin,NEP,22,9,4,5,0,1.000,2,0,0,,0,0
BELJAARDS
Duncan,PIO,23,81,66,14,1,0.988,1,19,8,70.4,10,0
BENNETT
Michael,PIO,4,5,2,2,1,0.800,0,0,0,,0,0
BENTURA
Railison,TWI,42,177,61,107,9,0.949,26,0,0,,0,0
BERKEL
Nathan,HCA,30,25,22,2,1,0.960,1,0,0,,0,0
BERKENBOSCH
Kenny,AMS,45,137,131,6,0,1.000,5,0,0,,0,0
BERNADINA
Rogear,NEP,48,90,86,2,2,0.978,0,0,0,,0,0
BING
Jelle,DKI,13,5,1,4,0,1.000,1,0,0,,0,0
BLIJLEVEN
Mart,RCH,24,42,34,2,6,0.857,0,0,0,,0,0
BLOKKER
Bram,DKI,30,88,36,48,4,0.955,10,0,0,,0,0
BOGAERTS
Jair,HCA,21,34,32,1,1,0.971,2,0,0,,0,0
BONEVACIA
Arthur,TWI,33,150,137,11,2,0.987,12,0,0,,0,0
BOS
Thomas,DKI,16,86,47,33,6,0.930,11,0,0,,0,0
BOXELAAR
Nick,DKI,14,10,2,7,1,0.900,1,0,0,,0,0
BRODSJO
Tye,STO,1,2,2,0,0,1.000,0,4,0,100.0,1,0
BROERSEN
Lars,PIO,12,1,0,1,0,1.000,0,0,1,0.0,0,0
BROOKS
Denzel,PIO,34,59,19,39,1,0.983,2,0,0,,0,0
BRUINS SLOT
Stijn,QUI,11,7,1,6,0,1.000,0,0,1,0.0,0,0
BUN
Luuk,TWI,33,45,14,22,9,0.800,4,0,0,,0,0
BURGER
Jordy,QUI,24,43,41,1,1,0.977,0,0,0,,0,0
BURGERSDIJK
Dennis,HCA,17,26,5,19,2,0.923,1,0,0,,0,0
CAROLINA
Rayshelon,TWI,42,92,89,3,0,1.000,2,0,0,,0,0
CELESTIJN
Dre,NEP,11,11,11,0,0,1.000,0,0,0,,0,0
CHEVEZ
Enrique,TWI,18,4,1,3,0,1.000,0,0,0,,0,0
CLARA
Robyn,DKI,26,5,0,4,1,0.800,0,0,0,,0,0
CLEMENSIA
Taylor,QUI,28,112,106,3,3,0.973,8,0,0,,0,0
COCU
Raf,TWI,20,3,2,0,1,0.667,0,0,0,,0,0
CREMER
Jules,HCA,43,140,114,21,5,0.964,4,14,2,87.5,1,0
CROES
Linoy,HCA,29,31,31,0,0,1.000,0,0,0,,0,0
CROUWEL
Matis,DKI,33,242,191,44,7,0.971,24,10,1,90.9,4,0
DAAL
Rodney,QUI,28,167,135,27,5,0.970,4,21,8,72.4,4,0
DAANTJI
Shurensley,AMS,12,8,5,3,0,1.000,0,0,0,,0,0
DE CUBA
Quintin,HCA,46,367,349,14,4,0.989,34,0,0,,0,0
DE GRAAUW
Gio,HCA,14,3,0,3,0,1.000,0,0,0,,0,0
DE GROOT
Aaron,NEP,13,10,1,9,0,1.000,1,0,1,0.0,0,0
DE VREEDE
Bodhi,PIO,26,47,46,0,1,0.979,0,0,0,,0,0
DE WINDT
Tyron,STO,1,2,1,1,0,1.000,0,0,0,,0,0
DEKKER
Ruben,HCA,13,1,0,1,0,1.000,0,0,0,,0,0
DIABY
Nathan,PIO,14,4,1,2,1,0.750,0,0,0,,0,0
DIAZ
